"","species","rgn_id","rgn_name"
"55","clam, surf",2,"Georges Bank"
"56","clam, surf",3,"Gulf of Maine"
"57","clam, surf",4,"Mid-Atlantic Bight"
"58","clam, surf",7,"Massachusetts-Gulf of Maine"
"59","clam, surf",8,"Massachusetts-Virginian"
"60","clam, surf",10,"New York"
"61","clam, surf",11,"Rhode Island"
"62","cobia",4,"Mid-Atlantic Bight"
"63","cobia",5,"Connecticut"
"64","cobia",8,"Massachusetts-Virginian"
"65","cobia",10,"New York"
"66","cobia",11,"Rhode Island"
"67","cod",1,"Offshore"
"68","cod",2,"Georges Bank"
"69","cod",3,"Gulf of Maine"
"70","cod",4,"Mid-Atlantic Bight"
"71","cod",5,"Connecticut"
"72","cod",7,"Massachusetts-Gulf of Maine"
"73","cod",8,"Massachusetts-Virginian"
"74","cod",10,"New York"
"75","cod",11,"Rhode Island"
"76","cod",6,"Maine"
"77","cod",9,"New Hampshire"
"78","confidential species",1,"Offshore"
"79","confidential species",2,"Georges Bank"
"80","confidential species",3,"Gulf of Maine"
"81","confidential species",4,"Mid-Atlantic Bight"
"82","confidential species",5,"Connecticut"
"83","confidential species",6,"Maine"
"84","confidential species",7,"Massachusetts-Gulf of Maine"
"85","confidential species",8,"Massachusetts-Virginian"
"86","confidential species",9,"New Hampshire"
"87","confidential species",10,"New York"
"88","confidential species",11,"Rhode Island"
"89","crab, blue",1,"Offshore"
"90","crab, blue",2,"Georges Bank"
"91","crab, blue",3,"Gulf of Maine"
"92","crab, blue",4,"Mid-Atlantic Bight"
"93","crab, blue",5,"Connecticut"
"94","crab, blue",6,"Maine"
"95","crab, blue",7,"Massachusetts-Gulf of Maine"
"96","crab, blue",8,"Massachusetts-Virginian"
"97","crab, blue",9,"New Hampshire"
"98","crab, blue",10,"New York"
"99","crab, blue",11,"Rhode Island"
"100","crab, cancer",1,"Offshore"
"101","crab, cancer",2,"Georges Bank"
"102","crab, cancer",3,"Gulf of Maine"
"103","crab, cancer",4,"Mid-Atlantic Bight"
"104","crab, cancer",7,"Massachusetts-Gulf of Maine"
"105","crab, cancer",8,"Massachusetts-Virginian"
"106","crab, cancer",10,"New York"
"107","crab, cancer",11,"Rhode Island"
"108","crab, green",4,"Mid-Atlantic Bight"
"109","crab, green",5,"Connecticut"
"110","crab, green",10,"New York"
"111","crab, green",11,"Rhode Island"
"112","crab, horseshoe",1,"Offshore"
"113","crab, horseshoe",2,"Georges Bank"
"114","crab, horseshoe",3,"Gulf of Maine"
"115","crab, horseshoe",4,"Mid-Atlantic Bight"
"116","crab, horseshoe",5,"Connecticut"
"117","crab, horseshoe",7,"Massachusetts-Gulf of Maine"
"118","crab, horseshoe",8,"Massachusetts-Virginian"
"119","crab, horseshoe",10,"New York"
"120","crab, horseshoe",11,"Rhode Island"
"121","crab, jonah",1,"Offshore"
"122","crab, jonah",2,"Georges Bank"
"123","crab, jonah",3,"Gulf of Maine"
"124","crab, jonah",4,"Mid-Atlantic Bight"
"125","crab, jonah",5,"Connecticut"
"126","crab, jonah",6,"Maine"
"127","crab, jonah",7,"Massachusetts-Gulf of Maine"
"128","crab, jonah",8,"Massachusetts-Virginian"
"129","crab, jonah",9,"New Hampshire"
"130","crab, jonah",10,"New York"
"131","crab, jonah",11,"Rhode Island"
"132","crab, queen snow",3,"Gulf of Maine"
"133","crab, queen snow",6,"Maine"
"134","crab, queen snow",7,"Massachusetts-Gulf of Maine"
"135","crab, queen snow",9,"New Hampshire"
"136","crab, red",1,"Offshore"
"137","crab, red",2,"Georges Bank"
"138","crab, red",4,"Mid-Atlantic Bight"
"139","crab, red",8,"Massachusetts-Virginian"
"140","crab, rock",1,"Offshore"
"141","crab, rock",2,"Georges Bank"
"142","crab, rock",3,"Gulf of Maine"
"143","crab, rock",4,"Mid-Atlantic Bight"
"144","crab, rock",5,"Connecticut"
"145","crab, rock",6,"Maine"
"146","crab, rock",7,"Massachusetts-Gulf of Maine"
"147","crab, rock",8,"Massachusetts-Virginian"
"148","crab, rock",9,"New Hampshire"
"149","crab, rock",10,"New York"
"150","crab, rock",11,"Rhode Island"
"151","crab, species not specified",1,"Offshore"
