"","year","rgn_name","assessment_score","rgn_id"
"105",2013,"Maine",0.499878209744325,6
"106",2013,"Massachusetts-North",0.498744604874005,7
"107",2013,"Massachusetts-South",0.470158285905281,8
"108",2013,"Mid-Atlantic Bight",0.463082284949532,4
"109",2013,"New Hampshire",0.499703065583493,9
"110",2013,"New York",0.485644060052823,10
"111",2013,"Offshore",0.454764080230054,1
"112",2013,"Rhode Island",0.496533071476581,11
"113",2014,"Connecticut",0.492775965153928,5
"114",2014,"Georges Bank",0.48593882872251,2
"115",2014,"Gulf of Maine",0.496822939580915,3
"116",2014,"Maine",0.4999618682305,6
"117",2014,"Massachusetts-North",0.499089406022172,7
"118",2014,"Massachusetts-South",0.467469466049417,8
"119",2014,"Mid-Atlantic Bight",0.454196054749581,4
"120",2014,"New Hampshire",0.499974061270251,9
"121",2014,"New York",0.492852317579529,10
"122",2014,"Offshore",0.44450637447135,1
"123",2014,"Rhode Island",0.496951922125818,11
"124",2015,"Connecticut",0.491851400966794,5
"125",2015,"Georges Bank",0.487048281229061,2
"126",2015,"Gulf of Maine",0.496792716021959,3
"127",2015,"Maine",0.499949814426154,6
"128",2015,"Massachusetts-North",0.498331838499219,7
"129",2015,"Massachusetts-South",0.464156245848172,8
"130",2015,"Mid-Atlantic Bight",0.458533073432486,4
"131",2015,"New Hampshire",0.499943202155487,9
"132",2015,"New York",0.490900796958776,10
"133",2015,"Offshore",0.458906702934483,1
"134",2015,"Rhode Island",0.495217546436667,11
"135",2016,"Connecticut",0.491994561212029,5
"136",2016,"Georges Bank",0.48355265089604,2
"137",2016,"Gulf of Maine",0.499113159311248,3
"138",2016,"Maine",0.499957943421608,6
"139",2016,"Massachusetts-North",0.499564594599531,7
"140",2016,"Massachusetts-South",0.473878133119571,8
"141",2016,"Mid-Atlantic Bight",0.453810903023898,4
"142",2016,"New Hampshire",0.499975831564819,9
"143",2016,"New York",0.489703992612028,10
"144",2016,"Offshore",0.445587305999794,1
"145",2016,"Rhode Island",0.496202340975161,11
"146",2017,"Connecticut",0.488597506039111,5
"147",2017,"Georges Bank",0.450383564656403,2
"148",2017,"Gulf of Maine",0.498289691075506,3
"149",2017,"Maine",0.49990903141535,6
"150",2017,"Massachusetts-North",0.498748184323418,7
"151",2017,"Massachusetts-South",0.465317326933135,8
"152",2017,"Mid-Atlantic Bight",0.424242357063999,4
"153",2017,"New Hampshire",0.499944927242054,9
"154",2017,"New York",0.488531992934847,10
"155",2017,"Offshore",0.401799679405527,1
"156",2017,"Rhode Island",0.492974392643231,11
