"","year","rgn_id","rgn_name","annual_catch","annual_catch_ass","per_catch_landed"
"48",2005,2,"Georges Bank",108102901.334647,104961191.675901,0.970937785943229
"49",2006,2,"Georges Bank",87128067.6863709,84324995.1031294,0.967828133256306
"50",2007,2,"Georges Bank",95990453.7575546,93268669.1946086,0.971645257873033
"51",2008,2,"Georges Bank",83153713.0065746,79829544.1366412,0.960023807118864
"52",2009,2,"Georges Bank",109953193.701545,104366879.625689,0.949193707906122
"53",2010,2,"Georges Bank",98810490.2035293,95742797.5012277,0.968953775090248
"54",2011,2,"Georges Bank",118067184.294553,115323244.54738,0.976759505500467
"55",2012,2,"Georges Bank",104058410.730988,101576968.759093,0.976153374297541
"56",2013,2,"Georges Bank",113437274.39342,109985679.526545,0.969572656912543
"57",2014,2,"Georges Bank",109461852.216918,105419162.172572,0.963067589644518
"58",2015,2,"Georges Bank",110215753.393328,106471477.971045,0.966027765478126
"59",2016,2,"Georges Bank",84767987.576988,81096582.567262,0.95668877940046
"60",2017,2,"Georges Bank",82948323.290432,72787731.7124185,0.877506968496065
"61",2005,3,"Gulf of Maine",210644450.677517,205852008.225385,0.977248665052806
"62",2008,3,"Gulf of Maine",189901445.261286,182246152.173387,0.959688073582771
"63",2009,3,"Gulf of Maine",195966955.917401,191457841.059562,0.976990432714891
"64",2010,3,"Gulf of Maine",155225809.0548,146847678.302274,0.946026174361453
"65",2011,3,"Gulf of Maine",178920513.340116,173041490.108737,0.967141703756443
"66",2012,3,"Gulf of Maine",172435271.302022,169960805.672911,0.985649886995703
"67",2013,3,"Gulf of Maine",168810958.24118,168180806.750218,0.996267117386649
"68",2014,3,"Gulf of Maine",183660663.508221,182259042.989182,0.992368422871475
"69",2015,3,"Gulf of Maine",168086136.708142,166788413.15105,0.992279413504846
"70",2016,3,"Gulf of Maine",156154288.771112,155822596.063677,0.997875865529889
"71",2017,3,"Gulf of Maine",153100494.896873,152447346.583088,0.995733858899508
"72",2005,4,"Mid-Atlantic Bight",102775088.618649,98098805.7094734,0.954499840651788
"73",2006,4,"Mid-Atlantic Bight",135755579.587234,130478089.163526,0.961125056960792
"74",2007,4,"Mid-Atlantic Bight",124206739.03477,118863363.533567,0.956979987215452
"75",2008,4,"Mid-Atlantic Bight",112318100.068368,104382888.36215,0.929350552569999
"76",2009,4,"Mid-Atlantic Bight",124275956.285053,112644292.030841,0.906404548378356
"77",2010,4,"Mid-Atlantic Bight",95202896.2709262,87970746.0178211,0.924034346260601
"78",2011,4,"Mid-Atlantic Bight",81579066.1880047,75265330.1204943,0.922605928670966
"79",2005,5,"Connecticut",2409700.20462038,2329814.6316933,0.966848335417866
"80",2006,5,"Connecticut",3002972.14091497,2919440.07352598,0.972183535687567
"81",2007,5,"Connecticut",2487846.78166856,2376284.1994999,0.955156972289976
"82",2008,5,"Connecticut",1060281.67818697,1037353.61717749,0.978375500132483
"83",2009,5,"Connecticut",1452411.75666849,1415471.88627824,0.974566530310262
"84",2010,5,"Connecticut",1500133.70133477,1454600.4928609,0.969647233154379
"85",2011,5,"Connecticut",977949.218127542,930779.554566254,0.951766755689418
"86",2012,5,"Connecticut",1724295.96683503,1664004.38005997,0.965034084672991
"87",2015,5,"Connecticut",2431488.32384856,2385369.85331338,0.981032822538014
"88",2005,7,"Massachusetts-North",26009933.4662631,25824210.6400631,0.992859542434395
"89",2008,7,"Massachusetts-North",23129288.8990838,22948168.1534867,0.992169203887445
"90",2009,7,"Massachusetts-North",22779138.6248701,22622574.0414331,0.993126843555619
"91",2010,7,"Massachusetts-North",23917059.1182523,23626498.6786556,0.987851330794473
"92",2011,7,"Massachusetts-North",16237212.8074037,15912987.4894886,0.980031959809797
"93",2012,7,"Massachusetts-North",16854382.9515976,16675881.0504274,0.989409170203216
"94",2013,7,"Massachusetts-North",10077506.4046802,9989639.69101711,0.991280907187291
"95",2014,7,"Massachusetts-North",13046948.7049427,12979704.9968701,0.994846020353623
"96",2015,7,"Massachusetts-North",11204457.6465758,11080160.1964278,0.988906428667167
"97",2016,7,"Massachusetts-North",11865537.0441859,11830065.1774526,0.99701051316926
"98",2017,7,"Massachusetts-North",16141014.2579609,16031439.5049259,0.993211408447835
"99",2005,8,"Massachusetts-South",3350950.61359291,2832571.71966421,0.845303929032578
"100",2006,8,"Massachusetts-South",4532443.15959198,3829158.89445665,0.844833296221935
"101",2007,8,"Massachusetts-South",4414182.65811894,3776050.39249292,0.855435917575291
"102",2008,8,"Massachusetts-South",3908291.73312192,3151155.11913338,0.806274284088884
"103",2009,8,"Massachusetts-South",4541171.03443712,3746642.67540773,0.825038882481142
"104",2010,8,"Massachusetts-South",4008884.75509025,3273096.70264581,0.81646066240488
"105",2011,8,"Massachusetts-South",4042773.09636653,3251016.81386373,0.804155152013256
"106",2005,10,"New York",8525887.30142492,8325799.20506264,0.976531698193003
"107",2006,10,"New York",13068864.4032317,12833231.0599056,0.981969868532126
"108",2007,10,"New York",9542350.12984391,9255512.25242948,0.969940541532076
"109",2008,10,"New York",8312450.83132829,8104948.00011008,0.97503710573106
"110",2009,10,"New York",9780922.21045376,9403431.00103275,0.961405356131188
"111",2010,10,"New York",8887640.0663929,8719049.86389635,0.9810309372075
"112",2011,10,"New York",5318695.29886103,5135914.38819746,0.965634257953692
"113",2012,10,"New York",6759455.87234513,6572807.03219783,0.972387002197774
"114",2015,10,"New York",6721698.28809902,6594686.19976144,0.98110416699862
"115",2005,11,"Rhode Island",7724481.74870214,7664214.32354549,0.992197868139597
"116",2006,11,"Rhode Island",14409587.5966862,14299381.4043593,0.992351884355645
"117",2007,11,"Rhode Island",6806121.42704288,6712598.39456951,0.986258982670839
"118",2008,11,"Rhode Island",9176931.94743882,9116148.17330894,0.993376460185385
"119",2009,11,"Rhode Island",13956910.4824867,13900042.3394988,0.995925449041231
"120",2010,11,"Rhode Island",7099970.91128123,7029793.19665814,0.99011577434612
"121",2011,11,"Rhode Island",8691250.74562355,8516539.34662109,0.97989801420809
"122",2005,6,"Maine",26504504.6257452,25620503.0078548,0.966647117900415
"123",2008,6,"Maine",24728765.7485814,23347924.9932563,0.94416054689651
"124",2009,6,"Maine",19709326.4208157,18937362.8049134,0.96083257238629
"125",2010,6,"Maine",12881776.0954359,11168841.9772659,0.867026557092784
"126",2011,6,"Maine",19030338.1169249,17835292.9574158,0.937203156761244
"127",2012,6,"Maine",15513548.0640075,15038809.7765712,0.969398471228013
"128",2013,6,"Maine",15771653.7859708,15705841.3757955,0.995827171261273
"129",2014,6,"Maine",16938542.7375567,16918320.5331852,0.998806142613044
"130",2015,6,"Maine",15130975.7369139,15105000.2525551,0.998283290859062
"131",2005,9,"New Hampshire",1479670.48785751,1412284.17270491,0.954458566481124
"132",2008,9,"New Hampshire",1025214.32999253,915647.636897993,0.893128012466104
"133",2009,9,"New Hampshire",1470497.86438927,1410353.55155744,0.959099353839042
"134",2010,9,"New Hampshire",778631.313166619,638578.389861759,0.820129346281645
"135",2011,9,"New Hampshire",1004422.70314931,900400.570054858,0.896435900175998
"136",2012,9,"New Hampshire",726785.720170562,683565.693417777,0.940532641804462
"137",2013,9,"New Hampshire",910733.462344833,905687.662497225,0.994459630554678
"138",2014,9,"New Hampshire",837759.284555667,837264.484903329,0.999409377297919
"139",2015,9,"New Hampshire",892206.049926286,891037.877628612,0.998690692247861
"140",2016,6,"Maine",17138787.5727979,17115168.4335143,0.998621889723336
"141",2017,6,"Maine",13123910.883198,13081017.7923132,0.996731683774255
"142",2016,9,"New Hampshire",831422.747198115,830826.464110797,0.999282816005061
"143",2017,9,"New Hampshire",727582.937304762,726293.969752845,0.998228425261466
"144",2005,12,"Northeast",537659147.483563,521871847.827169,0.970636973758775
"145",2006,12,"Northeast",540936356.067595,524658134.196579,0.96990732516233
"146",2007,12,"Northeast",480938421.874914,463206179.229929,0.963129910528137
"147",2008,12,"Northeast",476838629.556502,453639557.435372,0.951348169625631
"148",2009,12,"Northeast",527329203.71442,501909024.292593,0.951794478206837
"149",2010,12,"Northeast",436964209.120691,413879387.969762,0.947169995461681
"150",2011,12,"Northeast",458346308.673734,439511813.672039,0.958907719675556
"151",2012,12,"Northeast",462251186.160124,448692062.63916,0.970667195830046
"152",2013,12,"Northeast",454434897.026665,440555644.514081,0.969458215899802
"153",2014,12,"Northeast",452827113.359416,436923102.855914,0.964878404949046
"154",2015,12,"Northeast",425950986.193062,411593911.757429,0.96629406926851
"155",2016,12,"Northeast",387191407.40958,373548511.002131,0.964764464948426
"156",2017,12,"Northeast",368466530.331246,343117290.416742,0.931203412446403
