state,year,rgn_id,rgn_name,rgn_gdp,gdp_avg_3yr,gdp_prev_3yr,gdp_growth_rate
New Hampshire,2009,9,New Hampshire,306510000,335754333.3333333,370953000,-0.17372281663714806
Connecticut,2010,5,Connecticut,3903830000,3726890333.3333335,3656067333.3333335,0.06776753382186063
Maine,2010,6,Maine,2124973000,2058716000,2086758666.6666667,0.018312770874638673
New York,2010,10,New York,19671076000,19152743666.666668,18689313333.333332,0.05253069757868767
Rhode Island,2010,11,Rhode Island,1980056000,1941252333.3333333,1928874000,0.02653465182277337
Massachusetts,2010,7,Massachusetts-Gulf of Maine,2274899000,2203776333.3333335,2179936333.3333335,0.043562128496413166
Massachusetts,2010,8,Massachusetts-Virginian,1290560000,1291092333.3333333,1326536333.3333333,-0.027120503546956387
New Hampshire,2010,9,New Hampshire,316747000,309906666.6666667,335754333.3333333,-0.05661083550175072
Connecticut,2011,5,Connecticut,3768886000,3798409333.3333335,3726890333.3333335,0.011268286134168415
Maine,2011,6,Maine,2150078000,2082060000,2058716000,0.04437814637861659
New York,2011,10,New York,21117461000,19776512000,19152743666.666668,0.10258150829600021
Rhode Island,2011,11,Rhode Island,2028680000,1953693000,1941252333.3333333,0.045036734877502704
Massachusetts,2011,7,Massachusetts-Gulf of Maine,2796158500,2399769666.6666665,2203776333.3333335,0.2688032164183629
Massachusetts,2011,8,Massachusetts-Virginian,992446500,1222549333.3333333,1291092333.3333333,-0.23131252941630553
New Hampshire,2011,9,New Hampshire,348398000,323885000,309906666.6666667,0.12420298584520073
Connecticut,2012,5,Connecticut,3993109000,3888608333.3333335,3798409333.3333335,0.05125821089319138
Maine,2012,6,Maine,2176052000,2150367666.6666665,2082060000,0.045143751861137504
New York,2012,10,New York,22075178000,20954571666.666668,19776512000,0.11623212424921037
Rhode Island,2012,11,Rhode Island,2110066000,2039600666.6666667,1953693000,0.08003969917484466
Massachusetts,2012,7,Massachusetts-Gulf of Maine,2881011000,2650689500,2399769666.6666665,0.20053646815270754
Massachusetts,2012,8,Massachusetts-Virginian,1016816000,1099940833.3333333,1222549333.3333333,-0.16828223428202482
New Hampshire,2012,9,New Hampshire,389054000,351399666.6666667,323885000,0.20121030612717483
Connecticut,2013,5,Connecticut,3852717000,3871570666.6666665,3888608333.3333335,-0.009229865868894849
Maine,2013,6,Maine,2179764000,2168631333.3333335,2150367666.6666665,0.013670375438122884
New York,2013,10,New York,23690369000,22294336000,20954571666.666668,0.1305584946737557
Rhode Island,2013,11,Rhode Island,2233320000,2124022000,2039600666.6666667,0.09497904982053673
Massachusetts,2013,7,Massachusetts-Gulf of Maine,2877952500,2851707333.3333335,2650689500,0.08573731476281932
Massachusetts,2013,8,Massachusetts-Virginian,1013704500,1007655666.6666666,1099940833.3333333,-0.07840088368389508
New Hampshire,2013,9,New Hampshire,413862000,383771333.3333333,351399666.6666667,0.1777529669445712
Connecticut,2014,5,Connecticut,3642408000,3829411333.3333335,3871570666.6666665,-0.05919113620725158
Maine,2014,6,Maine,2265548000,2207121333.3333335,2168631333.3333335,0.04469024549124212
New York,2014,10,New York,23400657000,23055401333.333332,22294336000,0.04962341107624835
Rhode Island,2014,11,Rhode Island,2206565000,2183317000,2124022000,0.03886165020889609
Massachusetts,2014,7,Massachusetts-Gulf of Maine,3073180500,2944048000,2851707333.3333335,0.07766335769378863
Massachusetts,2014,8,Massachusetts-Virginian,1062084500,1030868333.3333334,1007655666.6666666,0.054015310124126525
New Hampshire,2014,9,New Hampshire,430915000,411277000,383771333.3333333,0.12284311664758718
Connecticut,2015,5,Connecticut,4023750000,3839625000,3829411333.3333335,0.05074896629020609
Maine,2015,6,Maine,2342603000,2262638333.3333335,2207121333.3333335,0.06138387800459233
New York,2015,10,New York,23601279000,23564101666.666668,23055401333.333332,0.023676780064437297
Rhode Island,2015,11,Rhode Island,2364540000,2268141666.6666665,2183317000,0.083003521705735
Massachusetts,2015,7,Massachusetts-Gulf of Maine,3300424000,3083852333.3333335,2944048000,0.12104965679907398
Massachusetts,2015,8,Massachusetts-Virginian,1503446000,1193078333.3333333,1030868333.3333334,0.4584267955332155
New Hampshire,2015,9,New Hampshire,481614000,442130333.3333333,411277000,0.17102099071915045
Connecticut,2016,5,Connecticut,3943586000,3869914666.6666665,3839625000,0.027075821206498096
Maine,2016,6,Maine,2502429000,2370193333.3333335,2262638333.3333335,0.10597834533873796
New York,2016,10,New York,23785488000,23595808000,23564101666.666668,0.00939506782244548
Rhode Island,2016,11,Rhode Island,2438681000,2336595333.3333335,2268141666.6666665,0.0751890130319608
Massachusetts,2016,7,Massachusetts-Gulf of Maine,3608404000,3327336166.6666665,3083852333.3333335,0.17009623353128545
Massachusetts,2016,8,Massachusetts-Virginian,1358386000,1307972166.6666667,1193078333.3333333,0.13855558520186584
New Hampshire,2016,9,New Hampshire,452964000,455164333.3333333,442130333.3333333,0.024503332727679794
