"","species","us_rank_review_yr","natserve_yr_last_reviewed","natserve_yr_lst_changed"
"155","Thunnus albacares",NA,NA,NA
"156","Thunnus obesus",NA,NA,NA
"157","Thunnus thynnus",NA,NA,NA
"158","Makaira nigricans",NA,NA,NA
"159","Xiphias gladius",NA,"2017","2017"
"160","Sarda sarda",NA,NA,NA
"161","Scomberomorus cavalla",NA,NA,NA
"162","Scomberomorus maculatus","1996","1997","1997"
"163","Euthynnus alletteratus",NA,NA,NA
"164","Scomber scombrus","1996","1997","1997"
"165","Kajikia albida",NA,NA,NA
"166","Scomberomorus regalis",NA,NA,NA
"167","Auxis thazard",NA,NA,NA
"168","Katsuwonus pelamis",NA,NA,NA
"169","Astroscopus guttatus",NA,NA,NA
"170","Tautoga onitis",NA,NA,NA
"171","Tautogolabrus adspersus","1996","2017","1997"
"172","Charadrius semipalmatus","1997","2016","1996"
"173","Fulica americana","1997","2016","1996"
"174","Charadrius vociferus","1997","2016","1996"
"175","Chlidonias niger","1997","2016","2016"
"176","Chordeiles minor","1997","2016","1996"
"177","Clangula hyemalis","1997","2016","1996"
"178","Hydrocoloeus minutus","1998","2016","1996"
"179","Egretta thula","1997","2016","1996"
"180","Gavia stellata","1997","2016","1996"
"181","Nycticorax nycticorax","1997","2016","1996"
"182","Falco columbarius","1997","2016","1996"
"183","Falco peregrinus","1997","2016","2000"
"184","Gavia immer","1997","2016","1996"
"185","Histrionicus histrionicus","1997","2016","1996"
"186","Ixobrychus exilis","1997","2017","2017"
"187","Ammospiza maritima","1997","1996","1996"
"188","Ammospiza nelsoni","1996","2016","2016"
"189","Mareca americana","1997","2016","1996"
"190","Mareca penelope","2003","2016","1996"
"191","Larus atricilla","1997","2016","1996"
"192","Larus delawarensis","1997","2016","1996"
"193","Larus fuscus","1997","2016","1996"
"194","Larus glaucoides","1997","2016","1996"
"195","Larus marinus","1997","2016","1996"
"196","Larus philadelphia","1997","2016","1996"
"197","Larus ridibundus","2003","2016","1996"
"198","Limnodromus griseus","1997","2016","1996"
"199","Oceanites oceanicus","2003","2016","1996"
"200","Limosa haemastica","1997","2016","1996"
"201","Lophodytes cucullatus","1997","2016","1996"
"202","Melanitta perspicillata","1997","2016","1996"
"203","Mergus merganser","1997","2016","1996"
"204","Mergus serrator","1997","2016","1996"
"205","Mycteria americana","1997","1996","1996"
"206","Phalacrocorax carbo","1997","2016","1996"
"207","Numenius phaeopus","1997","2016","1996"
"208","Nyctanassa violacea","1997","1996","1996"
"209","Onychoprion anaethetus","1997","2014","1996"
"210","Pandion haliaetus","1997","2016","1996"
"211","Phalacrocorax auritus","1997","2016","1996"
"212","Pluvialis squatarola","1997","2016","1996"
"213","Pinguinus impennis","1997","2016","1996"
"214","Pluvialis dominica","1997","2016","1996"
"215","Rallus crepitans","1997","1996","1996"
"216","Sterna paradisaea","1997","2016","1996"
"217","Somateria mollissima","1997","2016","2000"
"218","Somateria spectabilis","1997","2016","1996"
"219","Spatula clypeata","1997","2016","1996"
"220","Spatula discors","1997","2016","1996"
"221","Stercorarius pomarinus","1997","2016","1996"
"222","Sterna hirundo","1997","2016","1996"
"223","Sternula antillarum","1997","2016","1996"
