"","common","sciname"
"98","red phalarope","Phalaropus fulicarius"
"99","red throated loon","Gavia stellata"
"100","ring billed gull","Larus delawarensis"
"101","rissos dolphin","Grampus griseus"
"102","roseate tern","Sterna dougallii"
"103","rosette skate","Leucoraja garmani"
"104","roughtail stingray","Dasyatis centroura"
"105","round herring","Etrumeus sadina"
"106","royal tern","Thalasseus maximus"
"107","sand tiger","Carcharias taurus"
"108","scup","Stenotomus chrysops"
"109","sea raven","Hemitripterus americanus"
"110","sea scallop","Placopecten magellanicus"
"111","sei whale","Balaenoptera borealis"
"112","short beaked common dolphin","Delphinus delphis"
"113","short finned pilot whale","Globicephala macrorhynchus"
"114","silver hake","Merluccius bilinearis"
"115","smooth dogfish","Mustelus canis"
"116","smooth skate","Malacoraja senta"
"117","sooty shearwater","Ardenna grisea"
"118","sooty tern","Onychoprion fuscatus"
"119","south polar skua","Stercorarius maccormicki"
"120","southern stingray","Dasyatis americana"
"121","sowerbys beaked whale","Mesoplodon bidens"
"122","sperm whale","Physeter macrocephalus"
"123","spiny butterfly ray","Gymnura altavela"
"124","spiny dogfish","Squalus acanthias"
"125","spot","Leiostomus xanthurus"
"126","spotted hake","Urophycis regia"
"127","striped dolphin","Stenella coeruleoalba"
"128","striped anchovy","Anchoa hepsetus"
"129","striped bass","Morone saxatilis"
"130","striped searobin","Prionotus evolans"
"131","summer flounder","Paralichthys dentatus"
"132","surf scoter","Melanitta perspicillata"
"133","tautog","Tautoga onitis"
"134","thick billed murre","Uria lomvia"
"135","thorny skate","Amblyraja radiata"
"136","tilefish","Lopholatilus chamaeleonticeps"
"137","trues beaked whale","Mesoplodon mirus"
"138","weakfish","Cynoscion regalis"
"139","white hake","Urophycis tenuis"
"140","white winged scoter","Melanitta fusca"
"141","wilsons storm petrel","Oceanites oceanicus"
"142","windowpane","Scophthalmus aquosus"
"143","winter flounder","Pseudopleuronectes americanus"
"144","winter skate","Leucoraja ocellata"
"145","witch flounder","Glyptocephalus cynoglossus"
"146","yellowtail flounder","Pleuronectes ferruginea"
