"","rgn_id","area_km2","SID"
"338",4,37240,155014
"339",5,1453,155014
"340",6,64,155014
"341",7,3395,155014
"342",8,2675,155014
"343",9,63,155014
"344",10,4395,155014
"345",11,1119,155014
"346",1,105282,155068
"347",2,49938,155068
"348",3,59638,155068
"349",4,42218,155068
"350",5,1453,155068
"351",6,6675,155068
"352",7,3398,155068
"353",8,2675,155068
"354",9,180,155068
"355",10,4395,155068
"356",11,1119,155068
"357",1,101042,155075
"358",2,21975,155075
"359",4,42214,155075
"360",5,1082,155075
"361",8,1051,155075
"362",10,4395,155075
"363",11,565,155075
"364",1,199,155081
"365",4,19920,155081
"366",10,1526,155081
"367",1,43434,155096
"368",2,49938,155096
"369",3,59638,155096
"370",4,42218,155096
"371",5,1453,155096
"372",6,6675,155096
"373",7,3398,155096
"374",8,2675,155096
"375",9,180,155096
"376",10,4395,155096
"377",11,1119,155096
"378",1,206,15521852
"379",2,46,15521852
"380",4,31540,15521852
"381",5,1453,15521852
"382",8,314,15521852
"383",10,4393,15521852
"384",11,1119,15521852
"385",1,201,15521875
"386",4,7282,15521875
"387",10,539,15521875
"388",1,206,15521927
"389",2,10559,15521927
"390",3,1831,15521927
"391",4,36714,15521927
"392",5,1453,15521927
"393",7,2153,15521927
"394",8,2675,15521927
"395",10,4395,15521927
"396",11,1119,15521927
"397",1,205,15521934
"398",4,12863,15521934
"399",10,1112,15521934
"400",1,52551,15522054
"401",2,49938,15522054
"402",3,59638,15522054
"403",4,42218,15522054
"404",5,1453,15522054
"405",6,6675,15522054
"406",7,3398,15522054
"407",8,2675,15522054
"408",9,180,15522054
"409",10,4395,15522054
"410",11,1119,15522054
"411",1,78846,15522140
"412",2,3438,15522140
"413",4,830,15522140
"414",1,52297,15522149
"415",2,2283,15522149
"416",3,2799,15522149
"417",4,3620,15522149
"418",1,105282,15522213
"419",2,49938,15522213
"420",3,17502,15522213
"421",4,42218,15522213
"422",5,387,15522213
"423",7,1481,15522213
"424",8,2674,15522213
"425",10,3774,15522213
"426",11,1065,15522213
"427",1,249,155259
"428",2,47647,155259
"429",3,50868,155259
"430",4,38208,155259
"431",5,1453,155259
"432",6,6463,155259
"433",7,3398,155259
"434",8,2675,155259
