"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1655",NA,"Numenius phaeopus","IUCN",22693178,"NH","N5B,N5N",NA,"NH"
"1656",NA,"Numenius phaeopus","IUCN",22693178,"NY","N5B,N5N",NA,"NY"
"1657",NA,"Numenius phaeopus","IUCN",22693178,"RI","S3N",NA,"RI"
"1658",NA,"Numenius phaeopus","IUCN",22693178,"IUCN","LC - Least concern",NA,"IUCN"
"1659",NA,"Numenius phaeopus","IUCN",22693178,"USA","N5B,N5N",NA,"USA"
"1660",NA,"Nyctanassa violacea","IUCN",22697203,"CT","S1B",NA,"CT"
"1661",NA,"Nyctanassa violacea","IUCN",22697203,"MA","S1B,S2N",NA,"MA"
"1662",NA,"Nyctanassa violacea","IUCN",22697203,"NY","S2",NA,"NY"
"1663",NA,"Nyctanassa violacea","IUCN",22697203,"RI","S1B,S1N",NA,"RI"
"1664",NA,"Nyctanassa violacea","IUCN",22697203,"IUCN","LC - Least concern",NA,"IUCN"
"1665",NA,"Nyctanassa violacea","IUCN",22697203,"USA","N5B,N5N",NA,"USA"
"1666",NA,"Pandion haliaetus","IUCN",22694938,"CT","S4B",NA,"CT"
"1667",NA,"Pandion haliaetus","IUCN",22694938,"ME","S5B",NA,"ME"
"1668",NA,"Pandion haliaetus","IUCN",22694938,"MA","S4B,S5M",NA,"MA"
"1669",NA,"Pandion haliaetus","IUCN",22694938,"NH","S3B",NA,"NH"
"1670",NA,"Pandion haliaetus","IUCN",22694938,"NY","S4B",NA,"NY"
"1671",NA,"Pandion haliaetus","IUCN",22694938,"RI","S2B,S2N",NA,"RI"
"1672",NA,"Pandion haliaetus","IUCN",22694938,"IUCN","LC - Least concern",NA,"IUCN"
"1673",NA,"Pandion haliaetus","IUCN",22694938,"USA","N5B,N4N",NA,"USA"
"1674",NA,"Pluvialis squatarola","IUCN",22693749,"CT","N5B,N5N",NA,"CT"
"1675",NA,"Pluvialis squatarola","IUCN",22693749,"ME","S4S5N",NA,"ME"
"1676",NA,"Pluvialis squatarola","IUCN",22693749,"MA","S4N",NA,"MA"
"1677",NA,"Pluvialis squatarola","IUCN",22693749,"NH","N5B,N5N",NA,"NH"
"1678",NA,"Pluvialis squatarola","IUCN",22693749,"NY","N5B,N5N",NA,"NY"
"1679",NA,"Pluvialis squatarola","IUCN",22693749,"RI","N5B,N5N",NA,"RI"
"1680",NA,"Pluvialis squatarola","IUCN",22693749,"IUCN","LC - Least concern",NA,"IUCN"
"1681",NA,"Pluvialis squatarola","IUCN",22693749,"USA","N5B,N5N",NA,"USA"
"1682",NA,"Pinguinus impennis","IUCN",22694856,"ME","SXN",NA,"ME"
"1683",NA,"Pinguinus impennis","IUCN",22694856,"MA","SX",NA,"MA"
"1684",NA,"Pinguinus impennis","IUCN",22694856,"NH","SX",NA,"NH"
"1685",NA,"Pinguinus impennis","IUCN",22694856,"IUCN","EX - Extinct",NA,"IUCN"
"1686",NA,"Pinguinus impennis","IUCN",22694856,"USA","NX",NA,"USA"
"1687",NA,"Pluvialis dominica","IUCN",22693740,"CT","N5B",NA,"CT"
"1688",NA,"Pluvialis dominica","IUCN",22693740,"ME","S2N",NA,"ME"
"1689",NA,"Pluvialis dominica","IUCN",22693740,"MA","S2N",NA,"MA"
"1690",NA,"Pluvialis dominica","IUCN",22693740,"NH","N5B",NA,"NH"
"1691",NA,"Pluvialis dominica","IUCN",22693740,"NY","N5B",NA,"NY"
"1692",NA,"Pluvialis dominica","IUCN",22693740,"RI","S2N",NA,"RI"
"1693",NA,"Pluvialis dominica","IUCN",22693740,"IUCN","LC - Least concern",NA,"IUCN"
"1694",NA,"Pluvialis dominica","IUCN",22693740,"USA","N5B",NA,"USA"
"1695",NA,"Rallus crepitans","IUCN",62155296,"CT","S2B",NA,"CT"
"1696",NA,"Rallus crepitans","IUCN",62155296,"ME","S1?N",NA,"ME"
"1697",NA,"Rallus crepitans","IUCN",62155296,"MA","S2B,S2N",NA,"MA"
"1698",NA,"Rallus crepitans","IUCN",62155296,"NY","S2S3",NA,"NY"
"1699",NA,"Rallus crepitans","IUCN",62155296,"RI","S1B,S2N",NA,"RI"
"1700",NA,"Rallus crepitans","IUCN",62155296,"IUCN","LC - Least concern",NA,"IUCN"
"1701",NA,"Rallus crepitans","IUCN",62155296,"USA","N5B,N5N",NA,"USA"
"1702",NA,"Somateria spectabilis","IUCN",22680409,"CT","N4B,N4N",NA,"CT"
"1703",NA,"Somateria spectabilis","IUCN",22680409,"ME","S1S2N",NA,"ME"
"1704",NA,"Somateria spectabilis","IUCN",22680409,"MA","S1N",NA,"MA"
"1705",NA,"Somateria spectabilis","IUCN",22680409,"NY","N4B,N4N",NA,"NY"
"1706",NA,"Somateria spectabilis","IUCN",22680409,"IUCN","LC - Least concern",NA,"IUCN"
"1707",NA,"Somateria spectabilis","IUCN",22680409,"USA","N4B,N4N",NA,"USA"
"1708",NA,"Spatula clypeata","IUCN",22680247,"CT","N5B,N5N",NA,"CT"
"1709",NA,"Spatula clypeata","IUCN",22680247,"ME","S1B",NA,"ME"
"1710",NA,"Spatula clypeata","IUCN",22680247,"MA","S1B,S4M",NA,"MA"
"1711",NA,"Spatula clypeata","IUCN",22680247,"NH","N5B,N5N",NA,"NH"
"1712",NA,"Spatula clypeata","IUCN",22680247,"NY","S2",NA,"NY"
"1713",NA,"Spatula clypeata","IUCN",22680247,"RI","S2N",NA,"RI"
"1714",NA,"Spatula clypeata","IUCN",22680247,"IUCN","LC - Least concern",NA,"IUCN"
"1715",NA,"Spatula clypeata","IUCN",22680247,"USA","N5B,N5N",NA,"USA"
"1716",NA,"Spatula discors","IUCN",22680229,"CT","SHB",NA,"CT"
"1717",NA,"Spatula discors","IUCN",22680229,"ME","S4S5B",NA,"ME"
"1718",NA,"Spatula discors","IUCN",22680229,"MA","S2B,S5M",NA,"MA"
"1719",NA,"Spatula discors","IUCN",22680229,"NH","S3B",NA,"NH"
"1720",NA,"Spatula discors","IUCN",22680229,"NY","S2S3B,SNRN",NA,"NY"
"1721",NA,"Spatula discors","IUCN",22680229,"RI","S1B",NA,"RI"
