"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1782",NA,"Cistothorus palustris","IUCN",22711374,"USA","N5B,N5N",NA,"USA"
"1783",NA,"Geothlypis trichas","IUCN",22721836,"CT","S5B",NA,"CT"
"1784",NA,"Geothlypis trichas","IUCN",22721836,"ME","S4S5B",NA,"ME"
"1785",NA,"Geothlypis trichas","IUCN",22721836,"MA","S5B",NA,"MA"
"1786",NA,"Geothlypis trichas","IUCN",22721836,"NH","S5B",NA,"NH"
"1787",NA,"Geothlypis trichas","IUCN",22721836,"NY","S5B",NA,"NY"
"1788",NA,"Geothlypis trichas","IUCN",22721836,"RI","S5B",NA,"RI"
"1789",NA,"Geothlypis trichas","IUCN",22721836,"IUCN","LC - Least concern",NA,"IUCN"
"1790",NA,"Geothlypis trichas","IUCN",22721836,"USA","N5",NA,"USA"
"1791",NA,"Egretta tricolor","IUCN",22696931,"CT","S1B",NA,"CT"
"1792",NA,"Egretta tricolor","IUCN",22696931,"ME","S1B",NA,"ME"
"1793",NA,"Egretta tricolor","IUCN",22696931,"MA","SXB,S2N",NA,"MA"
"1794",NA,"Egretta tricolor","IUCN",22696931,"NH","N5B,N5N",NA,"NH"
"1795",NA,"Egretta tricolor","IUCN",22696931,"NY","S2",NA,"NY"
"1796",NA,"Egretta tricolor","IUCN",22696931,"RI","S2N",NA,"RI"
"1797",NA,"Egretta tricolor","IUCN",22696931,"IUCN","LC - Least concern",NA,"IUCN"
"1798",NA,"Egretta tricolor","IUCN",22696931,"USA","N5B,N5N",NA,"USA"
"1799",NA,"Aythya valisineria","IUCN",22680364,"CT","N5B,N5N",NA,"CT"
"1800",NA,"Aythya valisineria","IUCN",22680364,"ME","N5B,N5N",NA,"ME"
"1801",NA,"Aythya valisineria","IUCN",22680364,"MA","S3N",NA,"MA"
"1802",NA,"Aythya valisineria","IUCN",22680364,"NH","N5B,N5N",NA,"NH"
"1803",NA,"Aythya valisineria","IUCN",22680364,"NY","N5B,N5N",NA,"NY"
"1804",NA,"Aythya valisineria","IUCN",22680364,"RI","N5B,N5N",NA,"RI"
"1805",NA,"Aythya valisineria","IUCN",22680364,"IUCN","LC - Least concern",NA,"IUCN"
"1806",NA,"Aythya valisineria","IUCN",22680364,"USA","N5B,N5N",NA,"USA"
"1807",NA,"Melospiza melodia","IUCN",22721058,"CT","S5B",NA,"CT"
"1808",NA,"Melospiza melodia","IUCN",22721058,"ME","S4N,S4S5B",NA,"ME"
"1809",NA,"Melospiza melodia","IUCN",22721058,"MA","S5",NA,"MA"
"1810",NA,"Melospiza melodia","IUCN",22721058,"NH","S5",NA,"NH"
"1811",NA,"Melospiza melodia","IUCN",22721058,"NY","S5B",NA,"NY"
"1812",NA,"Melospiza melodia","IUCN",22721058,"RI","S5B",NA,"RI"
"1813",NA,"Melospiza melodia","IUCN",22721058,"IUCN","LC - Least concern",NA,"IUCN"
"1814",NA,"Melospiza melodia","IUCN",22721058,"USA","N5",NA,"USA"
"1815",NA,"Haliaeetus leucocephalus","IUCN",22695144,"CT","S1B,S3N",NA,"CT"
"1816",NA,"Haliaeetus leucocephalus","IUCN",22695144,"ME","S4B,S4N",NA,"ME"
"1817",NA,"Haliaeetus leucocephalus","IUCN",22695144,"MA","S2B,S3N",NA,"MA"
"1818",NA,"Haliaeetus leucocephalus","IUCN",22695144,"NH","S2",NA,"NH"
"1819",NA,"Haliaeetus leucocephalus","IUCN",22695144,"NY","S2S3B,S2N",NA,"NY"
"1820",NA,"Haliaeetus leucocephalus","IUCN",22695144,"RI","S1B,S1N",NA,"RI"
"1821",NA,"Haliaeetus leucocephalus","IUCN",22695144,"IUCN","LC - Least concern",NA,"IUCN"
"1822",NA,"Haliaeetus leucocephalus","IUCN",22695144,"USA","N5B,N5N",NA,"USA"
"1823",NA,"Branta bernicla","IUCN",22679946,"CT","N5B,N5N",NA,"CT"
"1824",NA,"Branta bernicla","IUCN",22679946,"ME","S3S4N",NA,"ME"
"1825",NA,"Branta bernicla","IUCN",22679946,"MA","S4N",NA,"MA"
"1826",NA,"Branta bernicla","IUCN",22679946,"NH","N5B,N5N",NA,"NH"
"1827",NA,"Branta bernicla","IUCN",22679946,"NY","N5B,N5N",NA,"NY"
"1828",NA,"Branta bernicla","IUCN",22679946,"RI","N5B,N5N",NA,"RI"
"1829",NA,"Branta bernicla","IUCN",22679946,"IUCN","LC - Least concern",NA,"IUCN"
"1830",NA,"Branta bernicla","IUCN",22679946,"USA","N5B,N5N",NA,"USA"
"1831",NA,"Calidris alpina","IUCN",22693427,"CT","N5B,N5N",NA,"CT"
"1832",NA,"Calidris alpina","IUCN",22693427,"ME","S3N",NA,"ME"
"1833",NA,"Calidris alpina","IUCN",22693427,"MA","S5N",NA,"MA"
"1834",NA,"Calidris alpina","IUCN",22693427,"NH","N5B,N5N",NA,"NH"
"1835",NA,"Calidris alpina","IUCN",22693427,"NY","N5B,N5N",NA,"NY"
"1836",NA,"Calidris alpina","IUCN",22693427,"RI","N5B,N5N",NA,"RI"
"1837",NA,"Calidris alpina","IUCN",22693427,"IUCN","LC - Least concern",NA,"IUCN"
"1838",NA,"Calidris alpina","IUCN",22693427,"USA","N5B,N5N",NA,"USA"
"1839",NA,"Calidris fuscicollis","IUCN",22693399,"CT","N3B",NA,"CT"
"1840",NA,"Calidris fuscicollis","IUCN",22693399,"ME","S2S3N",NA,"ME"
"1841",NA,"Calidris fuscicollis","IUCN",22693399,"MA","S3N",NA,"MA"
"1842",NA,"Calidris fuscicollis","IUCN",22693399,"NH","N3B",NA,"NH"
"1843",NA,"Calidris fuscicollis","IUCN",22693399,"NY","N3B",NA,"NY"
"1844",NA,"Calidris fuscicollis","IUCN",22693399,"RI","S3N",NA,"RI"
"1845",NA,"Calidris fuscicollis","IUCN",22693399,"IUCN","LC - Least concern",NA,"IUCN"
"1846",NA,"Calidris fuscicollis","IUCN",22693399,"USA","N3B",NA,"USA"
"1847",NA,"Larus hyperboreus","IUCN",22694343,"CT","N5B,N5N",NA,"CT"
"1848",NA,"Larus hyperboreus","IUCN",22694343,"ME","S1N",NA,"ME"
"1849",NA,"Larus hyperboreus","IUCN",22694343,"MA","S1N",NA,"MA"
"1850",NA,"Larus hyperboreus","IUCN",22694343,"NH","N5B,N5N",NA,"NH"
"1851",NA,"Larus hyperboreus","IUCN",22694343,"NY","N5B,N5N",NA,"NY"
"1852",NA,"Larus hyperboreus","IUCN",22694343,"RI","S2N",NA,"RI"
"1853",NA,"Larus hyperboreus","IUCN",22694343,"IUCN","LC - Least concern",NA,"IUCN"
"1854",NA,"Larus hyperboreus","IUCN",22694343,"USA","N5B,N5N",NA,"USA"
"1855",NA,"Calidris minutilla","IUCN",22693396,"CT","N5B,N5N",NA,"CT"
"1856",NA,"Calidris minutilla","IUCN",22693396,"ME","S4S5N",NA,"ME"
"1857",NA,"Calidris minutilla","IUCN",22693396,"MA","S5N",NA,"MA"
"1858",NA,"Calidris minutilla","IUCN",22693396,"NH","N5B,N5N",NA,"NH"
"1859",NA,"Calidris minutilla","IUCN",22693396,"NY","N5B,N5N",NA,"NY"
"1860",NA,"Calidris minutilla","IUCN",22693396,"RI","N5B,N5N",NA,"RI"
"1861",NA,"Calidris minutilla","IUCN",22693396,"IUCN","LC - Least concern",NA,"IUCN"
"1862",NA,"Calidris minutilla","IUCN",22693396,"USA","N5B,N5N",NA,"USA"
"1863",NA,"Calidris pusilla","IUCN",22693373,"CT","N5B",NA,"CT"
"1864",NA,"Calidris pusilla","IUCN",22693373,"ME","S4S5N",NA,"ME"
"1865",NA,"Calidris pusilla","IUCN",22693373,"MA","S5N",NA,"MA"
"1866",NA,"Calidris pusilla","IUCN",22693373,"NH","N5B",NA,"NH"
"1867",NA,"Calidris pusilla","IUCN",22693373,"NY","N5B",NA,"NY"
"1868",NA,"Calidris pusilla","IUCN",22693373,"RI","N5B",NA,"RI"
"1869",NA,"Calidris pusilla","IUCN",22693373,"IUCN","NT - Near threatened",NA,"IUCN"
"1870",NA,"Calidris pusilla","IUCN",22693373,"USA","N5B",NA,"USA"
"1871",NA,"Calidris ruficollis","IUCN",22693383,"IUCN","LC - Least concern",NA,"IUCN"
"1872",NA,"Calidris ruficollis","IUCN",22693383,"USA","N3B",NA,"USA"
"1873",NA,"Melanitta deglandi","IUCN",22734194,NA,"LC","Decreasing","IUCN"
"1874",NA,"Ardea herodias","IUCN",22696998,"CT","S4B",NA,"CT"
"1875",NA,"Ardea herodias","IUCN",22696998,"ME","S4B",NA,"ME"
"1876",NA,"Ardea herodias","IUCN",22696998,"MA","S4B,S5N",NA,"MA"
"1877",NA,"Ardea herodias","IUCN",22696998,"NH","S4B",NA,"NH"
"1878",NA,"Ardea herodias","IUCN",22696998,"NY","S5",NA,"NY"
"1879",NA,"Ardea herodias","IUCN",22696998,"RI","S2B",NA,"RI"
"1880",NA,"Ardea herodias","IUCN",22696998,"IUCN","LC - Least concern",NA,"IUCN"
"1881",NA,"Ardea herodias","IUCN",22696998,"USA","N5B,N5N",NA,"USA"
"1882",NA,"Bucephala clangula","IUCN",22680455,"CT","N5B,N5N",NA,"CT"
"1883",NA,"Bucephala clangula","IUCN",22680455,"ME","S5B,S5N",NA,"ME"
"1884",NA,"Bucephala clangula","IUCN",22680455,"MA","S5N",NA,"MA"
"1885",NA,"Bucephala clangula","IUCN",22680455,"NH","S3B",NA,"NH"
"1886",NA,"Bucephala clangula","IUCN",22680455,"NY","S3,SNRN",NA,"NY"
"1887",NA,"Bucephala clangula","IUCN",22680455,"RI","N5B,N5N",NA,"RI"
"1888",NA,"Bucephala clangula","IUCN",22680455,"IUCN","LC - Least concern",NA,"IUCN"
"1889",NA,"Bucephala clangula","IUCN",22680455,"USA","N5B,N5N",NA,"USA"
"1890",NA,"Ardea alba","IUCN",22697043,"CT","S2B",NA,"CT"
"1891",NA,"Ardea alba","IUCN",22697043,"ME","S1?B,S3N",NA,"ME"
"1892",NA,"Ardea alba","IUCN",22697043,"MA","S2B,S4N",NA,"MA"
"1893",NA,"Ardea alba","IUCN",22697043,"NH","N5B,N5N",NA,"NH"
"1894",NA,"Ardea alba","IUCN",22697043,"NY","S4",NA,"NY"
"1895",NA,"Ardea alba","IUCN",22697043,"RI","S1B",NA,"RI"
"1896",NA,"Ardea alba","IUCN",22697043,"IUCN","LC - Least concern",NA,"IUCN"
"1897",NA,"Ardea alba","IUCN",22697043,"USA","N5B,N5N",NA,"USA"
"1898",NA,"Actitis macularius","IUCN",22693277,"CT","S5B",NA,"CT"
"1899",NA,"Actitis macularius","IUCN",22693277,"ME","S5B",NA,"ME"
"1900",NA,"Actitis macularius","IUCN",22693277,"MA","S4B,S5N",NA,"MA"
"1901",NA,"Actitis macularius","IUCN",22693277,"NH","S5B",NA,"NH"
"1902",NA,"Actitis macularius","IUCN",22693277,"NY","S5B",NA,"NY"
"1903",NA,"Actitis macularius","IUCN",22693277,"RI","S4B,S4N",NA,"RI"
"1904",NA,"Actitis macularius","IUCN",22693277,"IUCN","LC - Least concern",NA,"IUCN"
"1905",NA,"Actitis macularius","IUCN",22693277,"USA","N5B,N5N",NA,"USA"
"1906",NA,"Anas acuta","IUCN",22680301,"CT","N5B,N5N",NA,"CT"
"1907",NA,"Anas acuta","IUCN",22680301,"ME","S1B,S3S4N",NA,"ME"
"1908",NA,"Anas acuta","IUCN",22680301,"MA","S1B,S5M",NA,"MA"
"1909",NA,"Anas acuta","IUCN",22680301,"NH","N5B,N5N",NA,"NH"
"1910",NA,"Anas acuta","IUCN",22680301,"NY","S1B,S3N",NA,"NY"
"1911",NA,"Anas acuta","IUCN",22680301,"RI","N5B,N5N",NA,"RI"
"1912",NA,"Anas acuta","IUCN",22680301,"IUCN","LC - Least concern",NA,"IUCN"
"1913",NA,"Anas acuta","IUCN",22680301,"USA","N5B,N5N",NA,"USA"
"1914",NA,"Anas rubripes","IUCN",22680174,"CT","S3B,S4N",NA,"CT"
"1915",NA,"Anas rubripes","IUCN",22680174,"ME","S5B,S5N",NA,"ME"
"1916",NA,"Anas rubripes","IUCN",22680174,"MA","S4B,S5N",NA,"MA"
"1917",NA,"Anas rubripes","IUCN",22680174,"NH","S4",NA,"NH"
"1918",NA,"Anas rubripes","IUCN",22680174,"NY","S3B,SNRN",NA,"NY"
"1919",NA,"Anas rubripes","IUCN",22680174,"RI","S4B,S4N",NA,"RI"
"1920",NA,"Anas rubripes","IUCN",22680174,"IUCN","LC - Least concern",NA,"IUCN"
"1921",NA,"Anas rubripes","IUCN",22680174,"USA","N5B,N5N",NA,"USA"
"1922",NA,"Anser caerulescens","IUCN",22679896,"CT","N5B,N5N",NA,"CT"
"1923",NA,"Anser caerulescens","IUCN",22679896,"ME","S3N",NA,"ME"
"1924",NA,"Anser caerulescens","IUCN",22679896,"MA","S4N",NA,"MA"
"1925",NA,"Anser caerulescens","IUCN",22679896,"NH","N5B,N5N",NA,"NH"
"1926",NA,"Anser caerulescens","IUCN",22679896,"NY","N5B,N5N",NA,"NY"
"1927",NA,"Anser caerulescens","IUCN",22679896,"RI","N5B,N5N",NA,"RI"
"1928",NA,"Anser caerulescens","IUCN",22679896,"IUCN","LC - Least concern",NA,"IUCN"
"1929",NA,"Anser caerulescens","IUCN",22679896,"USA","N5B,N5N",NA,"USA"
"1930",NA,"Arenaria interpres","IUCN",22693336,"CT","N5B,N5N",NA,"CT"
"1931",NA,"Arenaria interpres","IUCN",22693336,"ME","S4N",NA,"ME"
"1932",NA,"Arenaria interpres","IUCN",22693336,"MA","S4N",NA,"MA"
"1933",NA,"Arenaria interpres","IUCN",22693336,"NH","N5B,N5N",NA,"NH"
"1934",NA,"Arenaria interpres","IUCN",22693336,"NY","N5B,N5N",NA,"NY"
"1935",NA,"Arenaria interpres","IUCN",22693336,"RI","S4N",NA,"RI"
"1936",NA,"Arenaria interpres","IUCN",22693336,"IUCN","LC - Least concern",NA,"IUCN"
"1937",NA,"Arenaria interpres","IUCN",22693336,"USA","N5B,N5N",NA,"USA"
"1938",NA,"Aythya affinis","IUCN",22680402,"CT","N5B,N5N",NA,"CT"
"1939",NA,"Aythya affinis","IUCN",22680402,"ME","S1S3N",NA,"ME"
"1940",NA,"Aythya affinis","IUCN",22680402,"MA","S5N",NA,"MA"
"1941",NA,"Aythya affinis","IUCN",22680402,"NH","N5B,N5N",NA,"NH"
"1942",NA,"Aythya affinis","IUCN",22680402,"RI","N5B,N5N",NA,"RI"
"1943",NA,"Aythya affinis","IUCN",22680402,"IUCN","LC - Least concern",NA,"IUCN"
"1944",NA,"Aythya affinis","IUCN",22680402,"USA","N5B,N5N",NA,"USA"
"1945",NA,"Aythya americana","IUCN",22680367,"CT","N5B,N5N",NA,"CT"
"1946",NA,"Aythya americana","IUCN",22680367,"ME","N5B,N5N",NA,"ME"
"1947",NA,"Aythya americana","IUCN",22680367,"MA","S3N",NA,"MA"
"1948",NA,"Aythya americana","IUCN",22680367,"NY","N5B,N5N",NA,"NY"
"1949",NA,"Aythya americana","IUCN",22680367,"RI","S2N",NA,"RI"
"1950",NA,"Aythya americana","IUCN",22680367,"IUCN","LC - Least concern",NA,"IUCN"
"1951",NA,"Aythya americana","IUCN",22680367,"USA","N5B,N5N",NA,"USA"
"1952",NA,"Aythya fuligula","IUCN",22680391,"IUCN","LC - Least concern",NA,"IUCN"
"1953",NA,"Aythya fuligula","IUCN",22680391,"USA","NNA",NA,"USA"
"1954",NA,"Aythya marila","IUCN",22680398,"CT","N5B,N5N",NA,"CT"
"1955",NA,"Aythya marila","IUCN",22680398,"ME","S3S4N",NA,"ME"
"1956",NA,"Aythya marila","IUCN",22680398,"MA","S5N",NA,"MA"
"1957",NA,"Aythya marila","IUCN",22680398,"NH","N5B,N5N",NA,"NH"
"1958",NA,"Aythya marila","IUCN",22680398,"NY","N5B,N5N",NA,"NY"
"1959",NA,"Aythya marila","IUCN",22680398,"RI","N5B,N5N",NA,"RI"
"1960",NA,"Aythya marila","IUCN",22680398,"IUCN","LC - Least concern",NA,"IUCN"
"1961",NA,"Aythya marila","IUCN",22680398,"USA","N5B,N5N",NA,"USA"
"1962",NA,"Bucephala albeola","IUCN",22680462,"CT","N5B,N5N",NA,"CT"
"1963",NA,"Bucephala albeola","IUCN",22680462,"ME","S5N",NA,"ME"
"1964",NA,"Bucephala albeola","IUCN",22680462,"MA","S5N",NA,"MA"
"1965",NA,"Bucephala albeola","IUCN",22680462,"NH","N5B,N5N",NA,"NH"
"1966",NA,"Bucephala albeola","IUCN",22680462,"NY","N5B,N5N",NA,"NY"
"1967",NA,"Bucephala albeola","IUCN",22680462,"RI","N5B,N5N",NA,"RI"
"1968",NA,"Bucephala albeola","IUCN",22680462,"IUCN","LC - Least concern",NA,"IUCN"
"1969",NA,"Bucephala albeola","IUCN",22680462,"USA","N5B,N5N",NA,"USA"
"1970",NA,"Butorides striata","IUCN",22728182,NA,"LC","Decreasing","IUCN"
"1971",NA,"Calidris alba","IUCN",22693369,"CT","N4B,N5N",NA,"CT"
"1972",NA,"Calidris alba","IUCN",22693369,"ME","S4N",NA,"ME"
"1973",NA,"Calidris alba","IUCN",22693369,"MA","S5N",NA,"MA"
"1974",NA,"Calidris alba","IUCN",22693369,"NH","N4B,N5N",NA,"NH"
"1975",NA,"Calidris alba","IUCN",22693369,"NY","N4B,N5N",NA,"NY"
"1976",NA,"Calidris alba","IUCN",22693369,"RI","N4B,N5N",NA,"RI"
"1977",NA,"Calidris alba","IUCN",22693369,"IUCN","LC - Least concern",NA,"IUCN"
"1978",NA,"Calidris alba","IUCN",22693369,"USA","N4B,N5N",NA,"USA"
"1979",NA,"Calidris canutus","IUCN",22693363,"CT","N2N3B,N3N",NA,"CT"
"1980",NA,"Calidris canutus","IUCN",22693363,"ME","S3N",NA,"ME"
"1981",NA,"Calidris canutus","IUCN",22693363,"MA","S2N",NA,"MA"
"1982",NA,"Calidris canutus","IUCN",22693363,"NH","N2N3B,N3N",NA,"NH"
"1983",NA,"Calidris canutus","IUCN",22693363,"NY","N2N3B,N3N",NA,"NY"
"1984",NA,"Calidris canutus","IUCN",22693363,"RI","S3N",NA,"RI"
"1985",NA,"Calidris canutus","IUCN",22693363,"IUCN","LC - Least concern",NA,"IUCN"
"1986",NA,"Calidris canutus","IUCN",22693363,"USA","N2N3B,N3N",NA,"USA"
"1987",NA,"Calidris maritima","IUCN",22693420,"CT","N5N",NA,"CT"
"1988",NA,"Calidris maritima","IUCN",22693420,"ME","S4S5N",NA,"ME"
"1989",NA,"Calidris maritima","IUCN",22693420,"MA","S4N",NA,"MA"
"1990",NA,"Calidris maritima","IUCN",22693420,"NH","N5N",NA,"NH"
"1991",NA,"Calidris maritima","IUCN",22693420,"NY","N5N",NA,"NY"
"1992",NA,"Calidris maritima","IUCN",22693420,"RI","N5N",NA,"RI"
"1993",NA,"Calidris maritima","IUCN",22693420,"IUCN","LC - Least concern",NA,"IUCN"
"1994",NA,"Calidris maritima","IUCN",22693420,"USA","N5N",NA,"USA"
"1995",NA,"Calidris melanotos","IUCN",22693408,"CT","N5B",NA,"CT"
"1996",NA,"Calidris melanotos","IUCN",22693408,"ME","S2S3N",NA,"ME"
"1997",NA,"Calidris melanotos","IUCN",22693408,"MA","S3N",NA,"MA"
"1998",NA,"Calidris melanotos","IUCN",22693408,"NH","N5B",NA,"NH"
"1999",NA,"Calidris melanotos","IUCN",22693408,"NY","N5B",NA,"NY"
"2000",NA,"Calidris melanotos","IUCN",22693408,"RI","N5B",NA,"RI"
"2001",NA,"Calidris melanotos","IUCN",22693408,"IUCN","LC - Least concern",NA,"IUCN"
"2002",NA,"Calidris melanotos","IUCN",22693408,"USA","N5B",NA,"USA"
"2003",NA,"Camptorhynchus labradorius","IUCN",22680418,"CT","SX",NA,"CT"
"2004",NA,"Camptorhynchus labradorius","IUCN",22680418,"ME","SX",NA,"ME"
"2005",NA,"Camptorhynchus labradorius","IUCN",22680418,"MA","SX",NA,"MA"
"2006",NA,"Camptorhynchus labradorius","IUCN",22680418,"NH","SX",NA,"NH"
"2007",NA,"Camptorhynchus labradorius","IUCN",22680418,"NY","SXN",NA,"NY"
"2008",NA,"Camptorhynchus labradorius","IUCN",22680418,"RI","SX",NA,"RI"
"2009",NA,"Camptorhynchus labradorius","IUCN",22680418,"IUCN","EX - Extinct",NA,"IUCN"
"2010",NA,"Camptorhynchus labradorius","IUCN",22680418,"USA","NXN",NA,"USA"
"2011",NA,"Phaethon lepturus","IUCN",22696645,"IUCN","LC - Least concern",NA,"IUCN"
"2012",NA,"Phaethon lepturus","IUCN",22696645,"USA","NNA",NA,"USA"
"2013",NA,"Anthus rubescens","IUCN",22718575,"CT","N5B,N5N",NA,"CT"
"2014",NA,"Anthus rubescens","IUCN",22718575,"ME","S1B,S3N",NA,"ME"
"2015",NA,"Anthus rubescens","IUCN",22718575,"MA","S4N",NA,"MA"
"2016",NA,"Anthus rubescens","IUCN",22718575,"NH","S2B",NA,"NH"
"2017",NA,"Anthus rubescens","IUCN",22718575,"NY","N5B,N5N",NA,"NY"
"2018",NA,"Anthus rubescens","IUCN",22718575,"RI","N5B,N5N",NA,"RI"
"2019",NA,"Anthus rubescens","IUCN",22718575,"IUCN","LC - Least concern",NA,"IUCN"
"2020",NA,"Anthus rubescens","IUCN",22718575,"USA","N5B,N5N",NA,"USA"
"2021",NA,"Calcarius lapponicus","IUCN",22721033,"CT","N5B,N5N",NA,"CT"
"2022",NA,"Calcarius lapponicus","IUCN",22721033,"ME","S2S3N",NA,"ME"
"2023",NA,"Calcarius lapponicus","IUCN",22721033,"MA","S4N",NA,"MA"
"2024",NA,"Calcarius lapponicus","IUCN",22721033,"NH","N5B,N5N",NA,"NH"
"2025",NA,"Calcarius lapponicus","IUCN",22721033,"NY","N5B,N5N",NA,"NY"
"2026",NA,"Calcarius lapponicus","IUCN",22721033,"RI","N5B,N5N",NA,"RI"
"2027",NA,"Calcarius lapponicus","IUCN",22721033,"IUCN","LC - Least concern",NA,"IUCN"
"2028",NA,"Calcarius lapponicus","IUCN",22721033,"USA","N5B,N5N",NA,"USA"
"2029",NA,"Catharacta skua","IUCN",22694160,"ME","NNA",NA,"ME"
"2030",NA,"Catharacta skua","IUCN",22694160,"MA","S1N",NA,"MA"
"2031",NA,"Catharacta skua","IUCN",22694160,"NY","NNA",NA,"NY"
"2032",NA,"Catharacta skua","IUCN",22694160,"RI","NNA",NA,"RI"
"2033",NA,"Catharacta skua","IUCN",22694160,"IUCN","LC - Least concern",NA,"IUCN"
"2034",NA,"Catharacta skua","IUCN",22694160,"USA","NNA",NA,"USA"
"2035",NA,"Egretta caerulea","IUCN",22696944,"CT","S1B",NA,"CT"
"2036",NA,"Egretta caerulea","IUCN",22696944,"ME","S1B",NA,"ME"
"2037",NA,"Egretta caerulea","IUCN",22696944,"MA","S1B,S3N",NA,"MA"
"2038",NA,"Egretta caerulea","IUCN",22696944,"NH","N5B,N5N",NA,"NH"
"2039",NA,"Egretta caerulea","IUCN",22696944,"NY","S2",NA,"NY"
"2040",NA,"Egretta caerulea","IUCN",22696944,"RI","S1B,S2N",NA,"RI"
"2041",NA,"Egretta caerulea","IUCN",22696944,"IUCN","LC - Least concern",NA,"IUCN"
"2042",NA,"Egretta caerulea","IUCN",22696944,"USA","N5B,N5N",NA,"USA"
"2043",NA,"Xema sabini","IUCN",22694479,"MA","S1N",NA,"MA"
"2044",NA,"Xema sabini","IUCN",22694479,"NY","N5B",NA,"NY"
"2045",NA,"Xema sabini","IUCN",22694479,"IUCN","LC - Least concern",NA,"IUCN"
"2046",NA,"Xema sabini","IUCN",22694479,"USA","N5B",NA,"USA"
"2047",NA,"Eremophila alpestris","IUCN",22717434,"CT","S1B",NA,"CT"
"2048",NA,"Eremophila alpestris","IUCN",22717434,"ME","S3B,S3S4N",NA,"ME"
"2049",NA,"Eremophila alpestris","IUCN",22717434,"MA","S3B,S4N",NA,"MA"
"2050",NA,"Eremophila alpestris","IUCN",22717434,"NH","S3B",NA,"NH"
"2051",NA,"Eremophila alpestris","IUCN",22717434,"NY","S3S4B",NA,"NY"
"2052",NA,"Eremophila alpestris","IUCN",22717434,"RI","S1B",NA,"RI"
"2053",NA,"Eremophila alpestris","IUCN",22717434,"IUCN","LC - Least concern",NA,"IUCN"
"2054",NA,"Eremophila alpestris","IUCN",22717434,"USA","N5B,N5N",NA,"USA"
