"","common","rgn_id","rgn_name"
"323","dovekie normalized",1,"Offshore"
"324","fin whale",3,"Gulf of Maine"
"325","fin whale",7,"Massachusetts-Gulf of Maine"
"326","fin whale",8,"Massachusetts-Virginian"
"327","fin whale",11,"Rhode Island"
"328","fin whale",4,"Mid-Atlantic Bight"
"329","fourspot flounder",3,"Gulf of Maine"
"330","fourspot flounder",6,"Maine"
"331","fourspot flounder",9,"New Hampshire"
"332","fourspot flounder",2,"Georges Bank"
"333","fourspot flounder",7,"Massachusetts-Gulf of Maine"
"334","fourspot flounder",1,"Offshore"
"335","fourspot flounder",11,"Rhode Island"
"336","fourspot flounder",8,"Massachusetts-Virginian"
"337","fourspot flounder",4,"Mid-Atlantic Bight"
"338","fourspot flounder",10,"New York"
"339","gervais beaked whale",3,"Gulf of Maine"
"340","gervais beaked whale",2,"Georges Bank"
"341","gervais beaked whale",7,"Massachusetts-Gulf of Maine"
"342","gervais beaked whale",8,"Massachusetts-Virginian"
"343","gervais beaked whale",4,"Mid-Atlantic Bight"
"344","gervais beaked whale",1,"Offshore"
"345","goosefish",3,"Gulf of Maine"
"346","goosefish",6,"Maine"
"347","goosefish",9,"New Hampshire"
"348","goosefish",2,"Georges Bank"
"349","goosefish",7,"Massachusetts-Gulf of Maine"
"350","goosefish",1,"Offshore"
"351","goosefish",4,"Mid-Atlantic Bight"
"352","goosefish",8,"Massachusetts-Virginian"
"353","goosefish",11,"Rhode Island"
"354","goosefish",10,"New York"
"355","great black backed gull normalized",3,"Gulf of Maine"
"356","great black backed gull normalized",2,"Georges Bank"
"357","great black backed gull normalized",7,"Massachusetts-Gulf of Maine"
"358","great black backed gull normalized",8,"Massachusetts-Virginian"
"359","great black backed gull normalized",11,"Rhode Island"
"360","great black backed gull normalized",4,"Mid-Atlantic Bight"
"361","great black backed gull normalized",10,"New York"
"362","great black backed gull normalized",1,"Offshore"
"363","great shearwater normalized",3,"Gulf of Maine"
"364","great shearwater normalized",2,"Georges Bank"
"365","great shearwater normalized",7,"Massachusetts-Gulf of Maine"
"366","great shearwater normalized",8,"Massachusetts-Virginian"
"367","great shearwater normalized",11,"Rhode Island"
"368","great shearwater normalized",4,"Mid-Atlantic Bight"
"369","great shearwater normalized",1,"Offshore"
"370","great skua normalized",3,"Gulf of Maine"
"371","great skua normalized",2,"Georges Bank"
"372","great skua normalized",7,"Massachusetts-Gulf of Maine"
"373","great skua normalized",8,"Massachusetts-Virginian"
"374","great skua normalized",4,"Mid-Atlantic Bight"
"375","great skua normalized",1,"Offshore"
"376","gulf stream flounder",3,"Gulf of Maine"
"377","gulf stream flounder",2,"Georges Bank"
"378","gulf stream flounder",1,"Offshore"
"379","gulf stream flounder",11,"Rhode Island"
"380","gulf stream flounder",8,"Massachusetts-Virginian"
"381","gulf stream flounder",4,"Mid-Atlantic Bight"
"382","gulf stream flounder",10,"New York"
"383","haddock",3,"Gulf of Maine"
"384","haddock",6,"Maine"
"385","haddock",9,"New Hampshire"
"386","haddock",2,"Georges Bank"
"387","haddock",7,"Massachusetts-Gulf of Maine"
"388","haddock",1,"Offshore"
"389","haddock",4,"Mid-Atlantic Bight"
"390","harbor porpoise",3,"Gulf of Maine"
"391","harbor porpoise",7,"Massachusetts-Gulf of Maine"
"392","harbor porpoise",11,"Rhode Island"
"393","herring gull normalized",3,"Gulf of Maine"
"394","herring gull normalized",2,"Georges Bank"
"395","herring gull normalized",7,"Massachusetts-Gulf of Maine"
"396","herring gull normalized",8,"Massachusetts-Virginian"
"397","herring gull normalized",11,"Rhode Island"
"398","herring gull normalized",4,"Mid-Atlantic Bight"
"399","herring gull normalized",10,"New York"
"400","herring gull normalized",1,"Offshore"
"401","horned grebe normalized",3,"Gulf of Maine"
"402","horned grebe normalized",2,"Georges Bank"
"403","horned grebe normalized",7,"Massachusetts-Gulf of Maine"
"404","horned grebe normalized",8,"Massachusetts-Virginian"
"405","horned grebe normalized",11,"Rhode Island"
"406","horned grebe normalized",4,"Mid-Atlantic Bight"
"407","horned grebe normalized",10,"New York"
"408","horned grebe normalized",1,"Offshore"
"409","horseshoe crab",3,"Gulf of Maine"
"410","horseshoe crab",7,"Massachusetts-Gulf of Maine"
"411","horseshoe crab",10,"New York"
"412","horseshoe crab",4,"Mid-Atlantic Bight"
"413","humpback whale",3,"Gulf of Maine"
"414","humpback whale",7,"Massachusetts-Gulf of Maine"
"415","humpback whale",8,"Massachusetts-Virginian"
"416","humpback whale",11,"Rhode Island"
"417","humpback whale",4,"Mid-Atlantic Bight"
"418","jonah crab",3,"Gulf of Maine"
"419","jonah crab",6,"Maine"
"420","jonah crab",9,"New Hampshire"
"421","jonah crab",2,"Georges Bank"
"422","jonah crab",7,"Massachusetts-Gulf of Maine"
"423","jonah crab",1,"Offshore"
"424","jonah crab",11,"Rhode Island"
"425","jonah crab",8,"Massachusetts-Virginian"
"426","jonah crab",4,"Mid-Atlantic Bight"
"427","jonah crab",10,"New York"
"428","laughing gull normalized",3,"Gulf of Maine"
"429","laughing gull normalized",7,"Massachusetts-Gulf of Maine"
"430","laughing gull normalized",8,"Massachusetts-Virginian"
"431","laughing gull normalized",11,"Rhode Island"
"432","laughing gull normalized",4,"Mid-Atlantic Bight"
"433","laughing gull normalized",2,"Georges Bank"
"434","laughing gull normalized",10,"New York"
"435","laughing gull normalized",1,"Offshore"
"436","leachs storm petrel normalized",3,"Gulf of Maine"
"437","leachs storm petrel normalized",2,"Georges Bank"
"438","leachs storm petrel normalized",7,"Massachusetts-Gulf of Maine"
"439","leachs storm petrel normalized",8,"Massachusetts-Virginian"
"440","leachs storm petrel normalized",4,"Mid-Atlantic Bight"
"441","leachs storm petrel normalized",1,"Offshore"
"442","least tern normalized",3,"Gulf of Maine"
"443","least tern normalized",7,"Massachusetts-Gulf of Maine"
"444","least tern normalized",8,"Massachusetts-Virginian"
"445","least tern normalized",11,"Rhode Island"
"446","least tern normalized",4,"Mid-Atlantic Bight"
"447","least tern normalized",10,"New York"
"448","least tern normalized",1,"Offshore"
"449","little skate",6,"Maine"
"450","little skate",3,"Gulf of Maine"
"451","little skate",9,"New Hampshire"
"452","little skate",2,"Georges Bank"
"453","little skate",7,"Massachusetts-Gulf of Maine"
"454","little skate",1,"Offshore"
"455","little skate",11,"Rhode Island"
"456","little skate",8,"Massachusetts-Virginian"
"457","little skate",4,"Mid-Atlantic Bight"
"458","little skate",10,"New York"
"459","long finned pilot whale",3,"Gulf of Maine"
"460","long finned pilot whale",2,"Georges Bank"
"461","long finned pilot whale",7,"Massachusetts-Gulf of Maine"
"462","long finned pilot whale",8,"Massachusetts-Virginian"
"463","long finned pilot whale",11,"Rhode Island"
"464","long finned pilot whale",4,"Mid-Atlantic Bight"
"465","long tailed duck normalized",3,"Gulf of Maine"
"466","long tailed duck normalized",2,"Georges Bank"
"467","long tailed duck normalized",7,"Massachusetts-Gulf of Maine"
"468","long tailed duck normalized",8,"Massachusetts-Virginian"
"469","long tailed duck normalized",11,"Rhode Island"
"470","long tailed duck normalized",4,"Mid-Atlantic Bight"
"471","long tailed duck normalized",10,"New York"
"472","long tailed duck normalized",1,"Offshore"
"473","longfin squid",3,"Gulf of Maine"
"474","longfin squid",6,"Maine"
"475","longfin squid",9,"New Hampshire"
"476","longfin squid",2,"Georges Bank"
"477","longfin squid",7,"Massachusetts-Gulf of Maine"
"478","longfin squid",1,"Offshore"
"479","longfin squid",11,"Rhode Island"
"480","longfin squid",8,"Massachusetts-Virginian"
"481","longfin squid",4,"Mid-Atlantic Bight"
"482","longfin squid",10,"New York"
"483","longhorn sculpin",3,"Gulf of Maine"
"484","longhorn sculpin",6,"Maine"
"485","longhorn sculpin",9,"New Hampshire"
"486","longhorn sculpin",2,"Georges Bank"
"487","longhorn sculpin",7,"Massachusetts-Gulf of Maine"
"488","longhorn sculpin",1,"Offshore"
"489","longhorn sculpin",11,"Rhode Island"
"490","longhorn sculpin",8,"Massachusetts-Virginian"
"491","longhorn sculpin",4,"Mid-Atlantic Bight"
"492","longhorn sculpin",10,"New York"
"493","manx shearwater normalized",3,"Gulf of Maine"
"494","manx shearwater normalized",2,"Georges Bank"
"495","manx shearwater normalized",7,"Massachusetts-Gulf of Maine"
"496","manx shearwater normalized",8,"Massachusetts-Virginian"
"497","manx shearwater normalized",11,"Rhode Island"
"498","manx shearwater normalized",4,"Mid-Atlantic Bight"
"499","manx shearwater normalized",1,"Offshore"
"500","minke whale",3,"Gulf of Maine"
"501","minke whale",7,"Massachusetts-Gulf of Maine"
"502","minke whale",8,"Massachusetts-Virginian"
"503","minke whale",11,"Rhode Island"
"504","minke whale",4,"Mid-Atlantic Bight"
"505","minke whale",1,"Offshore"
"506","north atlantic right whale",3,"Gulf of Maine"
"507","north atlantic right whale",7,"Massachusetts-Gulf of Maine"
"508","north atlantic right whale",8,"Massachusetts-Virginian"
"509","north atlantic right whale",11,"Rhode Island"
"510","north atlantic right whale",4,"Mid-Atlantic Bight"
"511","northern fulmar normalized",3,"Gulf of Maine"
"512","northern fulmar normalized",2,"Georges Bank"
"513","northern fulmar normalized",7,"Massachusetts-Gulf of Maine"
"514","northern fulmar normalized",8,"Massachusetts-Virginian"
"515","northern fulmar normalized",11,"Rhode Island"
"516","northern fulmar normalized",4,"Mid-Atlantic Bight"
"517","northern fulmar normalized",1,"Offshore"
"518","northern gannet normalized",3,"Gulf of Maine"
"519","northern gannet normalized",2,"Georges Bank"
"520","northern gannet normalized",7,"Massachusetts-Gulf of Maine"
"521","northern gannet normalized",8,"Massachusetts-Virginian"
"522","northern gannet normalized",11,"Rhode Island"
"523","northern gannet normalized",4,"Mid-Atlantic Bight"
"524","northern gannet normalized",10,"New York"
"525","northern gannet normalized",1,"Offshore"
"526","northern kingfish",7,"Massachusetts-Gulf of Maine"
"527","northern kingfish",11,"Rhode Island"
"528","northern kingfish",8,"Massachusetts-Virginian"
"529","northern kingfish",4,"Mid-Atlantic Bight"
"530","northern kingfish",2,"Georges Bank"
"531","northern kingfish",10,"New York"
"532","northern kingfish",1,"Offshore"
"533","northern pipefish",3,"Gulf of Maine"
"534","northern pipefish",2,"Georges Bank"
"535","northern pipefish",7,"Massachusetts-Gulf of Maine"
"536","northern pipefish",11,"Rhode Island"
"537","northern pipefish",8,"Massachusetts-Virginian"
"538","northern pipefish",4,"Mid-Atlantic Bight"
"539","northern pipefish",10,"New York"
"540","northern puffer",11,"Rhode Island"
"541","northern puffer",8,"Massachusetts-Virginian"
"542","northern puffer",4,"Mid-Atlantic Bight"
"543","northern puffer",10,"New York"
"544","northern sand lance",3,"Gulf of Maine"
"545","northern sand lance",6,"Maine"
"546","northern sand lance",9,"New Hampshire"
"547","northern sand lance",2,"Georges Bank"
"548","northern sand lance",7,"Massachusetts-Gulf of Maine"
"549","northern sand lance",8,"Massachusetts-Virginian"
"550","northern sand lance",4,"Mid-Atlantic Bight"
"551","northern sand lance",11,"Rhode Island"
"552","northern sand lance",10,"New York"
"553","northern searobin",6,"Maine"
"554","northern searobin",3,"Gulf of Maine"
"555","northern searobin",9,"New Hampshire"
"556","northern searobin",2,"Georges Bank"
"557","northern searobin",7,"Massachusetts-Gulf of Maine"
"558","northern searobin",1,"Offshore"
"559","northern searobin",11,"Rhode Island"
"560","northern searobin",8,"Massachusetts-Virginian"
"561","northern searobin",4,"Mid-Atlantic Bight"
"562","northern searobin",10,"New York"
"563","northern shortfin squid",3,"Gulf of Maine"
"564","northern shortfin squid",6,"Maine"
"565","northern shortfin squid",9,"New Hampshire"
"566","northern shortfin squid",2,"Georges Bank"
"567","northern shortfin squid",7,"Massachusetts-Gulf of Maine"
"568","northern shortfin squid",1,"Offshore"
"569","northern shortfin squid",4,"Mid-Atlantic Bight"
"570","northern shrimp",3,"Gulf of Maine"
"571","northern shrimp",6,"Maine"
"572","northern shrimp",9,"New Hampshire"
"573","northern shrimp",7,"Massachusetts-Gulf of Maine"
"574","northern shrimp",2,"Georges Bank"
"575","ocean pout",3,"Gulf of Maine"
"576","ocean pout",6,"Maine"
"577","ocean pout",9,"New Hampshire"
"578","ocean pout",2,"Georges Bank"
