"","SID","rgn_id","rgn_name"
"299",154807,10,"New York"
"300",154815,6,"Maine"
"301",154815,3,"Gulf of Maine"
"302",154815,2,"Georges Bank"
"303",154815,1,"Offshore"
"304",154820,6,"Maine"
"305",154820,3,"Gulf of Maine"
"306",154820,9,"New Hampshire"
"307",154820,2,"Georges Bank"
"308",154820,7,"Massachusetts-Gulf of Maine"
"309",154820,1,"Offshore"
"310",154820,8,"Massachusetts-Virginian"
"311",154820,11,"Rhode Island"
"312",154820,4,"Mid-Atlantic Bight"
"313",154820,5,"Connecticut"
"314",154820,10,"New York"
"315",154916,1,"Offshore"
"316",154928,4,"Mid-Atlantic Bight"
"317",154929,2,"Georges Bank"
"318",154929,1,"Offshore"
"319",154929,4,"Mid-Atlantic Bight"
"320",154970,3,"Gulf of Maine"
"321",154970,7,"Massachusetts-Gulf of Maine"
"322",154970,2,"Georges Bank"
"323",154970,8,"Massachusetts-Virginian"
"324",154970,11,"Rhode Island"
"325",154970,4,"Mid-Atlantic Bight"
"326",154970,5,"Connecticut"
"327",154970,10,"New York"
"328",154970,1,"Offshore"
"329",154998,6,"Maine"
"330",154998,3,"Gulf of Maine"
"331",154998,2,"Georges Bank"
"332",154998,1,"Offshore"
"333",154998,4,"Mid-Atlantic Bight"
"334",155014,3,"Gulf of Maine"
"335",155014,6,"Maine"
"336",155014,9,"New Hampshire"
"337",155014,7,"Massachusetts-Gulf of Maine"
"338",155014,2,"Georges Bank"
"339",155014,8,"Massachusetts-Virginian"
"340",155014,11,"Rhode Island"
"341",155014,4,"Mid-Atlantic Bight"
"342",155014,5,"Connecticut"
"343",155014,10,"New York"
"344",155014,1,"Offshore"
"345",155068,6,"Maine"
"346",155068,3,"Gulf of Maine"
"347",155068,9,"New Hampshire"
"348",155068,2,"Georges Bank"
"349",155068,7,"Massachusetts-Gulf of Maine"
"350",155068,1,"Offshore"
"351",155068,8,"Massachusetts-Virginian"
"352",155068,11,"Rhode Island"
"353",155068,4,"Mid-Atlantic Bight"
"354",155068,5,"Connecticut"
"355",155068,10,"New York"
"356",155075,8,"Massachusetts-Virginian"
"357",155075,2,"Georges Bank"
"358",155075,1,"Offshore"
"359",155075,4,"Mid-Atlantic Bight"
"360",155075,11,"Rhode Island"
"361",155075,5,"Connecticut"
"362",155075,10,"New York"
"363",155081,4,"Mid-Atlantic Bight"
"364",155081,10,"New York"
"365",155081,1,"Offshore"
"366",155096,6,"Maine"
"367",155096,3,"Gulf of Maine"
"368",155096,9,"New Hampshire"
"369",155096,2,"Georges Bank"
"370",155096,7,"Massachusetts-Gulf of Maine"
"371",155096,1,"Offshore"
"372",155096,8,"Massachusetts-Virginian"
"373",155096,11,"Rhode Island"
"374",155096,4,"Mid-Atlantic Bight"
"375",155096,5,"Connecticut"
"376",155096,10,"New York"
"377",15521852,11,"Rhode Island"
"378",15521852,8,"Massachusetts-Virginian"
"379",15521852,4,"Mid-Atlantic Bight"
"380",15521852,2,"Georges Bank"
"381",15521852,5,"Connecticut"
"382",15521852,10,"New York"
"383",15521852,1,"Offshore"
"384",15521875,10,"New York"
"385",15521875,4,"Mid-Atlantic Bight"
"386",15521875,1,"Offshore"
"387",15521927,3,"Gulf of Maine"
"388",15521927,7,"Massachusetts-Gulf of Maine"
"389",15521927,2,"Georges Bank"
"390",15521927,8,"Massachusetts-Virginian"
"391",15521927,11,"Rhode Island"
"392",15521927,4,"Mid-Atlantic Bight"
"393",15521927,5,"Connecticut"
"394",15521927,10,"New York"
"395",15521927,1,"Offshore"
"396",15521934,10,"New York"
"397",15521934,4,"Mid-Atlantic Bight"
"398",15521934,1,"Offshore"
"399",15522054,6,"Maine"
"400",15522054,3,"Gulf of Maine"
"401",15522054,9,"New Hampshire"
"402",15522054,2,"Georges Bank"
"403",15522054,7,"Massachusetts-Gulf of Maine"
"404",15522054,1,"Offshore"
"405",15522054,8,"Massachusetts-Virginian"
"406",15522054,11,"Rhode Island"
"407",15522054,4,"Mid-Atlantic Bight"
"408",15522054,5,"Connecticut"
"409",15522054,10,"New York"
"410",15522140,1,"Offshore"
"411",15522140,2,"Georges Bank"
"412",15522140,4,"Mid-Atlantic Bight"
"413",15522149,3,"Gulf of Maine"
"414",15522149,1,"Offshore"
"415",15522149,2,"Georges Bank"
"416",15522149,4,"Mid-Atlantic Bight"
"417",15522213,3,"Gulf of Maine"
"418",15522213,2,"Georges Bank"
"419",15522213,7,"Massachusetts-Gulf of Maine"
"420",15522213,1,"Offshore"
"421",15522213,8,"Massachusetts-Virginian"
"422",15522213,11,"Rhode Island"
"423",15522213,4,"Mid-Atlantic Bight"
"424",15522213,5,"Connecticut"
"425",15522213,10,"New York"
"426",155259,6,"Maine"
"427",155259,3,"Gulf of Maine"
"428",155259,9,"New Hampshire"
"429",155259,2,"Georges Bank"
"430",155259,7,"Massachusetts-Gulf of Maine"
"431",155259,1,"Offshore"
"432",155259,8,"Massachusetts-Virginian"
"433",155259,11,"Rhode Island"
"434",155259,4,"Mid-Atlantic Bight"
"435",155259,5,"Connecticut"
"436",155259,10,"New York"
"437",155265,2,"Georges Bank"
"438",155265,1,"Offshore"
"439",155265,4,"Mid-Atlantic Bight"
"440",155276,8,"Massachusetts-Virginian"
"441",155276,2,"Georges Bank"
"442",155276,11,"Rhode Island"
"443",155276,4,"Mid-Atlantic Bight"
"444",155276,5,"Connecticut"
"445",155276,10,"New York"
"446",155276,1,"Offshore"
"447",15598524,2,"Georges Bank"
"448",15598524,3,"Gulf of Maine"
"449",15598524,1,"Offshore"
"450",15598524,7,"Massachusetts-Gulf of Maine"
"451",15598524,8,"Massachusetts-Virginian"
"452",15598524,11,"Rhode Island"
"453",15598524,4,"Mid-Atlantic Bight"
"454",15598524,5,"Connecticut"
"455",15598524,10,"New York"
"456",15598550,3,"Gulf of Maine"
"457",15598550,6,"Maine"
"458",15598550,9,"New Hampshire"
"459",15598550,2,"Georges Bank"
"460",15598550,7,"Massachusetts-Gulf of Maine"
"461",15598550,1,"Offshore"
"462",15598550,8,"Massachusetts-Virginian"
"463",15598550,11,"Rhode Island"
"464",15598550,4,"Mid-Atlantic Bight"
"465",15598550,5,"Connecticut"
"466",15598550,10,"New York"
"467",15598596,3,"Gulf of Maine"
"468",15598596,6,"Maine"
"469",15598596,9,"New Hampshire"
"470",15598596,2,"Georges Bank"
"471",15598596,7,"Massachusetts-Gulf of Maine"
"472",15598596,1,"Offshore"
"473",15598596,8,"Massachusetts-Virginian"
"474",15598596,11,"Rhode Island"
"475",15598596,4,"Mid-Atlantic Bight"
"476",15598596,5,"Connecticut"
"477",15598596,10,"New York"
"478",15598621,6,"Maine"
"479",15598621,3,"Gulf of Maine"
"480",15598621,9,"New Hampshire"
"481",15598621,2,"Georges Bank"
"482",15598621,7,"Massachusetts-Gulf of Maine"
"483",15598621,1,"Offshore"
"484",15598621,8,"Massachusetts-Virginian"
"485",15598621,11,"Rhode Island"
"486",15598621,4,"Mid-Atlantic Bight"
"487",15598621,5,"Connecticut"
"488",15598621,10,"New York"
"489",15598630,3,"Gulf of Maine"
"490",15598630,2,"Georges Bank"
"491",15598630,7,"Massachusetts-Gulf of Maine"
"492",15598630,1,"Offshore"
"493",15598630,8,"Massachusetts-Virginian"
"494",15598630,11,"Rhode Island"
"495",15598630,4,"Mid-Atlantic Bight"
"496",15598630,5,"Connecticut"
"497",15598630,10,"New York"
"498",15598639,3,"Gulf of Maine"
"499",15598639,2,"Georges Bank"
"500",15598639,7,"Massachusetts-Gulf of Maine"
"501",15598639,1,"Offshore"
"502",15598639,8,"Massachusetts-Virginian"
"503",15598639,11,"Rhode Island"
"504",15598639,4,"Mid-Atlantic Bight"
"505",15598639,5,"Connecticut"
"506",15598639,10,"New York"
"507",15598666,2,"Georges Bank"
"508",15598666,4,"Mid-Atlantic Bight"
"509",15598666,1,"Offshore"
"510",15598666,10,"New York"
"511",15598672,3,"Gulf of Maine"
"512",15598672,2,"Georges Bank"
"513",15598672,7,"Massachusetts-Gulf of Maine"
"514",15598672,1,"Offshore"
"515",15598672,8,"Massachusetts-Virginian"
"516",15598672,11,"Rhode Island"
"517",15598672,4,"Mid-Atlantic Bight"
"518",15598672,5,"Connecticut"
"519",15598672,10,"New York"
"520",15598778,3,"Gulf of Maine"
"521",15598778,2,"Georges Bank"
"522",15598778,7,"Massachusetts-Gulf of Maine"
"523",15598778,1,"Offshore"
"524",15598778,8,"Massachusetts-Virginian"
"525",15598778,11,"Rhode Island"
"526",15598778,4,"Mid-Atlantic Bight"
"527",15598778,5,"Connecticut"
"528",15598778,10,"New York"
"529",15598791,3,"Gulf of Maine"
"530",15598791,2,"Georges Bank"
"531",15598791,7,"Massachusetts-Gulf of Maine"
"532",15598791,1,"Offshore"
"533",15598791,8,"Massachusetts-Virginian"
"534",15598791,11,"Rhode Island"
"535",15598791,4,"Mid-Atlantic Bight"
"536",15598791,5,"Connecticut"
"537",15598791,10,"New York"
"538",15598799,3,"Gulf of Maine"
"539",15598799,7,"Massachusetts-Gulf of Maine"
"540",15598799,2,"Georges Bank"
"541",15598799,8,"Massachusetts-Virginian"
"542",15598799,11,"Rhode Island"
"543",15598799,1,"Offshore"
"544",15598799,4,"Mid-Atlantic Bight"
"545",15598799,5,"Connecticut"
"546",15598799,10,"New York"
"547",15598809,3,"Gulf of Maine"
"548",15598809,2,"Georges Bank"
"549",15598809,7,"Massachusetts-Gulf of Maine"
"550",15598809,8,"Massachusetts-Virginian"
"551",15598809,11,"Rhode Island"
"552",15598809,4,"Mid-Atlantic Bight"
"553",15598809,5,"Connecticut"
"554",15598809,10,"New York"
"555",15598809,1,"Offshore"
"556",15598812,2,"Georges Bank"
"557",15598812,1,"Offshore"
"558",15598812,3,"Gulf of Maine"
"559",15598812,4,"Mid-Atlantic Bight"
"560",15598815,3,"Gulf of Maine"
"561",15598815,6,"Maine"
"562",15598815,9,"New Hampshire"
"563",15598815,2,"Georges Bank"
"564",15598815,7,"Massachusetts-Gulf of Maine"
"565",15598815,1,"Offshore"
"566",15598815,8,"Massachusetts-Virginian"
"567",15598815,11,"Rhode Island"
"568",15598815,4,"Mid-Atlantic Bight"
"569",15598815,5,"Connecticut"
"570",15598815,10,"New York"
"571",15598887,3,"Gulf of Maine"
"572",15598887,2,"Georges Bank"
"573",15598887,1,"Offshore"
"574",15598887,7,"Massachusetts-Gulf of Maine"
"575",15598887,8,"Massachusetts-Virginian"
"576",15598887,4,"Mid-Atlantic Bight"
"577",15598938,6,"Maine"
"578",15598938,3,"Gulf of Maine"
"579",15598938,9,"New Hampshire"
"580",15598938,2,"Georges Bank"
"581",15598938,7,"Massachusetts-Gulf of Maine"
"582",15598938,1,"Offshore"
"583",15598938,8,"Massachusetts-Virginian"
"584",15598938,11,"Rhode Island"
"585",15598938,4,"Mid-Atlantic Bight"
"586",15598938,5,"Connecticut"
"587",15598938,10,"New York"
"588",15598948,2,"Georges Bank"
"589",15598948,1,"Offshore"
"590",15598948,4,"Mid-Atlantic Bight"
"591",15598951,6,"Maine"
"592",15598951,3,"Gulf of Maine"
"593",15598951,9,"New Hampshire"
"594",15598951,2,"Georges Bank"
"595",15598951,7,"Massachusetts-Gulf of Maine"
"596",15598951,1,"Offshore"
"597",15598951,8,"Massachusetts-Virginian"
"598",15598951,11,"Rhode Island"
"599",15598951,4,"Mid-Atlantic Bight"
"600",15598951,5,"Connecticut"
"601",15598951,10,"New York"
"602",15598957,2,"Georges Bank"
"603",15598957,3,"Gulf of Maine"
"604",15598957,1,"Offshore"
"605",15598957,8,"Massachusetts-Virginian"
"606",15598957,11,"Rhode Island"
"607",15598957,4,"Mid-Atlantic Bight"
"608",15598957,5,"Connecticut"
"609",15598957,10,"New York"
"610",15599060,6,"Maine"
"611",15599060,3,"Gulf of Maine"
"612",15599060,9,"New Hampshire"
"613",15599060,2,"Georges Bank"
"614",15599060,7,"Massachusetts-Gulf of Maine"
"615",15599060,1,"Offshore"
"616",15599060,8,"Massachusetts-Virginian"
"617",15599060,11,"Rhode Island"
"618",15599060,4,"Mid-Atlantic Bight"
"619",15599060,5,"Connecticut"
"620",15599060,10,"New York"
"621",15599067,1,"Offshore"
"622",15599070,3,"Gulf of Maine"
"623",15599070,6,"Maine"
"624",15599070,9,"New Hampshire"
"625",15599070,2,"Georges Bank"
"626",15599070,7,"Massachusetts-Gulf of Maine"
"627",15599070,1,"Offshore"
"628",15599070,8,"Massachusetts-Virginian"
"629",15599070,11,"Rhode Island"
"630",15599070,4,"Mid-Atlantic Bight"
"631",15599070,5,"Connecticut"
"632",15599070,10,"New York"
"633",15599123,3,"Gulf of Maine"
"634",15599123,2,"Georges Bank"
