iucn_sid,common,sciname,population,category,neportal,neportal_name
198775,Hollowsnout grenadier,Coelorinchus caelorhincus,NA,LC,0,
198921,NA,Mobula birostris,NA,VU,0,
201946,Blueback shad,Alosa aestivalis,NA,VU,1,Blueback herring
201947,Hickory shad,Alosa mediocris,NA,LC,0,1
201948,Alewife,Alosa pseudoharengus,NA,LC,1,
13458323,Blackmouth bass,Synagrops bellus,NA,LC,0,
13462491,Deep-sea lizardfish,Bathysaurus ferox,NA,LC,0,
13462731,Undistinguished sabretooth,Odontostomops normalops,NA,LC,0,
13462751,Mediterranean spiderfish,Bathypterois dubius,NA,LC,0,
13462757,Blackfin spiderfish,Bathypterois phenax,NA,LC,0,
13485141,NA,Ahliesaurus berryi,NA,LC,0,
13485167,Waryfish,Scopelosaurus argenteus,NA,LC,0,
13485312,Omosudid,Omosudis lowii,NA,LC,0,
13485398,Barracudina,Lestidiops affinis,NA,LC,0,
13485622,NA,Lestrolepis intermedia,NA,LC,0,
13485631,NA,Macroparalepis affinis,NA,LC,0,
13485635,Duckbill barracudina,Magnisudis atlantica,NA,LC,0,
13485675,Zugmayer's pearleye,Benthalbella infans,NA,LC,0,
13486199,NA,Trachinocephalus myops,NA,LC,0,
13486514,Flat needlefish,Ablennes hians,NA,LC,0,
13487700,Blacksail flyingfish,Cheilopogon nigricans,NA,LC,0,
15147715,Agassiz' slickhead,Alepocephalus agassizii,NA,LC,0,
15147725,Small scaled brown slickhead,Alepocephalus australis,NA,LC,0,
15147740,Baird's slickhead,Alepocephalus bairdii,NA,DD,0,
15147816,Bigeye smooth-head,Bajacalifornia megalops,NA,LC,0,
15147965,Fangtooth smooth-head,Bathyprion danae,NA,LC,0,
15147977,Michael Sars smooth-head,Bathytroctes michaelsarsi,NA,LC,0,
15148742,Loosescale smooth-head,Einara macrolepis,NA,LC,0,
15149121,Softskin smooth-head,Rouleina attrita,NA,LC,0,
15149335,Bluntsnout smooth-head,Xenodermichthys copei,NA,LC,0,
15521852,Flying halfbeak,Euleptorhamphus velox,NA,LC,0,
15521875,Balao halfbeak,Hemiramphus balao,NA,LC,0,
15521927,Ballyhoo halfbeak,Hemiramphus brasiliensis,NA,LC,0,
15521934,False halfbeak,Oxyporhamphus similis,NA,LC,0,
15522054,Fourbeard rockling,Enchelyopus cimbrius,NA,LC,0,
15522140,Ghostly grenadier,Coryphaenoides leptolepis,NA,LC,0,
15522149,Roundnose grenadier,Coryphaenoides rupestris,NA,CR,0,
15522213,Arrowtail,Melanonus zugmayeri,NA,LC,0,
15598524,Smallfin lanternfish,Benthosema suborbitale,NA,LC,0,
15598550,Roundnose lanternfish,Centrobranchus nigroocellatus,NA,LC,0,
15598596,Warming's lantern fish,Ceratoscopelus warmingii,NA,LC,0,
15598621,Bertelsen's lanternfish,Diaphus bertelseni,NA,LC,0,
15598630,Short-headed lantern fish,Diaphus brachycephalus,NA,LC,0,
15598639,Headlight fish,Diaphus effulgens,NA,LC,0,
15598666,Fragile lantern fish,Diaphus fragilis,NA,LC,0,
15598672,Spotlight lanternfish,Diaphus lucidus,NA,LC,0,
15598778,Transparent lantern fish,Diaphus perspicillatus,NA,LC,0,
15598791,Horned lanternfish,Diaphus splendidus,NA,LC,0,
15598799,NA,Diaphus subtilis,NA,DD,0,
