"","state","status","species"
"290","NH","N5B,N5N","Branta bernicla"
"291","NY","N5B,N5N","Branta bernicla"
"292","RI","N5B,N5N","Branta bernicla"
"293","IUCN","LC - Least concern","Branta bernicla"
"294","USA","N5B,N5N","Branta bernicla"
"295","CT","S1B,S3N","Haliaeetus leucocephalus"
"296","ME","S4B,S4N","Haliaeetus leucocephalus"
"297","MA","S2B,S3N","Haliaeetus leucocephalus"
"298","NH","S2","Haliaeetus leucocephalus"
"299","NY","S2S3B,S2N","Haliaeetus leucocephalus"
"300","RI","S1B,S1N","Haliaeetus leucocephalus"
"301","IUCN","LC - Least concern","Haliaeetus leucocephalus"
"302","USA","N5B,N5N","Haliaeetus leucocephalus"
"303","CT","S5B","Melospiza melodia"
"304","ME","S4N,S4S5B","Melospiza melodia"
"305","MA","S5","Melospiza melodia"
"306","NH","S5","Melospiza melodia"
"307","NY","S5B","Melospiza melodia"
"308","RI","S5B","Melospiza melodia"
"309","IUCN","LC - Least concern","Melospiza melodia"
"310","USA","N5","Melospiza melodia"
"311","CT","N5B,N5N","Aythya valisineria"
"312","ME","N5B,N5N","Aythya valisineria"
"313","MA","S3N","Aythya valisineria"
"314","NH","N5B,N5N","Aythya valisineria"
"315","NY","N5B,N5N","Aythya valisineria"
"316","RI","N5B,N5N","Aythya valisineria"
"317","IUCN","LC - Least concern","Aythya valisineria"
"318","USA","N5B,N5N","Aythya valisineria"
"319","CT","S1B","Egretta tricolor"
"320","ME","S1B","Egretta tricolor"
"321","MA","SXB,S2N","Egretta tricolor"
"322","NH","N5B,N5N","Egretta tricolor"
"323","NY","S2","Egretta tricolor"
"324","RI","S2N","Egretta tricolor"
"325","IUCN","LC - Least concern","Egretta tricolor"
"326","USA","N5B,N5N","Egretta tricolor"
"327","CT","S5B","Geothlypis trichas"
"328","ME","S4S5B","Geothlypis trichas"
"329","MA","S5B","Geothlypis trichas"
"330","NH","S5B","Geothlypis trichas"
"331","NY","S5B","Geothlypis trichas"
"332","RI","S5B","Geothlypis trichas"
"333","IUCN","LC - Least concern","Geothlypis trichas"
"334","USA","N5","Geothlypis trichas"
"335","CT","S4B","Cistothorus palustris"
"336","ME","S4B","Cistothorus palustris"
"337","MA","S2S3B","Cistothorus palustris"
"338","NH","S3B","Cistothorus palustris"
"339","NY","S5","Cistothorus palustris"
"340","RI","S2B,S3N","Cistothorus palustris"
"341","IUCN","LC - Least concern","Cistothorus palustris"
"342","USA","N5B,N5N","Cistothorus palustris"
"343","CT","S4","Corvus ossifragus"
"344","ME","S1?B","Corvus ossifragus"
"345","MA","S4","Corvus ossifragus"
"346","NH","S3","Corvus ossifragus"
"347","NY","S4","Corvus ossifragus"
"348","RI","S2B,S2N","Corvus ossifragus"
"349","IUCN","LC - Least concern","Corvus ossifragus"
"350","USA","N5","Corvus ossifragus"
"351","ME","S1N","Uria lomvia"
"352","MA","S2N","Uria lomvia"
"353","NH","N5B,N5N","Uria lomvia"
"354","NY","N5B,N5N","Uria lomvia"
"355","RI","N5B,N5N","Uria lomvia"
"356","IUCN","LC - Least concern","Uria lomvia"
"357","USA","N5B,N5N","Uria lomvia"
"358","ME","SXB,S1N","Uria aalge"
"359","MA","S1N","Uria aalge"
"360","NH","N5B,N5N","Uria aalge"
"361","IUCN","LC - Least concern","Uria aalge"
"362","USA","N5B,N5N","Uria aalge"
"363","CT","N5B,N5N","Thalasseus maximus"
"364","MA","S1N","Thalasseus maximus"
"365","NY","N5B,N5N","Thalasseus maximus"
"366","RI","S1N","Thalasseus maximus"
"367","IUCN","LC - Least concern","Thalasseus maximus"
"368","USA","N5B,N5N","Thalasseus maximus"
"369","ME","S4S5N","Rissa tridactyla"
"370","MA","S4N","Rissa tridactyla"
