"","year","rgn_id","rgn_name","score_lcv","svi_score","oi_score","bhi_score","social_score"
"47",2012,"10","New York",0.93,0.577296489562731,0.539,0.459,0.626324122390683
"48",2012,"11","Rhode Island",1,0.665316457595436,0.509,0.511,0.671329114398859
"49",2013,"5","Connecticut",1,0.677492395836028,0.574,0.477,0.682123098959007
"50",2013,"7","Massachusetts-North",1,0.610614710706456,0.591,0.757,0.739653677676614
"51",2013,"6","Maine",0.805,0.579058344466466,0.567,0.495,0.611514586116616
"52",2013,"9","New Hampshire",0.655,0.6970023491065,0.604,0.685,0.660250587276625
"53",2013,"10","New York",1,0.571014836521472,0.539,0.48,0.647503709130368
"54",2013,"11","Rhode Island",0.92,0.650220699714123,0.509,0.543,0.655555174928531
"55",2014,"5","Connecticut",0.8,0.684193333710389,0.619,0.434,0.634298333427597
"56",2014,"7","Massachusetts-North",0.8,0.618373266926789,0.627,0.81,0.713843316731697
"57",2014,"6","Maine",0.4,0.589836536045088,0.586,0.519,0.523709134011272
"58",2014,"9","New Hampshire",0.4,0.716596600933495,0.614,0.628,0.589649150233374
"59",2014,"10","New York",0.7,0.573745274080504,0.575,0.498,0.586686318520126
"60",2014,"11","Rhode Island",0.8,0.656031462379972,0.534,0.5,0.622507865594993
"61",2015,"5","Connecticut",1,0.535111247955226,0.628,0.462,0.656277811988806
"62",2015,"7","Massachusetts-North",1,0.447035798780601,0.631,0.791,0.71725894969515
"63",2015,"6","Maine",0.8,0.43525547021992,0.584,0.527,0.58656386755498
"64",2015,"9","New Hampshire",0.76,0.547610708380538,0.614,0.637,0.639652677095135
"65",2015,"10","New York",1,0.395250563687982,0.584,0.486,0.616312640921995
"66",2015,"11","Rhode Island",1,0.518508684642285,0.559,0.588,0.666377171160571
"67",2016,"5","Connecticut",1,0.538106560892696,0.628,0.4,0.641526640223174
"68",2016,"7","Massachusetts-North",1,0.45413843831551,0.631,0.734,0.704784609578877
"69",2016,"6","Maine",0.85,0.434784958180907,0.602,0.43,0.579196239545227
"70",2016,"9","New Hampshire",0.735,0.550478103006902,0.629,0.608,0.630619525751726
"71",2016,"10","New York",1,0.395461192657488,0.583,0.476,0.613615298164372
"72",2016,"11","Rhode Island",1,0.510897152015951,0.547,0.446,0.625974288003988
"73",2017,"5","Connecticut",0.975,NA,0.587,0.425,0.662333333333333
"74",2017,"7","Massachusetts-North",0.975,NA,0.605,0.757,0.779
"75",2017,"6","Maine",0.53,NA,0.579,0.538,0.549
"76",2017,"9","New Hampshire",1,NA,0.597,0.623,0.74
"77",2017,"10","New York",1,NA,0.564,0.463,0.675666666666667
"78",2017,"11","Rhode Island",1,NA,0.545,0.434,0.659666666666667
"79",2005,"8","Massachusetts-South",0.95,0.535157341156498,0.591,0.716,0.698039335289124
"80",2006,"8","Massachusetts-South",0.855,0.535157341156498,0.591,0.728,0.677289335289124
"81",2007,"8","Massachusetts-South",0.93,0.535157341156498,0.591,0.707,0.690789335289124
"82",2008,"8","Massachusetts-South",0.68,0.535157341156498,0.591,0.733,0.634789335289124
"83",2009,"8","Massachusetts-South",1,0.535157341156498,0.591,0.704,0.707539335289124
"84",2010,"8","Massachusetts-South",0.43,0.549234251630822,0.591,0.676,0.561558562907705
"85",2011,"8","Massachusetts-South",0.68,0.554617434448978,0.591,0.734,0.639904358612244
"86",2012,"8","Massachusetts-South",0.75,0.557280753900637,0.591,0.777,0.668820188475159
"87",2013,"8","Massachusetts-South",1,0.530930014846885,0.591,0.757,0.719732503711721
"88",2014,"8","Massachusetts-South",0.8,0.558284963177837,0.627,0.81,0.698821240794459
"89",2015,"8","Massachusetts-South",1,0.398984480278316,0.631,0.791,0.705246120069579
"90",2016,"8","Massachusetts-South",1,0.409481488356129,0.631,0.734,0.693620372089032
"91",2017,"8","Massachusetts-South",0.975,NA,0.605,0.757,0.779
