"","year","percent_regulation","target_regulation","percent_submitted","target_submitted","percent_no_violation","target_no_violations","percent_w_inspections","target_inspections","rgn_id","rgn_name"
"71",2016,1,1,0.990299795346211,0.95,0.881322182397451,1,0.16089207487057,0.5,"5","Connecticut"
"72",2016,1,1,0.993343220346545,0.95,0.321920977144443,1,0.121032664014065,0.5,"10","New York"
"73",2017,1,1,0.995360793925988,0.95,0.852351580570547,1,0.133384734001542,0.5,"6","Maine"
"74",2017,1,1,1,0.95,0.876549330689142,1,0.044620723847298,0.5,"9","New Hampshire"
"75",2017,1,1,0.994145509815117,0.95,0.888231315522489,1,0.0238417314846128,0.5,"7","Massachusetts-North"
"76",2017,1,1,0.979106158496829,0.95,0.773675762439807,1,0.0337078651685393,0.5,"11","Rhode Island"
"77",2017,1,1,0.989891237873682,0.95,0.861011549183592,1,0.185583432895261,0.5,"5","Connecticut"
"78",2017,1,1,0.991637660242805,0.95,0.307670954011289,1,0.127047284167669,0.5,"10","New York"
"79",2005,1,1,0.9841761,0.95,0.93794386202232,1,0.025701724721001,0.5,"8","Massachusetts-South"
"80",2006,1,1,0.9841761,0.95,0.932871153195807,1,0.0268853567805208,0.5,"8","Massachusetts-South"
"81",2007,1,1,0.9841761,0.95,0.931687521136287,1,0.0400743997294555,0.5,"8","Massachusetts-South"
"82",2008,1,1,0.9841761,0.95,0.933378424078458,1,0.0353398714913764,0.5,"8","Massachusetts-South"
"83",2009,1,1,0.98417610650473,0.95,0.93557659790328,1,0.0419343929658438,0.5,"8","Massachusetts-South"
"84",2010,1,1,1,0.95,0.9367602299628,1,0.031788975312817,0.5,"8","Massachusetts-South"
"85",2011,1,1,1,0.95,0.939465674670274,1,0.0285762597226919,0.5,"8","Massachusetts-South"
"86",2012,1,1,0.98573980207579,0.95,0.940142035847142,1,0.0240108217788299,0.5,"8","Massachusetts-South"
"87",2013,1,1,1,0.95,0.940649306729794,1,0.0265471761920866,0.5,"8","Massachusetts-South"
"88",2014,1,1,0.988482992756774,0.95,0.936591139668583,1,0.0262089956036523,0.5,"8","Massachusetts-South"
"89",2015,1,1,0.986467391304348,0.95,0.946398376733176,1,0.022658099425093,0.5,"8","Massachusetts-South"
"90",2016,1,1,0.987837649050433,0.95,0.919343929658438,1,0.0197835644234021,0.5,"8","Massachusetts-South"
"91",2017,1,1,0.994145509815117,0.95,0.888231315522489,1,0.0238417314846128,0.5,"8","Massachusetts-South"
