FMP,stock,location,Jurisdiction,FSSI,year,rgn_id,source,stock_location,rgn_name
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,5,NMFS,windowpane Southern New England / Mid-Atlantic,Connecticut
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,8,NMFS,windowpane Southern New England / Mid-Atlantic,Massachusetts-South
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,10,NMFS,windowpane Southern New England / Mid-Atlantic,New York
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,11,NMFS,windowpane Southern New England / Mid-Atlantic,Rhode Island
Northeast Multispecies,windowpane,Southern New England / Mid-Atlantic,NEFMC,2,2005,12,NMFS,windowpane Southern New England / Mid-Atlantic,Northeast
Northeast Multispecies,winter flounder,Gulf of Maine,NEFMC,4,2005,3,NMFS,winter flounder Gulf of Maine,Gulf of Maine
Northeast Multispecies,winter flounder,Gulf of Maine,NEFMC,4,2005,6,NMFS,winter flounder Gulf of Maine,Maine
Northeast Multispecies,winter flounder,Gulf of Maine,NEFMC,4,2005,7,NMFS,winter flounder Gulf of Maine,Massachusetts-North
Northeast Multispecies,winter flounder,Gulf of Maine,NEFMC,4,2005,9,NMFS,winter flounder Gulf of Maine,New Hampshire
Northeast Multispecies,winter flounder,Gulf of Maine,NEFMC,4,2005,12,NMFS,winter flounder Gulf of Maine,Northeast
Northeast Multispecies,winter flounder,Georges Bank,NEFMC,2,2005,1,NMFS,winter flounder Georges Bank,Offshore
Northeast Multispecies,winter flounder,Georges Bank,NEFMC,2,2005,2,NMFS,winter flounder Georges Bank,Georges Bank
Northeast Multispecies,winter flounder,Georges Bank,NEFMC,2,2005,3,NMFS,winter flounder Georges Bank,Gulf of Maine
Northeast Multispecies,winter flounder,Georges Bank,NEFMC,2,2005,12,NMFS,winter flounder Georges Bank,Northeast
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,1,NMFS,winter flounder Southern New England / Mid-Atlantic,Offshore
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,2,NMFS,winter flounder Southern New England / Mid-Atlantic,Georges Bank
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,3,NMFS,winter flounder Southern New England / Mid-Atlantic,Gulf of Maine
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,4,NMFS,winter flounder Southern New England / Mid-Atlantic,Mid-Atlantic Bight
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,5,NMFS,winter flounder Southern New England / Mid-Atlantic,Connecticut
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,7,NMFS,winter flounder Southern New England / Mid-Atlantic,Massachusetts-North
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,8,NMFS,winter flounder Southern New England / Mid-Atlantic,Massachusetts-South
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,10,NMFS,winter flounder Southern New England / Mid-Atlantic,New York
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,11,NMFS,winter flounder Southern New England / Mid-Atlantic,Rhode Island
Northeast Multispecies,winter flounder,Southern New England / Mid-Atlantic,NEFMC,1,2005,12,NMFS,winter flounder Southern New England / Mid-Atlantic,Northeast
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,2,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Georges Bank
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,3,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Gulf of Maine
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,6,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Maine
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,7,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Massachusetts-North
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,8,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Massachusetts-South
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,9,NMFS,silver hake Gulf of Maine / Northern Georges Bank,New Hampshire
Northeast Multispecies,silver hake,Gulf of Maine / Northern Georges Bank,NEFMC,4,2005,12,NMFS,silver hake Gulf of Maine / Northern Georges Bank,Northeast
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,1,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Offshore
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,2,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Georges Bank
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,4,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Mid-Atlantic Bight
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,5,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Connecticut
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,8,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Massachusetts-South
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,10,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,New York
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,11,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Rhode Island
Northeast Multispecies,silver hake,Southern Georges Bank / Mid-Atlantic,NEFMC,1.5,2005,12,NMFS,silver hake Southern Georges Bank / Mid-Atlantic,Northeast
Northeast Multispecies,red hake,Gulf of Maine / Northern Georges Bank,NEFMC,2.5,2005,2,NMFS,red hake Gulf of Maine / Northern Georges Bank,Georges Bank
