"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"154","black legged kittiwake","Rissa tridactyla",NA,NA,0,3,"Gulf of Maine",NA
"155","black legged kittiwake","Rissa tridactyla",NA,NA,0,2,"Georges Bank",NA
"156","black legged kittiwake","Rissa tridactyla","MA","S4N",0.2,7,"Massachusetts-Gulf of Maine",NA
"157","black legged kittiwake","Rissa tridactyla","MA","S4N",0.2,8,"Massachusetts-Virginian",NA
"158","black legged kittiwake","Rissa tridactyla","RI","N5B,N5N",0,11,"Rhode Island",NA
"159","black legged kittiwake","Rissa tridactyla",NA,NA,0,4,"Mid-Atlantic Bight",NA
"160","black legged kittiwake","Rissa tridactyla",NA,NA,0,1,"Offshore",NA
"161","black scoter","Melanitta americana",NA,NA,0,3,"Gulf of Maine",NA
"162","black scoter","Melanitta americana",NA,NA,0,2,"Georges Bank",NA
"163","black scoter","Melanitta americana","MA","S5N",0,7,"Massachusetts-Gulf of Maine",NA
"164","black scoter","Melanitta americana","MA","S5N",0,8,"Massachusetts-Virginian",NA
"165","black scoter","Melanitta americana","RI","N5B,N5N",0,11,"Rhode Island",NA
"166","black scoter","Melanitta americana",NA,NA,0,4,"Mid-Atlantic Bight",NA
"167","black scoter","Melanitta americana","NY","N5B,N5N",0,10,"New York",NA
"168","black scoter","Melanitta americana",NA,NA,0,1,"Offshore",NA
"169","black sea bass","Centropristis striata",NA,NA,NA,6,"Maine",NA
"170","black sea bass","Centropristis striata",NA,NA,NA,3,"Gulf of Maine",NA
"171","black sea bass","Centropristis striata",NA,NA,NA,9,"New Hampshire",NA
"172","black sea bass","Centropristis striata",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"173","black sea bass","Centropristis striata",NA,NA,NA,2,"Georges Bank",NA
"174","black sea bass","Centropristis striata","RI","NNR",NA,11,"Rhode Island",NA
"175","black sea bass","Centropristis striata",NA,NA,NA,8,"Massachusetts-Virginian",NA
"176","black sea bass","Centropristis striata",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"177","black sea bass","Centropristis striata",NA,NA,NA,1,"Offshore",NA
"178","black sea bass","Centropristis striata","NY","NNR",NA,10,"New York",NA
"179","blackbelly rosefish","Helicolenus dactylopterus",NA,NA,NA,3,"Gulf of Maine",NA
"180","blackbelly rosefish","Helicolenus dactylopterus",NA,NA,NA,2,"Georges Bank",NA
"181","blackbelly rosefish","Helicolenus dactylopterus",NA,NA,NA,1,"Offshore",NA
"182","blackbelly rosefish","Helicolenus dactylopterus",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"183","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,3,"Gulf of Maine",NA
"184","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,2,"Georges Bank",NA
"185","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"186","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,8,"Massachusetts-Virginian",NA
"187","blainvilles beaked whale","Mesoplodon densirostris",NA,NA,NA,4,"Mid-Atlantic Bight",NA
