"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"2422","snubnose eelpout","Pachycara bulbiceps",NA,NA,0,4,"Mid-Atlantic Bight",18180983
"2423","bobtail eel","Cyema atrum",NA,NA,0,3,"Gulf of Maine",18227109
"2424","bobtail eel","Cyema atrum",NA,NA,0,2,"Georges Bank",18227109
"2425","bobtail eel","Cyema atrum",NA,NA,0,1,"Offshore",18227109
"2426","bobtail eel","Cyema atrum",NA,NA,0,4,"Mid-Atlantic Bight",18227109
"2427","pelican eel","Eurypharynx pelecanoides",NA,NA,0,2,"Georges Bank",18227119
"2428","pelican eel","Eurypharynx pelecanoides",NA,NA,0,1,"Offshore",18227119
"2429","pelican eel","Eurypharynx pelecanoides",NA,NA,0,4,"Mid-Atlantic Bight",18227119
"2430","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,6,"Maine",18252612
"2431","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,3,"Gulf of Maine",18252612
"2432","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,9,"New Hampshire",18252612
"2433","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,2,"Georges Bank",18252612
"2434","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,7,"Massachusetts-Gulf of Maine",18252612
"2435","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,1,"Offshore",18252612
"2436","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,8,"Massachusetts-Virginian",18252612
"2437","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,11,"Rhode Island",18252612
"2438","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,4,"Mid-Atlantic Bight",18252612
"2439","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,5,"Connecticut",18252612
"2440","benttooth bristlemouth","Cyclothone acclinidens",NA,NA,0,10,"New York",18252612
"2441","tan bristlemouth","Cyclothone pallida",NA,NA,0,6,"Maine",18252619
"2442","tan bristlemouth","Cyclothone pallida",NA,NA,0,3,"Gulf of Maine",18252619
"2443","tan bristlemouth","Cyclothone pallida",NA,NA,0,9,"New Hampshire",18252619
"2444","tan bristlemouth","Cyclothone pallida",NA,NA,0,2,"Georges Bank",18252619
"2445","tan bristlemouth","Cyclothone pallida",NA,NA,0,7,"Massachusetts-Gulf of Maine",18252619
"2446","tan bristlemouth","Cyclothone pallida",NA,NA,0,1,"Offshore",18252619
"2447","tan bristlemouth","Cyclothone pallida",NA,NA,0,8,"Massachusetts-Virginian",18252619
"2448","tan bristlemouth","Cyclothone pallida",NA,NA,0,11,"Rhode Island",18252619
"2449","tan bristlemouth","Cyclothone pallida",NA,NA,0,4,"Mid-Atlantic Bight",18252619
"2450","tan bristlemouth","Cyclothone pallida",NA,NA,0,5,"Connecticut",18252619
"2451","tan bristlemouth","Cyclothone pallida",NA,NA,0,10,"New York",18252619
"2452","slender bristlemouth","Cyclothone pseudopallida",NA,NA,0,1,"Offshore",18252629
"2453","slender bristlemouth","Cyclothone pseudopallida",NA,NA,0,2,"Georges Bank",18252629
"2454","slender bristlemouth","Cyclothone pseudopallida",NA,NA,0,4,"Mid-Atlantic Bight",18252629
"2455","lovely hatchetfish","Argyropelecus aculeatus",NA,NA,0,2,"Georges Bank",18253276
"2456","lovely hatchetfish","Argyropelecus aculeatus",NA,NA,0,1,"Offshore",18253276
"2457","lovely hatchetfish","Argyropelecus aculeatus",NA,NA,0,4,"Mid-Atlantic Bight",18253276
"2458","hatchetfish","Argyropelecus gigas",NA,NA,0,3,"Gulf of Maine",18253282
"2459","hatchetfish","Argyropelecus gigas",NA,NA,0,2,"Georges Bank",18253282
"2460","hatchetfish","Argyropelecus gigas",NA,NA,0,1,"Offshore",18253282
"2461","hatchetfish","Argyropelecus gigas",NA,NA,0,4,"Mid-Atlantic Bight",18253282
"2462",NA,"Astronesthes gemmifer",NA,NA,NA,6,"Maine",18256447
"2463",NA,"Astronesthes gemmifer",NA,NA,NA,3,"Gulf of Maine",18256447
"2464",NA,"Astronesthes gemmifer",NA,NA,NA,9,"New Hampshire",18256447
"2465",NA,"Astronesthes gemmifer",NA,NA,NA,2,"Georges Bank",18256447
"2466",NA,"Astronesthes gemmifer",NA,NA,NA,7,"Massachusetts-Gulf of Maine",18256447
"2467",NA,"Astronesthes gemmifer",NA,NA,NA,1,"Offshore",18256447
"2468",NA,"Astronesthes gemmifer",NA,NA,NA,8,"Massachusetts-Virginian",18256447
"2469",NA,"Astronesthes gemmifer",NA,NA,NA,11,"Rhode Island",18256447
"2470",NA,"Astronesthes gemmifer",NA,NA,NA,4,"Mid-Atlantic Bight",18256447
"2471",NA,"Astronesthes gemmifer",NA,NA,NA,5,"Connecticut",18256447
"2472",NA,"Astronesthes gemmifer",NA,NA,NA,10,"New York",18256447
"2473",NA,"Bathophilus digitatus",NA,NA,0,1,"Offshore",18256458
"2474",NA,"Bathophilus digitatus",NA,NA,0,2,"Georges Bank",18256458
"2475",NA,"Bathophilus digitatus",NA,NA,0,4,"Mid-Atlantic Bight",18256458
"2476",NA,"Bathophilus vaillanti",NA,NA,0,3,"Gulf of Maine",18256490
"2477",NA,"Bathophilus vaillanti",NA,NA,0,2,"Georges Bank",18256490
"2478",NA,"Bathophilus vaillanti",NA,NA,0,1,"Offshore",18256490
"2479",NA,"Bathophilus vaillanti",NA,NA,0,8,"Massachusetts-Virginian",18256490
"2480",NA,"Bathophilus vaillanti",NA,NA,0,11,"Rhode Island",18256490
"2481",NA,"Bathophilus vaillanti",NA,NA,0,4,"Mid-Atlantic Bight",18256490
"2482",NA,"Bathophilus vaillanti",NA,NA,0,5,"Connecticut",18256490
"2483",NA,"Bathophilus vaillanti",NA,NA,0,10,"New York",18256490
"2484","threadfin dragonfish","Echiostoma barbatum",NA,NA,0,1,"Offshore",18256560
"2485","threadfin dragonfish","Echiostoma barbatum",NA,NA,0,2,"Georges Bank",18256560
"2486","threadfin dragonfish","Echiostoma barbatum",NA,NA,0,4,"Mid-Atlantic Bight",18256560
"2487",NA,"Eustomias obscurus",NA,NA,0,2,"Georges Bank",18256943
"2488",NA,"Eustomias obscurus",NA,NA,0,1,"Offshore",18256943
"2489",NA,"Eustomias obscurus",NA,NA,0,4,"Mid-Atlantic Bight",18256943
"2490",NA,"Eustomias obscurus",NA,NA,0,8,"Massachusetts-Virginian",18256943
"2491",NA,"Eustomias obscurus",NA,NA,0,11,"Rhode Island",18256943
"2492",NA,"Eustomias obscurus",NA,NA,0,10,"New York",18256943
"2493","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,6,"Maine",18256992
"2494","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,3,"Gulf of Maine",18256992
"2495","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,9,"New Hampshire",18256992
"2496","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,2,"Georges Bank",18256992
"2497","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,7,"Massachusetts-Gulf of Maine",18256992
"2498","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,1,"Offshore",18256992
"2499","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,8,"Massachusetts-Virginian",18256992
"2500","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,11,"Rhode Island",18256992
"2501","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,4,"Mid-Atlantic Bight",18256992
"2502","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,5,"Connecticut",18256992
"2503","longbarb dragonfish","Flagellostomias boureei",NA,NA,0,10,"New York",18256992
"2504","leatherjacket","Oligoplites saurus",NA,NA,0,6,"Maine",183364
"2505","leatherjacket","Oligoplites saurus",NA,NA,0,3,"Gulf of Maine",183364
"2506","leatherjacket","Oligoplites saurus",NA,NA,0,9,"New Hampshire",183364
"2507","leatherjacket","Oligoplites saurus",NA,NA,0,7,"Massachusetts-Gulf of Maine",183364
"2508","leatherjacket","Oligoplites saurus",NA,NA,0,2,"Georges Bank",183364
"2509","leatherjacket","Oligoplites saurus",NA,NA,0,8,"Massachusetts-Virginian",183364
"2510","leatherjacket","Oligoplites saurus",NA,NA,0,11,"Rhode Island",183364
"2511","leatherjacket","Oligoplites saurus",NA,NA,0,4,"Mid-Atlantic Bight",183364
"2512","leatherjacket","Oligoplites saurus",NA,NA,0,5,"Connecticut",183364
"2513","leatherjacket","Oligoplites saurus",NA,NA,0,10,"New York",183364
"2514","leatherjacket","Oligoplites saurus",NA,NA,0,1,"Offshore",183364
"2515",NA,"Stereomastis nana",NA,NA,0,6,"Maine",185000
"2516",NA,"Stereomastis nana",NA,NA,0,3,"Gulf of Maine",185000
"2517",NA,"Stereomastis nana",NA,NA,0,9,"New Hampshire",185000
"2518",NA,"Stereomastis nana",NA,NA,0,2,"Georges Bank",185000
"2519",NA,"Stereomastis nana",NA,NA,0,7,"Massachusetts-Gulf of Maine",185000
"2520",NA,"Stereomastis nana",NA,NA,0,1,"Offshore",185000
"2521",NA,"Stereomastis nana",NA,NA,0,8,"Massachusetts-Virginian",185000
"2522",NA,"Stereomastis nana",NA,NA,0,11,"Rhode Island",185000
"2523",NA,"Stereomastis nana",NA,NA,0,4,"Mid-Atlantic Bight",185000
"2524",NA,"Stereomastis nana",NA,NA,0,5,"Connecticut",185000
"2525",NA,"Stereomastis nana",NA,NA,0,10,"New York",185000
"2526",NA,"Stereomastis sculpta",NA,NA,0,3,"Gulf of Maine",185012
"2527",NA,"Stereomastis sculpta",NA,NA,0,2,"Georges Bank",185012
"2528",NA,"Stereomastis sculpta",NA,NA,0,1,"Offshore",185012
"2529",NA,"Stereomastis sculpta",NA,NA,0,4,"Mid-Atlantic Bight",185012
"2530",NA,"Cardus crucifer",NA,NA,0,2,"Georges Bank",185015
"2531",NA,"Cardus crucifer",NA,NA,0,1,"Offshore",185015
"2532",NA,"Cardus crucifer",NA,NA,0,4,"Mid-Atlantic Bight",185015
"2533",NA,"Polycheles typhlops",NA,NA,0,6,"Maine",185026
"2534",NA,"Polycheles typhlops",NA,NA,0,3,"Gulf of Maine",185026
"2535",NA,"Polycheles typhlops",NA,NA,0,9,"New Hampshire",185026
"2536",NA,"Polycheles typhlops",NA,NA,0,2,"Georges Bank",185026
"2537",NA,"Polycheles typhlops",NA,NA,0,7,"Massachusetts-Gulf of Maine",185026
"2538",NA,"Polycheles typhlops",NA,NA,0,1,"Offshore",185026
"2539",NA,"Polycheles typhlops",NA,NA,0,8,"Massachusetts-Virginian",185026
"2540",NA,"Polycheles typhlops",NA,NA,0,11,"Rhode Island",185026
"2541",NA,"Polycheles typhlops",NA,NA,0,4,"Mid-Atlantic Bight",185026
"2542",NA,"Polycheles typhlops",NA,NA,0,5,"Connecticut",185026
"2543",NA,"Polycheles typhlops",NA,NA,0,10,"New York",185026
"2544","bigtooth cardinalfish","Paroncheilus affinis",NA,NA,0,10,"New York",185924
"2545","bigtooth cardinalfish","Paroncheilus affinis",NA,NA,0,4,"Mid-Atlantic Bight",185924
"2546","bigtooth cardinalfish","Paroncheilus affinis",NA,NA,0,1,"Offshore",185924
"2547","skilletfish","Gobiesox strumosus",NA,NA,0,4,"Mid-Atlantic Bight",186005
"2548","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,3,"Gulf of Maine",186010
"2549","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,7,"Massachusetts-Gulf of Maine",186010
"2550","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,2,"Georges Bank",186010
"2551","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,8,"Massachusetts-Virginian",186010
"2552","seaboard goby","Gobiosoma ginsburgi","RI","NNR",0,11,"Rhode Island",186010
"2553","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,4,"Mid-Atlantic Bight",186010
"2554","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,5,"Connecticut",186010
"2555","seaboard goby","Gobiosoma ginsburgi","NY","NNR",0,10,"New York",186010
"2556","seaboard goby","Gobiosoma ginsburgi",NA,NA,0,1,"Offshore",186010
"2557","naked goby","Gobiosoma bosc",NA,NA,0,5,"Connecticut",186012
"2558","naked goby","Gobiosoma bosc","NY","N5",0,10,"New York",186012
"2559","naked goby","Gobiosoma bosc","RI","N5",0,11,"Rhode Island",186012
"2560","naked goby","Gobiosoma bosc",NA,NA,0,4,"Mid-Atlantic Bight",186012
"2561","naked goby","Gobiosoma bosc",NA,NA,0,1,"Offshore",186012
"2562","pacific barracudina","Lestidiops jayakari",NA,NA,0,2,"Georges Bank",189818
"2563","pacific barracudina","Lestidiops jayakari",NA,NA,0,1,"Offshore",189818
"2564","pacific barracudina","Lestidiops jayakari",NA,NA,0,3,"Gulf of Maine",189818
"2565","pacific barracudina","Lestidiops jayakari",NA,NA,0,8,"Massachusetts-Virginian",189818
"2566","pacific barracudina","Lestidiops jayakari",NA,NA,0,11,"Rhode Island",189818
"2567","pacific barracudina","Lestidiops jayakari",NA,NA,0,4,"Mid-Atlantic Bight",189818
"2568","pacific barracudina","Lestidiops jayakari",NA,NA,0,5,"Connecticut",189818
"2569","pacific barracudina","Lestidiops jayakari",NA,NA,0,10,"New York",189818
"2570",NA,"Cyprinodon variegatus",NA,NA,0,3,"Gulf of Maine",189823
"2571",NA,"Cyprinodon variegatus","MA","S4",0.2,7,"Massachusetts-Gulf of Maine",189823
"2572",NA,"Cyprinodon variegatus",NA,NA,0,2,"Georges Bank",189823
"2573",NA,"Cyprinodon variegatus","MA","S4",0.2,8,"Massachusetts-Virginian",189823
"2574",NA,"Cyprinodon variegatus","RI","N5",0,11,"Rhode Island",189823
"2575",NA,"Cyprinodon variegatus",NA,NA,0,4,"Mid-Atlantic Bight",189823
"2576",NA,"Cyprinodon variegatus","CT","N5",0,5,"Connecticut",189823
"2577",NA,"Cyprinodon variegatus","NY","N5",0,10,"New York",189823
"2578",NA,"Cyprinodon variegatus",NA,NA,0,1,"Offshore",189823
"2579","mummichog","Fundulus heteroclitus","ME","N5",0,6,"Maine",189824
"2580","mummichog","Fundulus heteroclitus",NA,NA,0,3,"Gulf of Maine",189824
"2581","mummichog","Fundulus heteroclitus","NH","S5",0,9,"New Hampshire",189824
"2582","mummichog","Fundulus heteroclitus",NA,NA,0,2,"Georges Bank",189824
"2583","mummichog","Fundulus heteroclitus","MA","S5",0,7,"Massachusetts-Gulf of Maine",189824
"2584","mummichog","Fundulus heteroclitus",NA,NA,0,1,"Offshore",189824
"2585","mummichog","Fundulus heteroclitus","MA","S5",0,8,"Massachusetts-Virginian",189824
"2586","mummichog","Fundulus heteroclitus","RI","S5",0,11,"Rhode Island",189824
"2587","mummichog","Fundulus heteroclitus",NA,NA,0,4,"Mid-Atlantic Bight",189824
"2588","mummichog","Fundulus heteroclitus","CT","S5",0,5,"Connecticut",189824
"2589","mummichog","Fundulus heteroclitus","NY","S3",0.4,10,"New York",189824
"2590",NA,"Foetorepus goodenbeani",NA,NA,0,3,"Gulf of Maine",190066
"2591",NA,"Foetorepus goodenbeani",NA,NA,0,7,"Massachusetts-Gulf of Maine",190066
"2592",NA,"Foetorepus goodenbeani",NA,NA,0,2,"Georges Bank",190066
"2593",NA,"Foetorepus goodenbeani",NA,NA,0,8,"Massachusetts-Virginian",190066
"2594",NA,"Foetorepus goodenbeani",NA,NA,0,11,"Rhode Island",190066
"2595",NA,"Foetorepus goodenbeani",NA,NA,0,4,"Mid-Atlantic Bight",190066
"2596",NA,"Foetorepus goodenbeani",NA,NA,0,5,"Connecticut",190066
"2597",NA,"Foetorepus goodenbeani",NA,NA,0,10,"New York",190066
"2598",NA,"Foetorepus goodenbeani",NA,NA,0,1,"Offshore",190066
"2599","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,6,"Maine",190067
"2600","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,3,"Gulf of Maine",190067
"2601","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,2,"Georges Bank",190067
"2602","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,7,"Massachusetts-Gulf of Maine",190067
"2603","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,1,"Offshore",190067
"2604","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,8,"Massachusetts-Virginian",190067
"2605","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,11,"Rhode Island",190067
"2606","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,5,"Connecticut",190067
"2607","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,10,"New York",190067
"2608","triplewart seadevil","Cryptopsaras couesii",NA,NA,0,4,"Mid-Atlantic Bight",190067
"2609","beardless codling","Gadella imberbis",NA,NA,0,1,"Offshore",190069
"2610","beardless codling","Gadella imberbis",NA,NA,0,4,"Mid-Atlantic Bight",190069
"2611","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,3,"Gulf of Maine",190073
"2612","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,6,"Maine",190073
"2613","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,9,"New Hampshire",190073
"2614","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,2,"Georges Bank",190073
"2615","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,7,"Massachusetts-Gulf of Maine",190073
"2616","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,1,"Offshore",190073
"2617","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,8,"Massachusetts-Virginian",190073
"2618","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,11,"Rhode Island",190073
"2619","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,4,"Mid-Atlantic Bight",190073
"2620","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,5,"Connecticut",190073
"2621","polka-dot ribbonfish","Desmodema polystictum",NA,NA,0,10,"New York",190073
"2622","marlin sucker","Remora osteochir",NA,NA,0,1,"Offshore",190080
"2623","marlin sucker","Remora osteochir",NA,NA,0,2,"Georges Bank",190080
"2624","marlin sucker","Remora osteochir",NA,NA,0,4,"Mid-Atlantic Bight",190080
"2625","marlin sucker","Remora osteochir",NA,NA,0,10,"New York",190080
"2626",NA,"Diceratias pileatus",NA,NA,0,1,"Offshore",190089
"2627","hakeling","Physiculus fulvus",NA,NA,0,3,"Gulf of Maine",190091
"2628","hakeling","Physiculus fulvus",NA,NA,0,6,"Maine",190091
"2629","hakeling","Physiculus fulvus",NA,NA,0,9,"New Hampshire",190091
"2630","hakeling","Physiculus fulvus",NA,NA,0,7,"Massachusetts-Gulf of Maine",190091
"2631","hakeling","Physiculus fulvus",NA,NA,0,2,"Georges Bank",190091
"2632","hakeling","Physiculus fulvus",NA,NA,0,4,"Mid-Atlantic Bight",190091
"2633","hakeling","Physiculus fulvus",NA,NA,0,1,"Offshore",190091
"2634","atlantic barracudina","Lestidium atlanticum",NA,NA,0,6,"Maine",190099
"2635","atlantic barracudina","Lestidium atlanticum",NA,NA,0,3,"Gulf of Maine",190099
"2636","atlantic barracudina","Lestidium atlanticum",NA,NA,0,9,"New Hampshire",190099
"2637","atlantic barracudina","Lestidium atlanticum",NA,NA,0,2,"Georges Bank",190099
"2638","atlantic barracudina","Lestidium atlanticum",NA,NA,0,7,"Massachusetts-Gulf of Maine",190099
"2639","atlantic barracudina","Lestidium atlanticum",NA,NA,0,1,"Offshore",190099
"2640","atlantic barracudina","Lestidium atlanticum",NA,NA,0,8,"Massachusetts-Virginian",190099
"2641","atlantic barracudina","Lestidium atlanticum",NA,NA,0,11,"Rhode Island",190099
"2642","atlantic barracudina","Lestidium atlanticum",NA,NA,0,4,"Mid-Atlantic Bight",190099
"2643","atlantic barracudina","Lestidium atlanticum",NA,NA,0,5,"Connecticut",190099
"2644","atlantic barracudina","Lestidium atlanticum",NA,NA,0,10,"New York",190099
"2645","benoit's lanternfish","Hygophum benoiti",NA,NA,0,6,"Maine",190100
"2646","benoit's lanternfish","Hygophum benoiti",NA,NA,0,3,"Gulf of Maine",190100
"2647","benoit's lanternfish","Hygophum benoiti",NA,NA,0,9,"New Hampshire",190100
"2648","benoit's lanternfish","Hygophum benoiti",NA,NA,0,2,"Georges Bank",190100
"2649","benoit's lanternfish","Hygophum benoiti",NA,NA,0,7,"Massachusetts-Gulf of Maine",190100
"2650","benoit's lanternfish","Hygophum benoiti",NA,NA,0,1,"Offshore",190100
"2651","benoit's lanternfish","Hygophum benoiti",NA,NA,0,8,"Massachusetts-Virginian",190100
"2652","benoit's lanternfish","Hygophum benoiti",NA,NA,0,11,"Rhode Island",190100
"2653","benoit's lanternfish","Hygophum benoiti",NA,NA,0,4,"Mid-Atlantic Bight",190100
"2654","benoit's lanternfish","Hygophum benoiti",NA,NA,0,5,"Connecticut",190100
"2655","benoit's lanternfish","Hygophum benoiti",NA,NA,0,10,"New York",190100
"2656",NA,"Sudis hyalina",NA,NA,NA,3,"Gulf of Maine",190101
"2657",NA,"Sudis hyalina",NA,NA,NA,2,"Georges Bank",190101
"2658",NA,"Sudis hyalina",NA,NA,NA,7,"Massachusetts-Gulf of Maine",190101
"2659",NA,"Sudis hyalina",NA,NA,NA,1,"Offshore",190101
"2660",NA,"Sudis hyalina",NA,NA,NA,8,"Massachusetts-Virginian",190101
"2661",NA,"Sudis hyalina",NA,NA,NA,11,"Rhode Island",190101
"2662",NA,"Sudis hyalina",NA,NA,NA,4,"Mid-Atlantic Bight",190101
"2663",NA,"Sudis hyalina",NA,NA,NA,5,"Connecticut",190101
"2664",NA,"Sudis hyalina",NA,NA,NA,10,"New York",190101
"2665","luvar","Luvarus imperialis",NA,NA,0,2,"Georges Bank",190116
"2666","luvar","Luvarus imperialis",NA,NA,0,1,"Offshore",190116
"2667","mackerel scad","Decapterus macarellus",NA,NA,0,6,"Maine",190117
"2668","mackerel scad","Decapterus macarellus",NA,NA,0,3,"Gulf of Maine",190117
"2669","mackerel scad","Decapterus macarellus",NA,NA,0,9,"New Hampshire",190117
"2670","mackerel scad","Decapterus macarellus",NA,NA,0,2,"Georges Bank",190117
"2671","mackerel scad","Decapterus macarellus",NA,NA,0,7,"Massachusetts-Gulf of Maine",190117
"2672","mackerel scad","Decapterus macarellus",NA,NA,0,1,"Offshore",190117
"2673","mackerel scad","Decapterus macarellus",NA,NA,0,8,"Massachusetts-Virginian",190117
"2674","mackerel scad","Decapterus macarellus",NA,NA,0,11,"Rhode Island",190117
"2675","mackerel scad","Decapterus macarellus",NA,NA,0,4,"Mid-Atlantic Bight",190117
"2676","mackerel scad","Decapterus macarellus",NA,NA,0,5,"Connecticut",190117
"2677","mackerel scad","Decapterus macarellus",NA,NA,0,10,"New York",190117
"2678","pacific hatchet fish","Argyropelecus affinis",NA,NA,0,2,"Georges Bank",190118
"2679","pacific hatchet fish","Argyropelecus affinis",NA,NA,0,1,"Offshore",190118
"2680","pacific hatchet fish","Argyropelecus affinis",NA,NA,0,4,"Mid-Atlantic Bight",190118
"2681","margined flyingfish","Cheilopogon cyanopterus",NA,NA,0,4,"Mid-Atlantic Bight",190123
"2682","margined flyingfish","Cheilopogon cyanopterus",NA,NA,0,1,"Offshore",190123
"2683","veiled anglemouth","Cyclothone microdon",NA,NA,0,2,"Georges Bank",190133
"2684","veiled anglemouth","Cyclothone microdon",NA,NA,0,1,"Offshore",190133
"2685","veiled anglemouth","Cyclothone microdon",NA,NA,0,4,"Mid-Atlantic Bight",190133
"2686","parin's spinyfish","Diretmichthys parini",NA,NA,0,3,"Gulf of Maine",190137
"2687","parin's spinyfish","Diretmichthys parini",NA,NA,0,6,"Maine",190137
"2688","parin's spinyfish","Diretmichthys parini",NA,NA,0,9,"New Hampshire",190137
"2689","parin's spinyfish","Diretmichthys parini",NA,NA,0,2,"Georges Bank",190137
"2690","parin's spinyfish","Diretmichthys parini",NA,NA,0,7,"Massachusetts-Gulf of Maine",190137
"2691","parin's spinyfish","Diretmichthys parini",NA,NA,0,1,"Offshore",190137
"2692","parin's spinyfish","Diretmichthys parini",NA,NA,0,8,"Massachusetts-Virginian",190137
"2693","parin's spinyfish","Diretmichthys parini",NA,NA,0,11,"Rhode Island",190137
"2694","parin's spinyfish","Diretmichthys parini",NA,NA,0,4,"Mid-Atlantic Bight",190137
"2695","parin's spinyfish","Diretmichthys parini",NA,NA,0,5,"Connecticut",190137
"2696","parin's spinyfish","Diretmichthys parini",NA,NA,0,10,"New York",190137
"2697","lesser amberjack","Seriola fasciata",NA,NA,0,7,"Massachusetts-Gulf of Maine",190139
"2698","lesser amberjack","Seriola fasciata",NA,NA,0,3,"Gulf of Maine",190139
"2699","lesser amberjack","Seriola fasciata",NA,NA,0,2,"Georges Bank",190139
"2700","lesser amberjack","Seriola fasciata",NA,NA,0,8,"Massachusetts-Virginian",190139
"2701","lesser amberjack","Seriola fasciata",NA,NA,0,11,"Rhode Island",190139
"2702","lesser amberjack","Seriola fasciata",NA,NA,0,4,"Mid-Atlantic Bight",190139
"2703","lesser amberjack","Seriola fasciata",NA,NA,0,5,"Connecticut",190139
"2704","lesser amberjack","Seriola fasciata",NA,NA,0,10,"New York",190139
"2705","lesser amberjack","Seriola fasciata",NA,NA,0,1,"Offshore",190139
"2706",NA,"Stemonosudis intermedia",NA,NA,0,3,"Gulf of Maine",190146
"2707",NA,"Stemonosudis intermedia",NA,NA,0,2,"Georges Bank",190146
"2708",NA,"Stemonosudis intermedia",NA,NA,0,7,"Massachusetts-Gulf of Maine",190146
"2709",NA,"Stemonosudis intermedia",NA,NA,0,8,"Massachusetts-Virginian",190146
"2710",NA,"Stemonosudis intermedia",NA,NA,0,11,"Rhode Island",190146
"2711",NA,"Stemonosudis intermedia",NA,NA,0,1,"Offshore",190146
"2712",NA,"Stemonosudis intermedia",NA,NA,0,4,"Mid-Atlantic Bight",190146
"2713",NA,"Stemonosudis intermedia",NA,NA,0,5,"Connecticut",190146
"2714",NA,"Stemonosudis intermedia",NA,NA,0,10,"New York",190146
"2715","abyssal assfish","Bassozetus compressus",NA,NA,0,1,"Offshore",190154
"2716","whalehead dreamer","Lophodolos acanthognathus",NA,NA,0,1,"Offshore",190157
"2717","whalehead dreamer","Lophodolos acanthognathus",NA,NA,0,2,"Georges Bank",190157
"2718","whalehead dreamer","Lophodolos acanthognathus",NA,NA,0,4,"Mid-Atlantic Bight",190157
"2719","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,2,"Georges Bank",190163
"2720","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,1,"Offshore",190163
"2721","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,8,"Massachusetts-Virginian",190163
"2722","oceanic two-wing flyingfish","Exocoetus obtusirostris","RI","NNR",0,11,"Rhode Island",190163
"2723","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,4,"Mid-Atlantic Bight",190163
"2724","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,5,"Connecticut",190163
"2725","oceanic two-wing flyingfish","Exocoetus obtusirostris",NA,NA,0,10,"New York",190163
"2726","white mullet","Mugil curema",NA,NA,0,7,"Massachusetts-Gulf of Maine",190168
"2727","white mullet","Mugil curema",NA,NA,0,3,"Gulf of Maine",190168
"2728","white mullet","Mugil curema",NA,NA,0,2,"Georges Bank",190168
"2729","white mullet","Mugil curema",NA,NA,0,8,"Massachusetts-Virginian",190168
"2730","white mullet","Mugil curema","RI","N5",0,11,"Rhode Island",190168
"2731","white mullet","Mugil curema",NA,NA,0,4,"Mid-Atlantic Bight",190168
"2732","white mullet","Mugil curema",NA,NA,0,5,"Connecticut",190168
"2733","white mullet","Mugil curema","NY","N5",0,10,"New York",190168
"2734","white mullet","Mugil curema",NA,NA,0,1,"Offshore",190168
"2735","longray fangjaw","Bonapartia pedaliota",NA,NA,0,3,"Gulf of Maine",190176
