"","state","status","species"
"168","USA","N5","Dasyatis say"
"169","IUCN","EN - Endangered","Pterodroma hasitata"
"170","USA","NNRN","Pterodroma hasitata"
"171","IUCN","LC - Least concern","Oceanodroma castro"
"172","USA","N1B","Oceanodroma castro"
"173","RI","NNR","Anarhichas lupus"
"174","IUCN",NA,"Anarhichas lupus"
"175","USA","NNR","Anarhichas lupus"
"176","RI","NNR","Torpedo nobiliana"
"177","IUCN","DD - Data deficient","Torpedo nobiliana"
"178","USA","NNR","Torpedo nobiliana"
"179","RI","NNR","Hippoglossus hippoglossus"
"180","IUCN","EN - Endangered","Hippoglossus hippoglossus"
"181","USA","NNR","Hippoglossus hippoglossus"
"182","NY","NNR","Gadus morhua"
"183","RI","NNR","Gadus morhua"
"184","IUCN","VU - Vulnerable","Gadus morhua"
"185","USA","NNR","Gadus morhua"
"186","RI","NNR","Hippoglossoides platessoides"
"187","IUCN",NA,"Hippoglossoides platessoides"
"188","USA","NNR","Hippoglossoides platessoides"
"189","CT","S1B","Eremophila alpestris"
"190","ME","S3B,S3S4N","Eremophila alpestris"
"191","MA","S3B,S4N","Eremophila alpestris"
"192","NH","S3B","Eremophila alpestris"
"193","NY","S3S4B","Eremophila alpestris"
"194","RI","S1B","Eremophila alpestris"
"195","IUCN","LC - Least concern","Eremophila alpestris"
"196","USA","N5B,N5N","Eremophila alpestris"
"197","MA","S1N","Xema sabini"
"198","NY","N5B","Xema sabini"
"199","IUCN","LC - Least concern","Xema sabini"
"200","USA","N5B","Xema sabini"
"201","CT","S1B","Sterna dougallii"
"202","ME","S2B","Sterna dougallii"
"203","MA","S2B,S3N","Sterna dougallii"
"204","NH","SHB","Sterna dougallii"
"205","NY","S1B","Sterna dougallii"
"206","RI","SHB,S1N","Sterna dougallii"
"207","IUCN","LC - Least concern","Sterna dougallii"
"208","USA","N2N,N3B","Sterna dougallii"
"209","CT","S1B","Egretta caerulea"
"210","ME","S1B","Egretta caerulea"
"211","MA","S1B,S3N","Egretta caerulea"
"212","NH","N5B,N5N","Egretta caerulea"
"213","NY","S2","Egretta caerulea"
"214","RI","S1B,S2N","Egretta caerulea"
"215","IUCN","LC - Least concern","Egretta caerulea"
"216","USA","N5B,N5N","Egretta caerulea"
"217","ME","S3S4N","Ardenna grisea"
"218","MA","S5N","Ardenna grisea"
"219","NH","N5N","Ardenna grisea"
"220","NY","N5N","Ardenna grisea"
"221","RI","N5N","Ardenna grisea"
"222","IUCN","NT - Near threatened","Ardenna grisea"
"223","USA","N5N","Ardenna grisea"
"224","ME","S3S4N","Fulmarus glacialis"
"225","MA","S4N","Fulmarus glacialis"
"226","NH","N4N,N5B","Fulmarus glacialis"
"227","RI","N4N,N5B","Fulmarus glacialis"
"228","IUCN","LC - Least concern","Fulmarus glacialis"
"229","USA","N4N,N5B","Fulmarus glacialis"
"230","ME","S2B","Fratercula arctica"
"231","MA","S2N","Fratercula arctica"
"232","NY","N1B","Fratercula arctica"
"233","IUCN","LC - Least concern","Fratercula arctica"
"234","USA","N1B","Fratercula arctica"
"235","ME","NNA","Catharacta skua"
"236","MA","S1N","Catharacta skua"
"237","NY","NNA","Catharacta skua"
"238","RI","NNA","Catharacta skua"
"239","IUCN","LC - Least concern","Catharacta skua"
"240","USA","NNA","Catharacta skua"
"241","ME","S5N","Ardenna gravis"
"242","MA","S5N","Ardenna gravis"
"243","NH","N5N","Ardenna gravis"
"244","NY","N5N","Ardenna gravis"
"245","RI","N5N","Ardenna gravis"
"246","IUCN","LC - Least concern","Ardenna gravis"
"247","USA","N5N","Ardenna gravis"
"248","ME","S1N","Alle alle"
"249","MA","S3N","Alle alle"
"250","NH","N2B","Alle alle"
"251","NY","N2B","Alle alle"
"252","RI","N2B","Alle alle"
"253","IUCN","LC - Least concern","Alle alle"
"254","USA","N2B","Alle alle"
"255","ME","S2B","Alca torda"
"256","MA","S4N","Alca torda"
"257","NH","N1B","Alca torda"
"258","NY","N1B","Alca torda"
"259","RI","N1B","Alca torda"
"260","IUCN","NT - Near threatened","Alca torda"
"261","USA","N1B","Alca torda"
"262","IUCN","LC - Least concern","Onychoprion fuscatus"
"263","USA","NNR","Onychoprion fuscatus"
"264","CT","N5B,N5N","Calcarius lapponicus"
"265","ME","S2S3N","Calcarius lapponicus"
"266","MA","S4N","Calcarius lapponicus"
"267","NH","N5B,N5N","Calcarius lapponicus"
