iucn_sid,sciname,population,category,common_name
198650,Remora australis,NA,LC,Whalesucker
155068,Remora brachyptera,NA,LC,Spearfish Remora
190080,Remora osteochir,NA,LC,Marlin Sucker
198651,Remora remora,NA,LC,Common Remora
16435530,Chaetodipterus faber,NA,LC,Atlantic Spadefish
198652,Epigonus denticulatus,NA,LC,Pencil Cardinal
15601962,Epigonus pandionis,NA,LC,Bigeye
15522054,Enchelyopus cimbrius,NA,LC,Fourbeard Rockling
198775,Coelorinchus caelorhincus,NA,LC,Hollowsnout Grenadier
18125776,Coryphaenoides armatus,NA,LC,Abyssal Grenadier
198594,Coryphaenoides guentheri,NA,LC,Günther's Grenadier
15522140,Coryphaenoides leptolepis,NA,LC,Ghostly Grenadier
198595,Coryphaenoides mediterraneus,NA,LC,Mediterranean Grenadier
15522149,Coryphaenoides rupestris,NA,CR,Roundnose Grenadier
198596,Hymenocephalus italicus,NA,LC,Glasshead Grenadier
155265,Malacocephalus occidentalis,NA,LC,American Straptail Grenadier
198597,Nezumia aequalis,NA,LC,Common Atlantic Grenadier
198598,Nezumia sclerorhynchus,NA,LC,Roughtip Grenadier
15522213,Melanonus zugmayeri,NA,LC,Arrowtail
16466377,Merluccius albidus,NA,LC,Offshore Hake
16466393,Merluccius bilinearis,NA,NT,Silver Hake
190385,Antimora rostrata,NA,LC,Flat-nose Codling
190069,Gadella imberbis,NA,LC,Beardless Codling
190091,Physiculus fulvus,NA,LC,Metallic Codling
47145877,Urophycis regia,NA,LC,Spotted Codling
16781113,Fistularia petimba,NA,LC,Red Cornetfish
16781124,Fistularia tabacaria,NA,LC,Blue-spotted Cornetfish
19922686,Gasterosteus wheatlandi,NA,LC,Blackspotted Stickleback
20665551,Diplospinus multistriatus,NA,LC,Striped Escolar
16509126,Gempylus serpens,NA,LC,Snake Mackerel
190287,Lepidocybium flavobrunneum,NA,LC,Escolar
16509242,Nealotus tripes,NA,LC,Black Snake Mackerel
18158583,Nesiarchus nasutus,NA,LC,Black Gemfish
16509297,Promethichthys prometheus,NA,LC,Roudi Escolar
190432,Ruvettus pretiosus,NA,LC,Oilfish
186005,Gobiesox strumosus,NA,LC,Skilletfish
186012,Gobiosoma bosc,NA,LC,Naked Goby
186010,Gobiosoma ginsburgi,NA,LC,Seaboard Goby
192937,Orthopristis chrysoptera,NA,LC,Pigfish
