"","year","code","category","sciname"
"1030","2015","LC","Least Concern","Einara edentula"
"1031","2015","LC","Least Concern","Einara macrolepis"
"1032","2015","LC","Least Concern","Narcetes stomias"
"1033","2015","LC","Least Concern","Photostylus pycnopterus"
"1034","2015","LC","Least Concern","Rouleina attrita"
"1035","2015","LC","Least Concern","Rouleina maderensis"
"1036","2015","LC","Least Concern","Talismania antillarum"
"1037","2015","LC","Least Concern","Xenodermichthys copei"
"1038","2015","LC","Least Concern","Argentina striata"
"1039","2015","LC","Least Concern","Bathylagichthys greyae"
"1040","2015","LC","Least Concern","Dolicholagus longirostris"
"1041","2015","LC","Least Concern","Melanolagus bericoides"
"1042","2015","DD","Data Deficient","Nansenia longicauda"
"1043","2015","DD","Data Deficient","Nansenia megalopa"
"1044","2015","LC","Least Concern","Dolichopteroides binocularis"
"1045","2015","LC","Least Concern","Opisthoproctus soleatus"
"1046","2015","LC","Least Concern","Rhynchohyalus natalensis"
"1047","2015","LC","Least Concern","Maulisia mauli"
"1048","2015","LC","Least Concern","Maulisia microlepis"
"1049","2015","LC","Least Concern","Mentodus facilis"
"1050","2015","LC","Least Concern","Normichthys operosus"
"1051","2015","LC","Least Concern","Bembrops gobioides"
"1052","2003","DD","Data Deficient","Polyprion americanus"
"1053","2015","LC","Least Concern","Priacanthus arenatus"
"1054","2016","LC","Least Concern","Cookeolus japonicus"
"1055","2014","LC","Least Concern","Sphoeroides pachygaster"
"1056","2014","LC","Least Concern","Lagocephalus laevigatus"
"1057","2014","LC","Least Concern","Lagocephalus lagocephalus"
"1058","2014","LC","Least Concern","Sphoeroides spengleri"
"1059","2014","LC","Least Concern","Sphoeroides testudineus"
"1060","2015","LC","Least Concern","Rachycentron canadum"
"1061","2008","CR","Critically Endangered","Eretmochelys imbricata"
"1062","1996","CR","Critically Endangered","Eretmochelys imbricata"
"1063","1994","E","Endangered","Eretmochelys imbricata"
"1064","1990","E","Endangered","Eretmochelys imbricata"
"1065","1988","E","Endangered","Eretmochelys imbricata"
"1066","1986","E","Endangered","Eretmochelys imbricata"
"1067","1982","E","Endangered","Eretmochelys imbricata"
"1068","2013","VU","Vulnerable","Dermochelys coriacea"
"1069","2000","CR","Critically Endangered","Dermochelys coriacea"
"1070","1996","EN","Endangered","Dermochelys coriacea"
"1071","1994","E","Endangered","Dermochelys coriacea"
"1072","1990","E","Endangered","Dermochelys coriacea"
"1073","1988","E","Endangered","Dermochelys coriacea"
"1074","1986","E","Endangered","Dermochelys coriacea"
"1075","1982","E","Endangered","Dermochelys coriacea"
"1076","2004","EN","Endangered","Chelonia mydas"
"1077","1996","EN","Endangered","Chelonia mydas"
"1078","1994","E","Endangered","Chelonia mydas"
"1079","1990","E","Endangered","Chelonia mydas"
"1080","1988","E","Endangered","Chelonia mydas"
"1081","1986","E","Endangered","Chelonia mydas"
"1082","1982","E","Endangered","Chelonia mydas"
"1083","2008","VU","Vulnerable","Lepidochelys olivacea"
"1084","1996","EN","Endangered","Lepidochelys olivacea"
"1085","1994","E","Endangered","Lepidochelys olivacea"
"1086","1990","E","Endangered","Lepidochelys olivacea"
"1087","1988","E","Endangered","Lepidochelys olivacea"
"1088","1986","E","Endangered","Lepidochelys olivacea"
"1089","1982","E","Endangered","Lepidochelys olivacea"
"1090","2017","VU","Vulnerable","Caretta caretta"
"1091","2015","VU","Vulnerable","Caretta caretta"
"1092","1996","EN","Endangered","Caretta caretta"
"1093","1994","V","Vulnerable","Caretta caretta"
"1094","1990","V","Vulnerable","Caretta caretta"
"1095","1988","V","Vulnerable","Caretta caretta"
"1096","1986","V","Vulnerable","Caretta caretta"
"1097","1982","V","Vulnerable","Caretta caretta"
"1098","2015","LC","Least Concern","Cyema atrum"
"1099","2015","LC","Least Concern","Eurypharynx pelecanoides"
"1100","2015","LC","Least Concern","Bairdiella chrysoura"
"1101","2015","LC","Least Concern","Cynoscion nebulosus"
"1102","2015","LC","Least Concern","Menticirrhus americanus"
"1103","2015","LC","Least Concern","Pogonias cromis"
"1104","2015","LC","Least Concern","Scombrolabrax heterolepis"
"1105","2014","LC","Least Concern","Pagrus pagrus"
"1106","1996","EN","Endangered","Pagrus pagrus"
"1107","2014","LC","Least Concern","Archosargus probatocephalus"
"1108","2014","LC","Least Concern","Calamus bajonado"
"1109","2014","LC","Least Concern","Archosargus rhomboidalis"
"1110","2013","DD","Data Deficient","Molpadiodemas atlanticus"
"1111","2013","DD","Data Deficient","Paelopatides gigantea"
"1112","2013","LC","Least Concern","Mesothuria lactea"
"1113","2010","LC","Least Concern","Zostera marina"
"1114","2015","LC","Least Concern","Anthias nicholsi"
"1115","2015","LC","Least Concern","Baldwinella aureorubens"
"1116","2015","LC","Least Concern","Sphyraena barracuda"
"1117","2015","LC","Least Concern","Sphyraena borealis"
"1118","2015","LC","Least Concern","Sphyraena guachancho"
"1119","2015","LC","Least Concern","Argyropelecus aculeatus"
"1120","2015","LC","Least Concern","Argyropelecus affinis"
"1121","2015","LC","Least Concern","Argyropelecus gigas"
"1122","2010","LC","Least Concern","Argyropelecus hemigymnus"
"1123","2015","LC","Least Concern","Argyropelecus sladeni"
"1124","2015","LC","Least Concern","Aristostomias lunifer"
"1125","2015","LC","Least Concern","Aristostomias polydactylus"
"1126","2015","LC","Least Concern","Aristostomias tittmanni"
"1127","2015","DD","Data Deficient","Astronesthes gemmifer"
"1128","2015","LC","Least Concern","Astronesthes leucopogon"
"1129","2015","LC","Least Concern","Astronesthes niger"
"1130","2010","LC","Least Concern","Astronesthes richardsoni"
"1131","2015","LC","Least Concern","Bathophilus brevis"
"1132","2015","LC","Least Concern","Bathophilus digitatus"
"1133","2015","LC","Least Concern","Bathophilus metallicus"
"1134","2015","LC","Least Concern","Bathophilus vaillanti"
"1135","2015","LC","Least Concern","Bonapartia pedaliota"
"1136","2015","LC","Least Concern","Borostomias antarcticus"
"1137","2015","LC","Least Concern","Chauliodus danae"
"1138","2015","LC","Least Concern","Chauliodus sloani"
"1139","2015","LC","Least Concern","Cyclothone acclinidens"
"1140","2015","LC","Least Concern","Cyclothone alba"
"1141","2015","LC","Least Concern","Cyclothone braueri"
"1142","2015","LC","Least Concern","Cyclothone microdon"
"1143","2015","LC","Least Concern","Cyclothone pallida"
"1144","2015","LC","Least Concern","Cyclothone pseudopallida"
"1145","2015","LC","Least Concern","Echiostoma barbatum"
"1146","2015","LC","Least Concern","Eustomias bibulbosus"
"1147","2015","LC","Least Concern","Eustomias bigelowi"
"1148","2015","LC","Least Concern","Eustomias macrurus"
"1149","2015","LC","Least Concern","Eustomias obscurus"
"1150","2015","DD","Data Deficient","Eustomias polyaster"
"1151","2015","LC","Least Concern","Eustomias satterleei"
"1152","2015","LC","Least Concern","Eustomias simplex"
"1153","2015","LC","Least Concern","Flagellostomias boureei"
"1154","2010","LC","Least Concern","Peprilus paru"
"1155","2012","LC","Least Concern","Acanthurus chirurgus"
"1156","2012","LC","Least Concern","Acanthurus coeruleus"
"1157","2015","LC","Least Concern","Lontra canadensis"
"1158","2008","LC","Least Concern","Lontra canadensis"
"1159","2004","LC","Least Concern","Lontra canadensis"
"1160","2000","LR/lc","Lower Risk/least concern","Lontra canadensis"
"1161","2015","LC","Least Concern","Tetragonurus atlanticus"
"1162","2015","LC","Least Concern","Tetragonurus cuvieri"
"1163","2011","NT","Near Threatened","Thunnus alalunga"
"1164","1996","DD","Data Deficient","Thunnus alalunga"
"1165","2011","NT","Near Threatened","Thunnus albacares"
"1166","1996","LR/lc","Lower Risk/least concern","Thunnus albacares"
"1167","2011","VU","Vulnerable","Thunnus obesus"
"1168","1996","VU","Vulnerable","Thunnus obesus"
"1169","2011","EN","Endangered","Thunnus thynnus"
"1170","1996","DD","Data Deficient","Thunnus thynnus"
"1171","2011","VU","Vulnerable","Makaira nigricans"
"1172","2011","LC","Least Concern","Xiphias gladius"
"1173","1996","DD","Data Deficient","Xiphias gladius"
"1174","2011","LC","Least Concern","Sarda sarda"
"1175","2010","LC","Least Concern","Sarda sarda"
"1176","2011","LC","Least Concern","Thunnus atlanticus"
"1177","2010","LC","Least Concern","Thunnus atlanticus"
"1178","2011","LC","Least Concern","Scomberomorus cavalla"
"1179","2011","LC","Least Concern","Scomberomorus maculatus"
"1180","2011","LC","Least Concern","Euthynnus alletteratus"
"1181","2011","VU","Vulnerable","Kajikia albida"
"1182","2011","LC","Least Concern","Scomberomorus regalis"
"1183","2011","DD","Data Deficient","Tetrapturus georgii"
"1184","2011","LC","Least Concern","Istiophorus platypterus"
"1185","2011","LC","Least Concern","Auxis thazard"
"1186","2011","LC","Least Concern","Auxis rochei"
"1187","2011","LC","Least Concern","Tetrapturus pfluegeri"
"1188","2011","LC","Least Concern","Katsuwonus pelamis"
"1189","2015","LC","Least Concern","Astroscopus guttatus"
"1190","2012","LC","Least Concern","Sparisoma rubripinne"
"1191","2010","LC","Least Concern","Sparisoma rubripinne"
"1192","2015","LC","Least Concern","Melanostigma atlanticum"
"1193","2015","LC","Least Concern","Pachycara bulbiceps"
"1194","2016","LC","Least Concern","Charadrius semipalmatus"
"1195","2012","LC","Least Concern","Charadrius semipalmatus"
"1196","2009","LC","Least Concern","Charadrius semipalmatus"
"1197","2008","LC","Least Concern","Charadrius semipalmatus"
"1198","2004","LC","Least Concern","Charadrius semipalmatus"
"1199","2000","LR/lc","Lower Risk/least concern","Charadrius semipalmatus"
"1200","1994","LR/lc","Lower Risk/least concern","Charadrius semipalmatus"
"1201","1988","LR/lc","Lower Risk/least concern","Charadrius semipalmatus"
"1202","2016","LC","Least Concern","Fulica americana"
"1203","2014","LC","Least Concern","Fulica americana"
"1204","2012","LC","Least Concern","Fulica americana"
"1205","2016","LC","Least Concern","Charadrius vociferus"
"1206","2012","LC","Least Concern","Charadrius vociferus"
"1207","2009","LC","Least Concern","Charadrius vociferus"
"1208","2008","LC","Least Concern","Charadrius vociferus"
"1209","2004","LC","Least Concern","Charadrius vociferus"
"1210","2000","LR/lc","Lower Risk/least concern","Charadrius vociferus"
"1211","1994","LR/lc","Lower Risk/least concern","Charadrius vociferus"
"1212","1988","LR/lc","Lower Risk/least concern","Charadrius vociferus"
"1213","2018","LC","Least Concern","Chlidonias niger"
"1214","2016","LC","Least Concern","Chlidonias niger"
"1215","2012","LC","Least Concern","Chlidonias niger"
"1216","2009","LC","Least Concern","Chlidonias niger"
"1217","2008","LC","Least Concern","Chlidonias niger"
"1218","2004","LC","Least Concern","Chlidonias niger"
"1219","2000","LR/lc","Lower Risk/least concern","Chlidonias niger"
"1220","1994","LR/lc","Lower Risk/least concern","Chlidonias niger"
"1221","1988","LR/lc","Lower Risk/least concern","Chlidonias niger"
"1222","2016","LC","Least Concern","Chordeiles minor"
"1223","2012","LC","Least Concern","Chordeiles minor"
"1224","2009","LC","Least Concern","Chordeiles minor"
"1225","2008","LC","Least Concern","Chordeiles minor"
"1226","2004","LC","Least Concern","Chordeiles minor"
"1227","2000","LR/lc","Lower Risk/least concern","Chordeiles minor"
"1228","1994","LR/lc","Lower Risk/least concern","Chordeiles minor"
"1229","1988","LR/lc","Lower Risk/least concern","Chordeiles minor"
"1230","2018","LC","Least Concern","Hydrocoloeus minutus"
"1231","2016","LC","Least Concern","Hydrocoloeus minutus"
"1232","2012","LC","Least Concern","Hydrocoloeus minutus"
"1233","2009","LC","Least Concern","Hydrocoloeus minutus"
"1234","2008","LC","Least Concern","Hydrocoloeus minutus"
"1235","2004","LC","Least Concern","Hydrocoloeus minutus"
"1236","2000","LR/lc","Lower Risk/least concern","Hydrocoloeus minutus"
"1237","1994","LR/lc","Lower Risk/least concern","Hydrocoloeus minutus"
"1238","1988","LR/lc","Lower Risk/least concern","Hydrocoloeus minutus"
"1239","2016","LC","Least Concern","Egretta thula"
"1240","2012","LC","Least Concern","Egretta thula"
"1241","2009","LC","Least Concern","Egretta thula"
"1242","2008","LC","Least Concern","Egretta thula"
"1243","2004","LC","Least Concern","Egretta thula"
"1244","2000","LR/lc","Lower Risk/least concern","Egretta thula"
"1245","1994","LR/lc","Lower Risk/least concern","Egretta thula"
"1246","1988","LR/lc","Lower Risk/least concern","Egretta thula"
"1247","2016","LC","Least Concern","Nycticorax nycticorax"
"1248","2012","LC","Least Concern","Nycticorax nycticorax"
"1249","2009","LC","Least Concern","Nycticorax nycticorax"
"1250","2008","LC","Least Concern","Nycticorax nycticorax"
"1251","2004","LC","Least Concern","Nycticorax nycticorax"
"1252","2000","LR/lc","Lower Risk/least concern","Nycticorax nycticorax"
"1253","1994","LR/lc","Lower Risk/least concern","Nycticorax nycticorax"
"1254","1988","LR/lc","Lower Risk/least concern","Nycticorax nycticorax"
"1255","2016","LC","Least Concern","Falco columbarius"
"1256","2015","LC","Least Concern","Falco columbarius"
"1257","2012","LC","Least Concern","Falco columbarius"
"1258","2009","LC","Least Concern","Falco columbarius"
"1259","2008","LC","Least Concern","Falco columbarius"
"1260","2004","LC","Least Concern","Falco columbarius"
"1261","2000","LR/lc","Lower Risk/least concern","Falco columbarius"
"1262","1994","LR/lc","Lower Risk/least concern","Falco columbarius"
"1263","1988","LR/lc","Lower Risk/least concern","Falco columbarius"
"1264","2016","LC","Least Concern","Falco peregrinus"
"1265","2015","LC","Least Concern","Falco peregrinus"
"1266","2014","LC","Least Concern","Falco peregrinus"
"1267","2018","LC","Least Concern","Histrionicus histrionicus"
"1268","2016","LC","Least Concern","Histrionicus histrionicus"
"1269","2012","LC","Least Concern","Histrionicus histrionicus"
"1270","2009","LC","Least Concern","Histrionicus histrionicus"
"1271","2008","LC","Least Concern","Histrionicus histrionicus"
"1272","2004","LC","Least Concern","Histrionicus histrionicus"
"1273","2000","LR/lc","Lower Risk/least concern","Histrionicus histrionicus"
"1274","1994","LR/lc","Lower Risk/least concern","Histrionicus histrionicus"
"1275","1988","LR/lc","Lower Risk/least concern","Histrionicus histrionicus"
"1276","2018","LC","Least Concern","Hydrobates castro"
"1277","2018","VU","Vulnerable","Hydrobates leucorhous"
"1278","2016","LC","Least Concern","Ixobrychus exilis"
"1279","2012","LC","Least Concern","Ixobrychus exilis"
"1280","2009","LC","Least Concern","Ixobrychus exilis"
"1281","2008","LC","Least Concern","Ixobrychus exilis"
"1282","2004","LC","Least Concern","Ixobrychus exilis"
"1283","2000","LR/lc","Lower Risk/least concern","Ixobrychus exilis"
"1284","1994","LR/lc","Lower Risk/least concern","Ixobrychus exilis"
"1285","1988","LR/lc","Lower Risk/least concern","Ixobrychus exilis"
"1286","2018","LC","Least Concern","Ammospiza maritima"
"1287","2016","LC","Least Concern","Ammospiza maritima"
"1288","2015","LC","Least Concern","Ammospiza maritima"
"1289","2012","LC","Least Concern","Ammospiza maritima"
"1290","2009","LC","Least Concern","Ammospiza maritima"
"1291","2008","LC","Least Concern","Ammospiza maritima"
"1292","2004","LC","Least Concern","Ammospiza maritima"
"1293","2000","LR/lc","Lower Risk/least concern","Ammospiza maritima"
"1294","1994","LR/lc","Lower Risk/least concern","Ammospiza maritima"
"1295","1988","LR/lc","Lower Risk/least concern","Ammospiza maritima"
"1296","2018","LC","Least Concern","Ammospiza nelsoni"
"1297","2016","LC","Least Concern","Ammospiza nelsoni"
"1298","2012","LC","Least Concern","Ammospiza nelsoni"
"1299","2009","LC","Least Concern","Ammospiza nelsoni"
"1300","2008","LC","Least Concern","Ammospiza nelsoni"
"1301","2004","LC","Least Concern","Ammospiza nelsoni"
"1302","2000","LR/lc","Lower Risk/least concern","Ammospiza nelsoni"
"1303","1994","NR","Not Recognized","Ammospiza nelsoni"
"1304","1988","NR","Not Recognized","Ammospiza nelsoni"
"1305","2016","LC","Least Concern","Mareca americana"
"1306","2012","LC","Least Concern","Mareca americana"
"1307","2009","LC","Least Concern","Mareca americana"
"1308","2008","LC","Least Concern","Mareca americana"
"1309","2004","LC","Least Concern","Mareca americana"
"1310","2000","LR/lc","Lower Risk/least concern","Mareca americana"
"1311","1994","LR/lc","Lower Risk/least concern","Mareca americana"
"1312","1988","LR/lc","Lower Risk/least concern","Mareca americana"
"1313","2017","LC","Least Concern","Mareca penelope"
"1314","2016","LC","Least Concern","Mareca penelope"
"1315","2012","LC","Least Concern","Mareca penelope"
"1316","2009","LC","Least Concern","Mareca penelope"
"1317","2008","LC","Least Concern","Mareca penelope"
"1318","2004","LC","Least Concern","Mareca penelope"
"1319","2000","LR/lc","Lower Risk/least concern","Mareca penelope"
"1320","1994","LR/lc","Lower Risk/least concern","Mareca penelope"
"1321","1988","LR/lc","Lower Risk/least concern","Mareca penelope"
"1322","2018","LC","Least Concern","Larus atricilla"
"1323","2016","LC","Least Concern","Larus atricilla"
"1324","2012","LC","Least Concern","Larus atricilla"
"1325","2009","LC","Least Concern","Larus atricilla"
"1326","2008","LC","Least Concern","Larus atricilla"
"1327","2004","LC","Least Concern","Larus atricilla"
"1328","2000","LR/lc","Lower Risk/least concern","Larus atricilla"
"1329","1994","LR/lc","Lower Risk/least concern","Larus atricilla"
"1330","1988","LR/lc","Lower Risk/least concern","Larus atricilla"
"1331","2018","LC","Least Concern","Larus fuscus"
"1332","2016","LC","Least Concern","Larus fuscus"
"1333","2012","LC","Least Concern","Larus fuscus"
"1334","2009","LC","Least Concern","Larus fuscus"
"1335","2008","LC","Least Concern","Larus fuscus"
"1336","2004","LC","Least Concern","Larus fuscus"
"1337","2000","LR/lc","Lower Risk/least concern","Larus fuscus"
"1338","1994","LR/lc","Lower Risk/least concern","Larus fuscus"
"1339","1988","LR/lc","Lower Risk/least concern","Larus fuscus"
"1340","2018","LC","Least Concern","Larus glaucoides"
"1341","2008","NR","Not Recognized","Larus glaucoides"
"1342","2004","NR","Not Recognized","Larus glaucoides"
"1343","2000","NR","Not Recognized","Larus glaucoides"
"1344","1994","LR/lc","Lower Risk/least concern","Larus glaucoides"
"1345","1988","LR/lc","Lower Risk/least concern","Larus glaucoides"
"1346","2018","LC","Least Concern","Larus philadelphia"
"1347","2016","LC","Least Concern","Larus philadelphia"
"1348","2012","LC","Least Concern","Larus philadelphia"
"1349","2009","LC","Least Concern","Larus philadelphia"
"1350","2008","LC","Least Concern","Larus philadelphia"
"1351","2004","LC","Least Concern","Larus philadelphia"
"1352","2000","LR/lc","Lower Risk/least concern","Larus philadelphia"
"1353","1994","LR/lc","Lower Risk/least concern","Larus philadelphia"
"1354","1988","LR/lc","Lower Risk/least concern","Larus philadelphia"
"1355","2018","LC","Least Concern","Larus ridibundus"
"1356","2017","LC","Least Concern","Larus ridibundus"
"1357","2016","LC","Least Concern","Larus ridibundus"
"1358","2012","LC","Least Concern","Larus ridibundus"
"1359","2009","LC","Least Concern","Larus ridibundus"
"1360","2008","LC","Least Concern","Larus ridibundus"
"1361","2004","LC","Least Concern","Larus ridibundus"
"1362","2000","LR/lc","Lower Risk/least concern","Larus ridibundus"
"1363","1994","LR/lc","Lower Risk/least concern","Larus ridibundus"
"1364","1988","LR/lc","Lower Risk/least concern","Larus ridibundus"
"1365","2016","LC","Least Concern","Limnodromus griseus"
"1366","2012","LC","Least Concern","Limnodromus griseus"
"1367","2009","LC","Least Concern","Limnodromus griseus"
"1368","2008","LC","Least Concern","Limnodromus griseus"
"1369","2004","LC","Least Concern","Limnodromus griseus"
"1370","2000","LR/lc","Lower Risk/least concern","Limnodromus griseus"
"1371","1994","LR/lc","Lower Risk/least concern","Limnodromus griseus"
"1372","1988","LR/lc","Lower Risk/least concern","Limnodromus griseus"
"1373","2016","LC","Least Concern","Limosa haemastica"
"1374","2012","LC","Least Concern","Limosa haemastica"
"1375","2009","LC","Least Concern","Limosa haemastica"
"1376","2008","LC","Least Concern","Limosa haemastica"
"1377","2004","LC","Least Concern","Limosa haemastica"
"1378","2000","LR/lc","Lower Risk/least concern","Limosa haemastica"
"1379","1994","LR/nt","Lower Risk/near threatened","Limosa haemastica"
"1380","1988","NT","Near Threatened","Limosa haemastica"
"1381","2016","LC","Least Concern","Lophodytes cucullatus"
"1382","2012","LC","Least Concern","Lophodytes cucullatus"
"1383","2009","LC","Least Concern","Lophodytes cucullatus"
"1384","2008","LC","Least Concern","Lophodytes cucullatus"
"1385","2004","LC","Least Concern","Lophodytes cucullatus"
"1386","2000","LR/lc","Lower Risk/least concern","Lophodytes cucullatus"
"1387","1994","LR/lc","Lower Risk/least concern","Lophodytes cucullatus"
"1388","1988","LR/lc","Lower Risk/least concern","Lophodytes cucullatus"
"1389","2018","LC","Least Concern","Mergus merganser"
"1390","2016","LC","Least Concern","Mergus merganser"
"1391","2012","LC","Least Concern","Mergus merganser"
"1392","2009","LC","Least Concern","Mergus merganser"
"1393","2008","LC","Least Concern","Mergus merganser"
"1394","2004","LC","Least Concern","Mergus merganser"
"1395","2000","LR/lc","Lower Risk/least concern","Mergus merganser"
"1396","1994","LR/lc","Lower Risk/least concern","Mergus merganser"
"1397","1988","LR/lc","Lower Risk/least concern","Mergus merganser"
"1398","2016","LC","Least Concern","Mycteria americana"
"1399","2012","LC","Least Concern","Mycteria americana"
"1400","2009","LC","Least Concern","Mycteria americana"
"1401","2008","LC","Least Concern","Mycteria americana"
"1402","2004","LC","Least Concern","Mycteria americana"
"1403","2000","LR/lc","Lower Risk/least concern","Mycteria americana"
"1404","1994","LR/lc","Lower Risk/least concern","Mycteria americana"
"1405","1988","LR/lc","Lower Risk/least concern","Mycteria americana"
"1406","2018","LC","Least Concern","Phalacrocorax carbo"
"1407","2017","LC","Least Concern","Phalacrocorax carbo"
"1408","2016","LC","Least Concern","Phalacrocorax carbo"
"1409","2012","LC","Least Concern","Phalacrocorax carbo"
"1410","2009","LC","Least Concern","Phalacrocorax carbo"
"1411","2008","LC","Least Concern","Phalacrocorax carbo"
"1412","2004","LC","Least Concern","Phalacrocorax carbo"
"1413","2000","LR/lc","Lower Risk/least concern","Phalacrocorax carbo"
"1414","1994","LR/lc","Lower Risk/least concern","Phalacrocorax carbo"
"1415","1988","LR/lc","Lower Risk/least concern","Phalacrocorax carbo"
"1416","2016","LC","Least Concern","Numenius phaeopus"
"1417","2012","LC","Least Concern","Numenius phaeopus"
"1418","2009","LC","Least Concern","Numenius phaeopus"
"1419","2008","LC","Least Concern","Numenius phaeopus"
"1420","2004","LC","Least Concern","Numenius phaeopus"
"1421","2000","LR/lc","Lower Risk/least concern","Numenius phaeopus"
"1422","1994","LR/lc","Lower Risk/least concern","Numenius phaeopus"
"1423","1988","LR/lc","Lower Risk/least concern","Numenius phaeopus"
"1424","2018","LC","Least Concern","Nyctanassa violacea"
"1425","2016","LC","Least Concern","Nyctanassa violacea"
"1426","2012","LC","Least Concern","Nyctanassa violacea"
"1427","2009","LC","Least Concern","Nyctanassa violacea"
"1428","2008","LC","Least Concern","Nyctanassa violacea"
"1429","2004","LC","Least Concern","Nyctanassa violacea"
"1430","2000","LR/lc","Lower Risk/least concern","Nyctanassa violacea"
"1431","1994","LR/lc","Lower Risk/least concern","Nyctanassa violacea"
"1432","1988","LR/lc","Lower Risk/least concern","Nyctanassa violacea"
"1433","2016","LC","Least Concern","Pandion haliaetus"
"1434","2015","LC","Least Concern","Pandion haliaetus"
"1435","2013","LC","Least Concern","Pandion haliaetus"
"1436","2012","LC","Least Concern","Pandion haliaetus"
"1437","2009","LC","Least Concern","Pandion haliaetus"
"1438","2008","LC","Least Concern","Pandion haliaetus"
"1439","2004","LC","Least Concern","Pandion haliaetus"
"1440","2000","LR/lc","Lower Risk/least concern","Pandion haliaetus"
"1441","1994","LR/lc","Lower Risk/least concern","Pandion haliaetus"
"1442","1988","LR/lc","Lower Risk/least concern","Pandion haliaetus"
"1443","2016","LC","Least Concern","Pluvialis squatarola"
"1444","2012","LC","Least Concern","Pluvialis squatarola"
"1445","2011","LC","Least Concern","Pluvialis squatarola"
"1446","2009","LC","Least Concern","Pluvialis squatarola"
"1447","2008","LC","Least Concern","Pluvialis squatarola"
"1448","2004","LC","Least Concern","Pluvialis squatarola"
"1449","2000","LR/lc","Lower Risk/least concern","Pluvialis squatarola"
"1450","1994","LR/lc","Lower Risk/least concern","Pluvialis squatarola"
"1451","1988","LR/lc","Lower Risk/least concern","Pluvialis squatarola"
"1452","2016","EX","Extinct","Pinguinus impennis"
"1453","2012","EX","Extinct","Pinguinus impennis"
"1454","2008","EX","Extinct","Pinguinus impennis"
"1455","2004","EX","Extinct","Pinguinus impennis"
"1456","2000","EX","Extinct","Pinguinus impennis"
"1457","1994","EX","Extinct","Pinguinus impennis"
"1458","1988","EX","Extinct","Pinguinus impennis"
"1459","2016","LC","Least Concern","Pluvialis dominica"
"1460","2012","LC","Least Concern","Pluvialis dominica"
"1461","2009","LC","Least Concern","Pluvialis dominica"
"1462","2008","LC","Least Concern","Pluvialis dominica"
"1463","2004","LC","Least Concern","Pluvialis dominica"
"1464","2000","LR/lc","Lower Risk/least concern","Pluvialis dominica"
"1465","1994","LR/lc","Lower Risk/least concern","Pluvialis dominica"
"1466","1988","LR/lc","Lower Risk/least concern","Pluvialis dominica"
"1467","2018","LC","Least Concern","Rallus crepitans"
"1468","2016","LC","Least Concern","Rallus crepitans"
"1469","2014","LC","Least Concern","Rallus crepitans"
"1470","2018","LC","Least Concern","Somateria spectabilis"
"1471","2016","LC","Least Concern","Somateria spectabilis"
"1472","2012","LC","Least Concern","Somateria spectabilis"
"1473","2009","LC","Least Concern","Somateria spectabilis"
"1474","2008","LC","Least Concern","Somateria spectabilis"
"1475","2004","LC","Least Concern","Somateria spectabilis"
"1476","2000","LR/lc","Lower Risk/least concern","Somateria spectabilis"
"1477","1994","LR/lc","Lower Risk/least concern","Somateria spectabilis"
"1478","1988","LR/lc","Lower Risk/least concern","Somateria spectabilis"
"1479","2016","LC","Least Concern","Spatula clypeata"
"1480","2012","LC","Least Concern","Spatula clypeata"
"1481","2009","LC","Least Concern","Spatula clypeata"
"1482","2008","LC","Least Concern","Spatula clypeata"
"1483","2004","LC","Least Concern","Spatula clypeata"
"1484","2000","LR/lc","Lower Risk/least concern","Spatula clypeata"
"1485","1994","LR/lc","Lower Risk/least concern","Spatula clypeata"
"1486","1988","LR/lc","Lower Risk/least concern","Spatula clypeata"
"1487","2016","LC","Least Concern","Spatula discors"
"1488","2012","LC","Least Concern","Spatula discors"
"1489","2009","LC","Least Concern","Spatula discors"
"1490","2008","LC","Least Concern","Spatula discors"
"1491","2004","LC","Least Concern","Spatula discors"
"1492","2000","LR/lc","Lower Risk/least concern","Spatula discors"
"1493","1994","LR/lc","Lower Risk/least concern","Spatula discors"
"1494","1988","LR/lc","Lower Risk/least concern","Spatula discors"
"1495","2018","LC","Least Concern","Thalasseus sandvicensis"
"1496","2016","LC","Least Concern","Thalasseus sandvicensis"
"1497","2012","LC","Least Concern","Thalasseus sandvicensis"
"1498","2009","LC","Least Concern","Thalasseus sandvicensis"
"1499","2008","LC","Least Concern","Thalasseus sandvicensis"
"1500","2004","LC","Least Concern","Thalasseus sandvicensis"
"1501","2000","LR/lc","Lower Risk/least concern","Thalasseus sandvicensis"
"1502","1994","LR/lc","Lower Risk/least concern","Thalasseus sandvicensis"
"1503","1988","LR/lc","Lower Risk/least concern","Thalasseus sandvicensis"
"1504","2016","LC","Least Concern","Tringa semipalmata"
"1505","2012","LC","Least Concern","Tringa semipalmata"
"1506","2009","LC","Least Concern","Tringa semipalmata"
"1507","2008","LC","Least Concern","Tringa semipalmata"
"1508","2004","LC","Least Concern","Tringa semipalmata"
"1509","2000","LR/lc","Lower Risk/least concern","Tringa semipalmata"
"1510","1994","LR/lc","Lower Risk/least concern","Tringa semipalmata"
"1511","1988","LR/lc","Lower Risk/least concern","Tringa semipalmata"
"1512","2016","LC","Least Concern","Tringa melanoleuca"
"1513","2012","LC","Least Concern","Tringa melanoleuca"
"1514","2009","LC","Least Concern","Tringa melanoleuca"
"1515","2008","LC","Least Concern","Tringa melanoleuca"
