"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"55",190276,190276,"Cheilopogon melanurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"56",13487700,13487700,"Cheilopogon nigricans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"57",190163,190163,"Exocoetus obtusirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"58",198566,198566,"Exocoetus volitans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"59",190292,190292,"Hirundichthys speculiger",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"60",68308810,68308810,"Hirundichthys volador",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"61",20885921,20885921,"Prognichthys glaphyrae",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","200 m +",FALSE
"62",13486514,13486514,"Ablennes hians",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"63",155259,155259,"Strongylura marina",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beloniformes.dbf","< 200 m",FALSE
"64",16449531,16449531,"Gephyroberyx darwinii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","deep oceanic",FALSE
"65",198579,198579,"Hoplostethus mediterraneus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","deep oceanic",FALSE
"66",190137,190137,"Diretmichthys parini",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","200 m +",FALSE
"67",18124015,18124015,"Diretmus argenteus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","200 m +",FALSE
"68",198578,198578,"Beryx decadactylus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","deep oceanic",FALSE
"69",16425354,16425354,"Beryx splendens",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","deep oceanic",FALSE
"70",18123960,18123960,"Anoplogaster cornuta",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","200 m +",FALSE
"71",16443217,16443217,"Ostichthys trachypoma",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/beryciformes.dbf","unknown",FALSE
"72",195091,195091,"Brama brama",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/bramidae.dbf","200 m +",FALSE
"73",190330,190330,"Pterycombus brama",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/bramidae.dbf","200 m +",FALSE
"74",190394,190394,"Taractichthys longipinnis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/bramidae.dbf","200 m +",FALSE
"75",165611,165611,"Chaetodon ocellatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"76",165695,165695,"Chaetodon capistratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"77",16506725,16506725,"Foetorepus agassizii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/callionymidae.dbf","< 200 m",FALSE
"78",190066,190066,"Foetorepus goodenbeani",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/callionymidae.dbf","200 m +",FALSE
"79",16407132,16407132,"Antigonia capros",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/caproidae.dbf","200 m +",FALSE
"80",154928,154928,"Antigonia combatia",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/caproidae.dbf","< 200 m",FALSE
"81",155014,155014,"Alectis ciliaris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","200 m +",FALSE
"82",16431725,16431725,"Caranx bartholomaei",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"83",154807,154807,"Caranx crysos",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","200 m +",FALSE
"84",190458,190458,"Caranx hippos",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"85",191829,191829,"Caranx latus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"86",16431737,16431737,"Caranx ruber",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"87",16437187,16437187,"Chloroscombrus chrysurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 20 m",FALSE
"88",190117,190117,"Decapterus macarellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"89",16439848,16439848,"Decapterus punctatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"90",16440027,16440027,"Elagatis bipinnulata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"91",190452,190452,"Naucrates ductor",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
"92",190388,190388,"Selar crumenophthalmus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/carangidae.dbf","< 200 m",FALSE
