"","species","rgn_id"
"398","common_eider_normalized_AEA",8
"399","common_eider_normalized_AEA",9
"400","common_eider_normalized_AEA",10
"401","common_eider_normalized_AEA",11
"402","common_loon_normalized_AEA",1
"403","common_loon_normalized_AEA",2
"404","common_loon_normalized_AEA",3
"405","common_loon_normalized_AEA",4
"406","common_loon_normalized_AEA",6
"407","common_loon_normalized_AEA",7
"408","common_loon_normalized_AEA",8
"409","common_loon_normalized_AEA",9
"410","common_loon_normalized_AEA",10
"411","common_loon_normalized_AEA",11
"412","common_murre_normalized_AEA",1
"413","common_murre_normalized_AEA",2
"414","common_murre_normalized_AEA",3
"415","common_murre_normalized_AEA",4
"416","common_murre_normalized_AEA",6
"417","common_murre_normalized_AEA",7
"418","common_murre_normalized_AEA",8
"419","common_murre_normalized_AEA",9
"420","common_murre_normalized_AEA",10
"421","common_murre_normalized_AEA",11
"422","common_tern_normalized_AEA",1
"423","common_tern_normalized_AEA",2
"424","common_tern_normalized_AEA",3
"425","common_tern_normalized_AEA",4
"426","common_tern_normalized_AEA",6
"427","common_tern_normalized_AEA",7
"428","common_tern_normalized_AEA",8
"429","common_tern_normalized_AEA",9
"430","common_tern_normalized_AEA",10
"431","common_tern_normalized_AEA",11
"432","corys_shearwater_normalized_AEA",1
"433","corys_shearwater_normalized_AEA",2
"434","corys_shearwater_normalized_AEA",3
"435","corys_shearwater_normalized_AEA",4
"436","corys_shearwater_normalized_AEA",7
"437","corys_shearwater_normalized_AEA",8
"438","corys_shearwater_normalized_AEA",11
"439","Cunner",1
"440","Cunner",2
"441","Cunner",3
"442","Cunner",4
"443","Cunner",6
"444","Cunner",7
"445","Cunner",8
"446","Cunner",9
"447","Cunner",10
"448","Cunner",11
"449","Cusk",1
"450","Cusk",2
"451","Cusk",3
"452","Cusk",6
"453","Cusk",7
"454","Cuviers beaked whale",1
"455","Cuviers beaked whale",2
"456","Cuviers beaked whale",4
"457","double_crested_cormorant_normalized_AEA",1
"458","double_crested_cormorant_normalized_AEA",2
"459","double_crested_cormorant_normalized_AEA",3
"460","double_crested_cormorant_normalized_AEA",4
"461","double_crested_cormorant_normalized_AEA",6
"462","double_crested_cormorant_normalized_AEA",7
"463","double_crested_cormorant_normalized_AEA",8
"464","double_crested_cormorant_normalized_AEA",9
"465","double_crested_cormorant_normalized_AEA",10
"466","double_crested_cormorant_normalized_AEA",11
"467","dovekie_normalized_AEA",1
"468","dovekie_normalized_AEA",2
"469","dovekie_normalized_AEA",3
"470","dovekie_normalized_AEA",4
"471","dovekie_normalized_AEA",6
"472","dovekie_normalized_AEA",7
"473","dovekie_normalized_AEA",8
"474","dovekie_normalized_AEA",10
"475","dovekie_normalized_AEA",11
"476","Fin whale",1
"477","Fin whale",2
"478","Fin whale",3
"479","Fin whale",4
"480","Fin whale",6
"481","Fin whale",7
"482","Fin whale",8
"483","Fin whale",9
"484","Fourspot_flounder",1
"485","Fourspot_flounder",2
"486","Fourspot_flounder",3
"487","Fourspot_flounder",4
"488","Fourspot_flounder",6
"489","Fourspot_flounder",7
"490","Fourspot_flounder",8
"491","Fourspot_flounder",9
"492","Fourspot_flounder",10
"493","Fourspot_flounder",11
"494","Gervais beaked whale",1
"495","Gervais beaked whale",2
"496","Gervais beaked whale",4
"497","Goosefish",1
"498","Goosefish",2
"499","Goosefish",3
"500","Goosefish",4
"501","Goosefish",6
"502","Goosefish",7
"503","Goosefish",8
"504","Goosefish",9
"505","Goosefish",10
"506","Goosefish",11
"507","great_black_backed_gull_normalized_AEA",1
"508","great_black_backed_gull_normalized_AEA",2
"509","great_black_backed_gull_normalized_AEA",3
