nmfs_original_species,stock_assessment_species_name,stock_assessment_species_location,stockid,source,stock,rgn_id,rgn_name
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,1,Offshore
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,2,Georges Bank
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,3,Gulf of Maine
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,4,Mid-Atlantic Bight
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,5,Connecticut
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,7,Massachusetts-North
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,8,Massachusetts-South
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,10,New York
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,11,Rhode Island
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Southern New England / Mid-Atlantic,FLWSNEMA,NMFS,SNE/MA Winter Flounder,12,Northeast
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,1,Offshore
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,2,Georges Bank
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,3,Gulf of Maine
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,4,Mid-Atlantic Bight
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,5,Connecticut
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,6,Maine
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,7,Massachusetts-North
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,8,Massachusetts-South
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,9,New Hampshire
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,10,New York
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,11,Rhode Island
"FLOUNDER, WITCH / GRAY SOLE",witch flounder,Northwestern Atlantic Coast,WITGMMA,NMFS,Witch Flounder,12,Northeast
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,2,Georges Bank
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,3,Gulf of Maine
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,6,Maine
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,7,Massachusetts-North
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,8,Massachusetts-South
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,9,New Hampshire
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Cape Cod / Gulf of Maine,YELCCGM,NMFS,CC/GOM Yellowtail Flounder,12,Northeast
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Georges Bank,YELGB,NMFS,GB Yellowtail Flounder,1,Offshore
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Georges Bank,YELGB,NMFS,GB Yellowtail Flounder,2,Georges Bank
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Georges Bank,YELGB,NMFS,GB Yellowtail Flounder,3,Gulf of Maine
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Georges Bank,YELGB,NMFS,GB Yellowtail Flounder,12,Northeast
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,1,Offshore
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,2,Georges Bank
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,4,Mid-Atlantic Bight
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,5,Connecticut
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,8,Massachusetts-South
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,10,New York
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,11,Rhode Island
"FLOUNDER, YELLOWTAIL",yellowtail flounder,Southern New England / Mid-Atlantic,YELSNE,NMFS,SNE/MA Yellowtail Flounder,12,Northeast
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,1,Offshore
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,2,Georges Bank
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,3,Gulf of Maine
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,4,Mid-Atlantic Bight
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,5,Connecticut
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,6,Maine
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,7,Massachusetts-North
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,8,Massachusetts-South
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,9,New Hampshire
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,10,New York
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,11,Rhode Island
"HERRING, ATLANTIC",atlantic herring,Northwestern Atlantic Coast,NA,NMFS,NA,12,Northeast
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,1,Offshore
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,2,Georges Bank
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,3,Gulf of Maine
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,4,Mid-Atlantic Bight
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,6,Maine
"CRAB, RED",red deepsea crab,Northwestern Atlantic,NA,NMFS,NA,7,Massachusetts-North
