"","year","stock","indicator","value"
"162",2011,"Black sea bass - Mid-Atlantic Coast","f_fmsy",0.976000010967255
"163",2011,"Scup - Atlantic Coast","f_fmsy",0.225999996066093
"164",2011,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.697000026702881
"165",2012,"Bluefish - Atlantic Coast","f_fmsy",0.600000023841858
"166",2012,"Black sea bass - Mid-Atlantic Coast","f_fmsy",0.476999998092651
"167",2012,"Scup - Atlantic Coast","f_fmsy",0.19200000166893
"168",2012,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.77700001001358
"169",2013,"Atlantic surfclam - Mid-Atlantic Coast","f_fmsy",0.180000007152557
"170",2013,"Bluefish - Atlantic Coast","f_fmsy",0.510999977588654
"171",2013,"Summer flounder - Mid-Atlantic Coast","f_fmsy",0.921999990940094
"172",2014,"Butterfish - Gulf of Maine / Cape Hatteras","f_fmsy",0.025000000372529
"173",2014,"Bluefish - Atlantic Coast","f_fmsy",0.620999991893768
"174",2014,"Tilefish - Mid-Atlantic Coast","f_fmsy",0.742999970912933
"175",2015,"Bluefish - Atlantic Coast","f_fmsy",0.924000024795532
"176",2015,"Scup - Atlantic Coast","f_fmsy",0.577000021934509
"177",2015,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.16199994087219
"178",2016,"Atlantic surfclam - Mid-Atlantic Coast","f_fmsy",0.294999986886978
"179",2016,"Bluefish - Atlantic Coast","f_fmsy",0.924000024795532
"180",2016,"Summer flounder - Mid-Atlantic Coast","f_fmsy",1.26199996471405
"181",2016,"Tilefish - Mid-Atlantic Coast","f_fmsy",0.742999970912933
"182",2017,"Butterfish - Gulf of Maine / Cape Hatteras","f_fmsy",0.061999998986721
"183",2017,"Ocean quahog - Atlantic Coast","f_fmsy",0.263000011444092
"184",2017,"Scup - Atlantic Coast","f_fmsy",0.632000029087067
"185",2017,"Tilefish - Mid-Atlantic Coast","f_fmsy",0.802999973297119
