year,stock,indicator,value
1982,Swordfish North Atlantic,F/Fmsy,0.640301813
1983,Swordfish North Atlantic,F/Fmsy,0.723310127
1984,Swordfish North Atlantic,F/Fmsy,0.662878794
1985,Swordfish North Atlantic,F/Fmsy,0.756462761
1986,Swordfish North Atlantic,F/Fmsy,1.000623514
1987,Swordfish North Atlantic,F/Fmsy,1.172712509
1988,Swordfish North Atlantic,F/Fmsy,1.241335786
1989,Swordfish North Atlantic,F/Fmsy,1.195866934
1990,Swordfish North Atlantic,F/Fmsy,1.145281263
1991,Swordfish North Atlantic,F/Fmsy,1.123153748
1992,Swordfish North Atlantic,F/Fmsy,1.185302086
1993,Swordfish North Atlantic,F/Fmsy,1.321778589
1994,Swordfish North Atlantic,F/Fmsy,1.298201573
1995,Swordfish North Atlantic,F/Fmsy,1.469899201
1996,Swordfish North Atlantic,F/Fmsy,1.418140622
1997,Swordfish North Atlantic,F/Fmsy,1.27028326
1998,Swordfish North Atlantic,F/Fmsy,1.199516404
1999,Swordfish North Atlantic,F/Fmsy,1.126529637
2000,Swordfish North Atlantic,F/Fmsy,1.090068039
2001,Swordfish North Atlantic,F/Fmsy,0.918550311
2002,Swordfish North Atlantic,F/Fmsy,0.834734687
2003,Swordfish North Atlantic,F/Fmsy,0.922274587
2004,Swordfish North Atlantic,F/Fmsy,0.952905302
2005,Swordfish North Atlantic,F/Fmsy,0.952830078
2006,Swordfish North Atlantic,F/Fmsy,0.860037933
2007,Swordfish North Atlantic,F/Fmsy,0.890419708
2008,Swordfish North Atlantic,F/Fmsy,0.779670988
2009,Swordfish North Atlantic,F/Fmsy,0.825599883
2010,Swordfish North Atlantic,F/Fmsy,0.774786206
2011,Swordfish North Atlantic,F/Fmsy,0.813168683
2012,Swordfish North Atlantic,F/Fmsy,0.886805014
2006,Thorny skate - Gulf of Maine,B/Bmsy,0.127000004053116
2008,Thorny skate - Gulf of Maine,B/Bmsy,0.101999998092651
2009,Thorny skate - Gulf of Maine,B/Bmsy,0.101999998092651
2011,Thorny skate - Gulf of Maine,B/Bmsy,0.0590000003576279
2012,Thorny skate - Gulf of Maine,B/Bmsy,0.0579999983310699
2013,Thorny skate - Gulf of Maine,B/Bmsy,0.0439999997615814
2014,Thorny skate - Gulf of Maine,B/Bmsy,0.028999999165535
2015,Thorny skate - Gulf of Maine,B/Bmsy,0.0309999994933605
2016,Thorny skate - Gulf of Maine,B/Bmsy,0.0410000011324883
2017,Thorny skate - Gulf of Maine,B/Bmsy,0.0410000011324883
2018,Thorny skate - Gulf of Maine,B/Bmsy,0.0419999994337559
2009,Tilefish - Mid-Atlantic Coast,F/Fmsy,0.375
2014,Tilefish - Mid-Atlantic Coast,F/Fmsy,0.742999970912933
2016,Tilefish - Mid-Atlantic Coast,F/Fmsy,0.742999970912933
2017,Tilefish - Mid-Atlantic Coast,F/Fmsy,0.802999973297119
2005,Tilefish - Mid-Atlantic Coast,B/Bmsy,0.720000028610229
2009,Tilefish - Mid-Atlantic Coast,B/Bmsy,1.04499995708466
2014,Tilefish - Mid-Atlantic Coast,B/Bmsy,1.01499998569489
2016,Tilefish - Mid-Atlantic Coast,B/Bmsy,1.01499998569489
2017,Tilefish - Mid-Atlantic Coast,B/Bmsy,0.89300000667572
1981,Weakfish Atlantic Coast,B/Bmsy,2.829354553
1982,Weakfish Atlantic Coast,B/Bmsy,1.915708812
1983,Weakfish Atlantic Coast,B/Bmsy,1.591511936
1984,Weakfish Atlantic Coast,B/Bmsy,1.129776992
1985,Weakfish Atlantic Coast,B/Bmsy,1.237842617
1986,Weakfish Atlantic Coast,B/Bmsy,1.345908242
1987,Weakfish Atlantic Coast,B/Bmsy,1.208370174
1988,Weakfish Atlantic Coast,B/Bmsy,0.973573043
1989,Weakfish Atlantic Coast,B/Bmsy,0.581589547
1990,Weakfish Atlantic Coast,B/Bmsy,0.389036251
1991,Weakfish Atlantic Coast,B/Bmsy,0.501031536
1992,Weakfish Atlantic Coast,B/Bmsy,0.551134689
1993,Weakfish Atlantic Coast,B/Bmsy,0.677866195
1994,Weakfish Atlantic Coast,B/Bmsy,0.970625798
1995,Weakfish Atlantic Coast,B/Bmsy,1.365556538
1996,Weakfish Atlantic Coast,B/Bmsy,1.424501425
1997,Weakfish Atlantic Coast,B/Bmsy,1.178897731
1998,Weakfish Atlantic Coast,B/Bmsy,0.928381963
1999,Weakfish Atlantic Coast,B/Bmsy,0.9175754
2000,Weakfish Atlantic Coast,B/Bmsy,0.908733667
2001,Weakfish Atlantic Coast,B/Bmsy,0.705373809
2002,Weakfish Atlantic Coast,B/Bmsy,0.443069064
2003,Weakfish Atlantic Coast,B/Bmsy,0.26328716
2004,Weakfish Atlantic Coast,B/Bmsy,0.323214461
2005,Weakfish Atlantic Coast,B/Bmsy,0.295706847
2006,Weakfish Atlantic Coast,B/Bmsy,0.230867472
2007,Weakfish Atlantic Coast,B/Bmsy,0.167992927
2008,Weakfish Atlantic Coast,B/Bmsy,0.130661165
1981,Weakfish Atlantic Coast,F/Fmsy,NA
1982,Weakfish Atlantic Coast,F/Fmsy,NA
1983,Weakfish Atlantic Coast,F/Fmsy,NA
1984,Weakfish Atlantic Coast,F/Fmsy,NA
1985,Weakfish Atlantic Coast,F/Fmsy,NA
1986,Weakfish Atlantic Coast,F/Fmsy,NA
1987,Weakfish Atlantic Coast,F/Fmsy,NA
1988,Weakfish Atlantic Coast,F/Fmsy,NA
1989,Weakfish Atlantic Coast,F/Fmsy,NA
1990,Weakfish Atlantic Coast,F/Fmsy,NA
1991,Weakfish Atlantic Coast,F/Fmsy,NA
1992,Weakfish Atlantic Coast,F/Fmsy,NA
1993,Weakfish Atlantic Coast,F/Fmsy,NA
1994,Weakfish Atlantic Coast,F/Fmsy,NA
1995,Weakfish Atlantic Coast,F/Fmsy,NA
1996,Weakfish Atlantic Coast,F/Fmsy,NA
1997,Weakfish Atlantic Coast,F/Fmsy,NA
1998,Weakfish Atlantic Coast,F/Fmsy,NA
1999,Weakfish Atlantic Coast,F/Fmsy,NA
2000,Weakfish Atlantic Coast,F/Fmsy,NA
2001,Weakfish Atlantic Coast,F/Fmsy,NA
2002,Weakfish Atlantic Coast,F/Fmsy,NA
2003,Weakfish Atlantic Coast,F/Fmsy,NA
2004,Weakfish Atlantic Coast,F/Fmsy,NA
2005,Weakfish Atlantic Coast,F/Fmsy,NA
2006,Weakfish Atlantic Coast,F/Fmsy,NA
2007,Weakfish Atlantic Coast,F/Fmsy,NA
2008,Weakfish Atlantic Coast,F/Fmsy,NA
2005,White hake - Gulf of Maine / Georges Bank,F/Fmsy,2.14499998092651
2008,White hake - Gulf of Maine / Georges Bank,F/Fmsy,1.15400004386902
2013,White hake - Gulf of Maine / Georges Bank,F/Fmsy,0.649999976158142
2015,White hake - Gulf of Maine / Georges Bank,F/Fmsy,0.400000005960464
2017,White hake - Gulf of Maine / Georges Bank,F/Fmsy,0.358999997377396
2005,White hake - Gulf of Maine / Georges Bank,B/Bmsy,0.389999985694885
2008,White hake - Gulf of Maine / Georges Bank,B/Bmsy,0.351999998092651
2013,White hake - Gulf of Maine / Georges Bank,B/Bmsy,0.828999996185303
2015,White hake - Gulf of Maine / Georges Bank,B/Bmsy,0.879999995231628
2017,White hake - Gulf of Maine / Georges Bank,B/Bmsy,0.686999976634979
1956,White marlin Atlantic,B/Bmsy,3.769606747
1957,White marlin Atlantic,B/Bmsy,3.765043058
1958,White marlin Atlantic,B/Bmsy,3.737660927
1959,White marlin Atlantic,B/Bmsy,3.710278796
1960,White marlin Atlantic,B/Bmsy,3.701151419
1961,White marlin Atlantic,B/Bmsy,3.650950845
1962,White marlin Atlantic,B/Bmsy,3.523167565
1963,White marlin Atlantic,B/Bmsy,3.194581989
1964,White marlin Atlantic,B/Bmsy,2.81123215
1965,White marlin Atlantic,B/Bmsy,2.295535343
1966,White marlin Atlantic,B/Bmsy,1.661182634
1967,White marlin Atlantic,B/Bmsy,1.323469681
1968,White marlin Atlantic,B/Bmsy,1.341724435
1969,White marlin Atlantic,B/Bmsy,1.268705418
1970,White marlin Atlantic,B/Bmsy,1.16830427
1971,White marlin Atlantic,B/Bmsy,1.086157876
1972,White marlin Atlantic,B/Bmsy,0.990320417
1973,White marlin Atlantic,B/Bmsy,0.894482957
1974,White marlin Atlantic,B/Bmsy,0.857973448
1975,White marlin Atlantic,B/Bmsy,0.835155006
1976,White marlin Atlantic,B/Bmsy,0.812336563
1977,White marlin Atlantic,B/Bmsy,0.780390743
1978,White marlin Atlantic,B/Bmsy,0.7575723
1979,White marlin Atlantic,B/Bmsy,0.7575723
1980,White marlin Atlantic,B/Bmsy,0.743881235
1981,White marlin Atlantic,B/Bmsy,0.78951812
1982,White marlin Atlantic,B/Bmsy,0.72562648
1983,White marlin Atlantic,B/Bmsy,0.684553283
1984,White marlin Atlantic,B/Bmsy,0.652607463
1985,White marlin Atlantic,B/Bmsy,0.666298529
1986,White marlin Atlantic,B/Bmsy,0.620661644
1987,White marlin Atlantic,B/Bmsy,0.597843201
1988,White marlin Atlantic,B/Bmsy,0.570461069
1989,White marlin Atlantic,B/Bmsy,0.547642627
1990,White marlin Atlantic,B/Bmsy,0.441308683
1991,White marlin Atlantic,B/Bmsy,0.438114101
1992,White marlin Atlantic,B/Bmsy,0.408906495
1993,White marlin Atlantic,B/Bmsy,0.492878364
1994,White marlin Atlantic,B/Bmsy,0.515696807
1995,White marlin Atlantic,B/Bmsy,0.47462361
1996,White marlin Atlantic,B/Bmsy,0.387913527
1997,White marlin Atlantic,B/Bmsy,0.373309724
1998,White marlin Atlantic,B/Bmsy,0.415295659
1999,White marlin Atlantic,B/Bmsy,0.418490241
2000,White marlin Atlantic,B/Bmsy,0.332236527
2001,White marlin Atlantic,B/Bmsy,0.293445174
2002,White marlin Atlantic,B/Bmsy,0.276103158
2003,White marlin Atlantic,B/Bmsy,0.284774166
2004,White marlin Atlantic,B/Bmsy,0.326760101
2005,White marlin Atlantic,B/Bmsy,0.343189379
2006,White marlin Atlantic,B/Bmsy,0.348209437
2007,White marlin Atlantic,B/Bmsy,0.376504306
2008,White marlin Atlantic,B/Bmsy,0.357336814
2009,White marlin Atlantic,B/Bmsy,0.326760101
2010,White marlin Atlantic,B/Bmsy,0.322196412
1956,White marlin Atlantic,F/Fmsy,0
1957,White marlin Atlantic,F/Fmsy,0.045443228
1958,White marlin Atlantic,F/Fmsy,0.045443228
1959,White marlin Atlantic,F/Fmsy,0.036354583
1960,White marlin Atlantic,F/Fmsy,0.090886457
1961,White marlin Atlantic,F/Fmsy,0.236304788
1962,White marlin Atlantic,F/Fmsy,0.608939261
1963,White marlin Atlantic,F/Fmsy,0.827066758
1964,White marlin Atlantic,F/Fmsy,1.281499042
1965,White marlin Atlantic,F/Fmsy,1.91770424
1966,White marlin Atlantic,F/Fmsy,1.645044869
1967,White marlin Atlantic,F/Fmsy,0.754357592
1968,White marlin Atlantic,F/Fmsy,1.090637483
1969,White marlin Atlantic,F/Fmsy,1.263321751
1970,White marlin Atlantic,F/Fmsy,1.263321751
1971,White marlin Atlantic,F/Fmsy,1.399651436
1972,White marlin Atlantic,F/Fmsy,1.508715184
1973,White marlin Atlantic,F/Fmsy,1.308764979
1974,White marlin Atlantic,F/Fmsy,1.290587688
1975,White marlin Atlantic,F/Fmsy,1.308764979
1976,White marlin Atlantic,F/Fmsy,1.408740082
1977,White marlin Atlantic,F/Fmsy,0.908864569
1978,White marlin Atlantic,F/Fmsy,0.790712175
1979,White marlin Atlantic,F/Fmsy,0.845244049
1980,White marlin Atlantic,F/Fmsy,0.808889466
1981,White marlin Atlantic,F/Fmsy,0.999751026
1982,White marlin Atlantic,F/Fmsy,0.936130506
1983,White marlin Atlantic,F/Fmsy,1.572335704
1984,White marlin Atlantic,F/Fmsy,1.090637483
1985,White marlin Atlantic,F/Fmsy,1.554158413
1986,White marlin Atlantic,F/Fmsy,1.535981121
1987,White marlin Atlantic,F/Fmsy,1.499626538
1988,White marlin Atlantic,F/Fmsy,1.399651436
1989,White marlin Atlantic,F/Fmsy,1.899526949
1990,White marlin Atlantic,F/Fmsy,1.944970177
1991,White marlin Atlantic,F/Fmsy,1.926792886
1992,White marlin Atlantic,F/Fmsy,1.799551846
1993,White marlin Atlantic,F/Fmsy,1.763197263
1994,White marlin Atlantic,F/Fmsy,2.417579753
1995,White marlin Atlantic,F/Fmsy,2.163097674
1996,White marlin Atlantic,F/Fmsy,2.181274965
1997,White marlin Atlantic,F/Fmsy,2.063122571
1998,White marlin Atlantic,F/Fmsy,2.353959233
1999,White marlin Atlantic,F/Fmsy,2.244895485
2000,White marlin Atlantic,F/Fmsy,2.244895485
2001,White marlin Atlantic,F/Fmsy,1.735931326
2002,White marlin Atlantic,F/Fmsy,1.681399452
2003,White marlin Atlantic,F/Fmsy,1.345119562
2004,White marlin Atlantic,F/Fmsy,1.281499042
2005,White marlin Atlantic,F/Fmsy,1.11790342
2006,White marlin Atlantic,F/Fmsy,0.754357592
2007,White marlin Atlantic,F/Fmsy,0.99066238
2008,White marlin Atlantic,F/Fmsy,1.072460191
2009,White marlin Atlantic,F/Fmsy,1.163346648
2010,White marlin Atlantic,F/Fmsy,0.718003009
2005,Windowpane - Gulf of Maine / Georges Bank,F/Fmsy,0.0179999992251396
2008,Windowpane - Gulf of Maine / Georges Bank,F/Fmsy,3.92000007629395
2012,Windowpane - Gulf of Maine / Georges Bank,F/Fmsy,1.15900003910065
2015,Windowpane - Gulf of Maine / Georges Bank,F/Fmsy,0.870000004768372
2017,Windowpane - Gulf of Maine / Georges Bank,F/Fmsy,0.652999997138977
2005,Windowpane - Gulf of Maine / Georges Bank,B/Bmsy,0.829999983310699
2008,Windowpane - Gulf of Maine / Georges Bank,B/Bmsy,0.171000003814697
2012,Windowpane - Gulf of Maine / Georges Bank,B/Bmsy,0.287999987602234
2015,Windowpane - Gulf of Maine / Georges Bank,B/Bmsy,0.340000003576279
2017,Windowpane - Gulf of Maine / Georges Bank,B/Bmsy,0.174999997019768
2005,Windowpane - Southern New England / Mid-Atlantic,F/Fmsy,0.377999991178513
2008,Windowpane - Southern New England / Mid-Atlantic,F/Fmsy,1.25899994373322
2012,Windowpane - Southern New England / Mid-Atlantic,F/Fmsy,0.670000016689301
2015,Windowpane - Southern New England / Mid-Atlantic,F/Fmsy,0.649999976158142
2017,Windowpane - Southern New England / Mid-Atlantic,F/Fmsy,0.902999997138977
2005,Windowpane - Southern New England / Mid-Atlantic,B/Bmsy,0.207000002264977
2008,Windowpane - Southern New England / Mid-Atlantic,B/Bmsy,0.559000015258789
2012,Windowpane - Southern New England / Mid-Atlantic,B/Bmsy,1.45799994468689
2015,Windowpane - Southern New England / Mid-Atlantic,B/Bmsy,1.66999995708466
2017,Windowpane - Southern New England / Mid-Atlantic,B/Bmsy,1.29999995231628
2008,Winter flounder - Georges Bank,F/Fmsy,1.07700002193451
2011,Winter flounder - Georges Bank,F/Fmsy,0.35699999332428
2014,Winter flounder - Georges Bank,F/Fmsy,0.681999981403351
2015,Winter flounder - Georges Bank,F/Fmsy,1.45000004768372
2017,Winter flounder - Georges Bank,F/Fmsy,0.224999994039536
2008,Winter flounder - Georges Bank,B/Bmsy,0.310000002384186
2011,Winter flounder - Georges Bank,B/Bmsy,0.822000026702881
2014,Winter flounder - Georges Bank,B/Bmsy,0.857999980449677
2015,Winter flounder - Georges Bank,B/Bmsy,0.430000007152557
2017,Winter flounder - Georges Bank,B/Bmsy,0.518999993801117
2005,Winter flounder - Gulf of Maine,F/Fmsy,0.301999986171722
2011,Winter flounder - Gulf of Maine,F/Fmsy,0.129999995231628
2014,Winter flounder - Gulf of Maine,F/Fmsy,0.261000007390976
2015,Winter flounder - Gulf of Maine,F/Fmsy,0.391000002622604
2017,Winter flounder - Gulf of Maine,F/Fmsy,0.374000012874603
2005,Winter flounder - Gulf of Maine,B/Bmsy,0.839999973773956
2005,Winter flounder - Southern New England / Mid-Atlantic,F/Fmsy,1.18799996376038
2008,Winter flounder - Southern New England / Mid-Atlantic,F/Fmsy,2.59599995613098
2011,Winter flounder - Southern New England / Mid-Atlantic,F/Fmsy,0.175999999046326
2015,Winter flounder - Southern New England / Mid-Atlantic,F/Fmsy,0.490000009536743
2017,Winter flounder - Southern New England / Mid-Atlantic,F/Fmsy,0.617999970912933
2005,Winter flounder - Southern New England / Mid-Atlantic,B/Bmsy,0.129999995231628
2008,Winter flounder - Southern New England / Mid-Atlantic,B/Bmsy,0.0869999974966049
2011,Winter flounder - Southern New England / Mid-Atlantic,B/Bmsy,0.162000000476837
2015,Winter flounder - Southern New England / Mid-Atlantic,B/Bmsy,0.230000004172325
2017,Winter flounder - Southern New England / Mid-Atlantic,B/Bmsy,0.177000001072884
2006,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.517000019550323
2008,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.934000015258789
2009,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.934000015258789
2011,Winter skate - Georges Bank / Southern New England,B/Bmsy,1.72899997234344
2012,Winter skate - Georges Bank / Southern New England,B/Bmsy,1.55200004577637
2013,Winter skate - Georges Bank / Southern New England,B/Bmsy,1.192999958992
2014,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.885999977588654
2015,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.903999984264374
2016,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.939999997615814
2017,Winter skate - Georges Bank / Southern New England,B/Bmsy,0.939999997615814
2018,Winter skate - Georges Bank / Southern New England,B/Bmsy,1.25800001621246
2005,Witch flounder - Northwestern Atlantic Coast,F/Fmsy,0.870000004768372
2008,Witch flounder - Northwestern Atlantic Coast,F/Fmsy,1.45000004768372
2012,Witch flounder - Northwestern Atlantic Coast,F/Fmsy,1.74100005626678
2015,Witch flounder - Northwestern Atlantic Coast,F/Fmsy,2.46000003814697
2005,Witch flounder - Northwestern Atlantic Coast,B/Bmsy,0.839999973773956
2008,Witch flounder - Northwestern Atlantic Coast,B/Bmsy,0.300000011920929
2012,Witch flounder - Northwestern Atlantic Coast,B/Bmsy,0.407999992370605
2015,Witch flounder - Northwestern Atlantic Coast,B/Bmsy,0.219999998807907
1950,Yellowfin tuna Atlantic,B/Bmsy,2.45
1951,Yellowfin tuna Atlantic,B/Bmsy,2.49
1952,Yellowfin tuna Atlantic,B/Bmsy,2.52
1953,Yellowfin tuna Atlantic,B/Bmsy,2.55
1954,Yellowfin tuna Atlantic,B/Bmsy,2.57
1955,Yellowfin tuna Atlantic,B/Bmsy,2.59
1956,Yellowfin tuna Atlantic,B/Bmsy,2.61
1957,Yellowfin tuna Atlantic,B/Bmsy,2.62
1958,Yellowfin tuna Atlantic,B/Bmsy,2.6
1959,Yellowfin tuna Atlantic,B/Bmsy,2.57
1960,Yellowfin tuna Atlantic,B/Bmsy,2.52
1961,Yellowfin tuna Atlantic,B/Bmsy,2.46
1962,Yellowfin tuna Atlantic,B/Bmsy,2.42
1963,Yellowfin tuna Atlantic,B/Bmsy,2.39
1964,Yellowfin tuna Atlantic,B/Bmsy,2.36
1965,Yellowfin tuna Atlantic,B/Bmsy,2.33
1966,Yellowfin tuna Atlantic,B/Bmsy,2.3
1967,Yellowfin tuna Atlantic,B/Bmsy,2.28
1968,Yellowfin tuna Atlantic,B/Bmsy,2.27
1969,Yellowfin tuna Atlantic,B/Bmsy,2.23
1970,Yellowfin tuna Atlantic,B/Bmsy,2.18
1971,Yellowfin tuna Atlantic,B/Bmsy,2.16
1972,Yellowfin tuna Atlantic,B/Bmsy,2.14
1973,Yellowfin tuna Atlantic,B/Bmsy,2.1
1974,Yellowfin tuna Atlantic,B/Bmsy,2.07
1975,Yellowfin tuna Atlantic,B/Bmsy,2.02
1976,Yellowfin tuna Atlantic,B/Bmsy,1.96
1977,Yellowfin tuna Atlantic,B/Bmsy,1.9
1978,Yellowfin tuna Atlantic,B/Bmsy,1.84
1979,Yellowfin tuna Atlantic,B/Bmsy,1.78
1980,Yellowfin tuna Atlantic,B/Bmsy,1.74
1981,Yellowfin tuna Atlantic,B/Bmsy,1.7
1982,Yellowfin tuna Atlantic,B/Bmsy,1.62
1983,Yellowfin tuna Atlantic,B/Bmsy,1.55
1984,Yellowfin tuna Atlantic,B/Bmsy,1.47
1985,Yellowfin tuna Atlantic,B/Bmsy,1.47
1986,Yellowfin tuna Atlantic,B/Bmsy,1.41
1987,Yellowfin tuna Atlantic,B/Bmsy,1.37
1988,Yellowfin tuna Atlantic,B/Bmsy,1.34
1989,Yellowfin tuna Atlantic,B/Bmsy,1.32
1990,Yellowfin tuna Atlantic,B/Bmsy,1.26
1991,Yellowfin tuna Atlantic,B/Bmsy,1.16
1992,Yellowfin tuna Atlantic,B/Bmsy,1.11
1993,Yellowfin tuna Atlantic,B/Bmsy,1.06
1994,Yellowfin tuna Atlantic,B/Bmsy,1
1995,Yellowfin tuna Atlantic,B/Bmsy,0.94
1996,Yellowfin tuna Atlantic,B/Bmsy,0.9
1997,Yellowfin tuna Atlantic,B/Bmsy,0.868
1998,Yellowfin tuna Atlantic,B/Bmsy,0.851
1999,Yellowfin tuna Atlantic,B/Bmsy,0.824
2000,Yellowfin tuna Atlantic,B/Bmsy,0.807
2001,Yellowfin tuna Atlantic,B/Bmsy,0.795
2002,Yellowfin tuna Atlantic,B/Bmsy,0.753
2003,Yellowfin tuna Atlantic,B/Bmsy,0.736
2004,Yellowfin tuna Atlantic,B/Bmsy,0.734
2005,Yellowfin tuna Atlantic,B/Bmsy,0.736
2006,Yellowfin tuna Atlantic,B/Bmsy,0.763
2007,Yellowfin tuna Atlantic,B/Bmsy,0.786
2008,Yellowfin tuna Atlantic,B/Bmsy,0.823
2009,Yellowfin tuna Atlantic,B/Bmsy,0.846
2010,Yellowfin tuna Atlantic,B/Bmsy,0.861
2011,Yellowfin tuna Atlantic,B/Bmsy,0.883
2012,Yellowfin tuna Atlantic,B/Bmsy,0.913
2013,Yellowfin tuna Atlantic,B/Bmsy,0.942
2014,Yellowfin tuna Atlantic,B/Bmsy,0.98
1950,Yellowfin tuna Atlantic,F/Fmsy,0.0039
1951,Yellowfin tuna Atlantic,F/Fmsy,0.0043
1952,Yellowfin tuna Atlantic,F/Fmsy,0.0087
1953,Yellowfin tuna Atlantic,F/Fmsy,0.0112
1954,Yellowfin tuna Atlantic,F/Fmsy,0.0105
1955,Yellowfin tuna Atlantic,F/Fmsy,0.0131
1956,Yellowfin tuna Atlantic,F/Fmsy,0.02
1957,Yellowfin tuna Atlantic,F/Fmsy,0.0722
1958,Yellowfin tuna Atlantic,F/Fmsy,0.125
1959,Yellowfin tuna Atlantic,F/Fmsy,0.181
1960,Yellowfin tuna Atlantic,F/Fmsy,0.219
1961,Yellowfin tuna Atlantic,F/Fmsy,0.191
1962,Yellowfin tuna Atlantic,F/Fmsy,0.19
1963,Yellowfin tuna Atlantic,F/Fmsy,0.216
1964,Yellowfin tuna Atlantic,F/Fmsy,0.234
1965,Yellowfin tuna Atlantic,F/Fmsy,0.233
1966,Yellowfin tuna Atlantic,F/Fmsy,0.204
1967,Yellowfin tuna Atlantic,F/Fmsy,0.21
1968,Yellowfin tuna Atlantic,F/Fmsy,0.298
1969,Yellowfin tuna Atlantic,F/Fmsy,0.341
1970,Yellowfin tuna Atlantic,F/Fmsy,0.273
1971,Yellowfin tuna Atlantic,F/Fmsy,0.275
1972,Yellowfin tuna Atlantic,F/Fmsy,0.354
1973,Yellowfin tuna Atlantic,F/Fmsy,0.362
1974,Yellowfin tuna Atlantic,F/Fmsy,0.416
1975,Yellowfin tuna Atlantic,F/Fmsy,0.498
1976,Yellowfin tuna Atlantic,F/Fmsy,0.514
1977,Yellowfin tuna Atlantic,F/Fmsy,0.555
1978,Yellowfin tuna Atlantic,F/Fmsy,0.587
1979,Yellowfin tuna Atlantic,F/Fmsy,0.573
1980,Yellowfin tuna Atlantic,F/Fmsy,0.602
1981,Yellowfin tuna Atlantic,F/Fmsy,0.748
1982,Yellowfin tuna Atlantic,F/Fmsy,0.83
1983,Yellowfin tuna Atlantic,F/Fmsy,0.872
1984,Yellowfin tuna Atlantic,F/Fmsy,0.616
1985,Yellowfin tuna Atlantic,F/Fmsy,0.861
1986,Yellowfin tuna Atlantic,F/Fmsy,0.837
1987,Yellowfin tuna Atlantic,F/Fmsy,0.849
1988,Yellowfin tuna Atlantic,F/Fmsy,0.816
1989,Yellowfin tuna Atlantic,F/Fmsy,1
1990,Yellowfin tuna Atlantic,F/Fmsy,1.27
1991,Yellowfin tuna Atlantic,F/Fmsy,1.17
1992,Yellowfin tuna Atlantic,F/Fmsy,1.21
1993,Yellowfin tuna Atlantic,F/Fmsy,1.26
1994,Yellowfin tuna Atlantic,F/Fmsy,1.42
1995,Yellowfin tuna Atlantic,F/Fmsy,1.34
1996,Yellowfin tuna Atlantic,F/Fmsy,1.34
1997,Yellowfin tuna Atlantic,F/Fmsy,1.27
1998,Yellowfin tuna Atlantic,F/Fmsy,1.37
1999,Yellowfin tuna Atlantic,F/Fmsy,1.33
2000,Yellowfin tuna Atlantic,F/Fmsy,1.31
2001,Yellowfin tuna Atlantic,F/Fmsy,1.58
2002,Yellowfin tuna Atlantic,F/Fmsy,1.44
2003,Yellowfin tuna Atlantic,F/Fmsy,1.32
2004,Yellowfin tuna Atlantic,F/Fmsy,1.29
2005,Yellowfin tuna Atlantic,F/Fmsy,1.08
2006,Yellowfin tuna Atlantic,F/Fmsy,1.07
2007,Yellowfin tuna Atlantic,F/Fmsy,0.946
2008,Yellowfin tuna Atlantic,F/Fmsy,1.02
2009,Yellowfin tuna Atlantic,F/Fmsy,1.06
2010,Yellowfin tuna Atlantic,F/Fmsy,0.99
2011,Yellowfin tuna Atlantic,F/Fmsy,0.907
2012,Yellowfin tuna Atlantic,F/Fmsy,0.894
2013,Yellowfin tuna Atlantic,F/Fmsy,0.803
2014,Yellowfin tuna Atlantic,F/Fmsy,0.77
2005,Yellowtail flounder - Cape Cod / Gulf of Maine,F/Fmsy,4.41200017929077
2008,Yellowtail flounder - Cape Cod / Gulf of Maine,F/Fmsy,1.72500002384186
2012,Yellowtail flounder - Cape Cod / Gulf of Maine,F/Fmsy,1.38499999046326
2015,Yellowtail flounder - Cape Cod / Gulf of Maine,F/Fmsy,2.28999996185303
2017,Yellowtail flounder - Cape Cod / Gulf of Maine,F/Fmsy,1.14999997615814
2005,Yellowtail flounder - Cape Cod / Gulf of Maine,B/Bmsy,0.0879999995231628
2008,Yellowtail flounder - Cape Cod / Gulf of Maine,B/Bmsy,0.246999993920326
2012,Yellowtail flounder - Cape Cod / Gulf of Maine,B/Bmsy,0.237000003457069
2015,Yellowtail flounder - Cape Cod / Gulf of Maine,B/Bmsy,0.159999996423721
2017,Yellowtail flounder - Cape Cod / Gulf of Maine,B/Bmsy,0.256999999284744
2005,Yellowtail flounder - Georges Bank,F/Fmsy,4.76000022888184
2008,Yellowtail flounder - Georges Bank,F/Fmsy,1.15600001811981
2010,Yellowtail flounder - Georges Bank,F/Fmsy,0.600000023841858
2011,Yellowtail flounder - Georges Bank,F/Fmsy,0.519999980926514
2012,Yellowtail flounder - Georges Bank,F/Fmsy,1.24000000953674
2013,Yellowtail flounder - Georges Bank,F/Fmsy,3.11999988555908
2015,Yellowtail flounder - Georges Bank,F/Fmsy,0.284000009298325
2016,Yellowtail flounder - Georges Bank,F/Fmsy,0.200000002980232
2004,Yellowtail flounder - Georges Bank,B/Bmsy,0.662000000476837
2005,Yellowtail flounder - Georges Bank,B/Bmsy,0.266999989748001
2008,Yellowtail flounder - Georges Bank,B/Bmsy,0.221000000834465
2010,Yellowtail flounder - Georges Bank,B/Bmsy,0.324000000953674
2011,Yellowtail flounder - Georges Bank,B/Bmsy,0.203999996185303
